score,reple
2,개연성 진짜....할 말 없음
2,영화보다 중간에 나온적은 처음~ 저런좋은배우를 가지고 이따구영화를 만들다니ㅜㅜ
4,유아인 그 똑똑한 배우가 왜 이런 영화를 택한건지 좀 의문이에요..
1,노잼;;
1,요즘같은 양질의 영상들이 유튜브에 썩어나는 세상에 이런 영화가 영화관에 나오네요 최악입니다 진짜ㅋㅋㅋㅋ 시간과 돈이 썩어나고 넘치는 사람만 보세요. 영화를 보는것과 동시에 충격 혼란 당황 슬픔 분노를 동시에 느낄 수 있고 예고편이랑 본영화랑 내용이 다를것이 없는 영화도 존재한다는걸 처음 깨달았네요 정말 영화가 궁금하신분은 예고편만 보세요 그게 전부니까.
6,개연성이 1도 없던 영화 안씻고 굶어도 탱탱한피부 탈색머리 유아인은 한달이지나도 머리가 그대로. 좀비들은 선택적으로 문다.
2,진짜 좀 개판이긴 함ㅋㅋㅋ 개연성도 없고 마지막 헬기 소음이 얼마나 큰데 헬기 등장씬도 말이 안됨 헬기가 아파트보다 낮은 고도로 저공비행하다가 거기서 나오는건 무슨 007도 아니고 ㅋㅋㅋㅋ
1,18 기대졸라하구봤는데 진짜벙찌네; 깡통도 많이 남았는데 박신혜 구사일생으로 탈출해서 갑자기 총 왜 유아인 주고 쏘라고함?; 개어이없음; 걍 가만히 앉아서 방에서 안전히굶어죽으면 재미없응께 주인공들은 조나 어이없게 사방팔방에서 오는 좀비들 물리치면서 기어나옴 좀비가 옆에서 가만히만 있으면 모르고 지나가기도 함; 어이없음; 마지막 헬리콥터는 무슨 밑에서 기어올라오냐? 진짜 내용 단순막장 에구 좀비분장 세트만들고 참 본전 뽑을수있을까? 박신혜는 지겹다 고만좀 나와라; 끝.
1,유아인이 나혼자산다에 집자랑하러 나왔겠냐..말아먹을영화인거 아니까 그렇게라도 홍보하러 나온거지ㅋ
2,영화 끝나고 생각나는건 진라면과 짜파게티 뿐이다
3,진짜 노잼... 연기력만 좋아서 3점 드릴게요
1,최악이다 유아인 하나 보고 본 영화
1,엥간하면 영화 재밌게 보는데.. 걍 집에서 부산행 두번보세요
1,유아인이 나가라할때 나갔어야했다
1,코로나로 혼란한 틈에 나타난 역대급 작품입니다. 감독은 이 영화를 통해서 코로나 끝날 때 까지 영화관에는 얼씬도 하지 말라는 메시지를 전하고 싶었던 것 같습니다. 너무 어이가 없어서 중간 중간 웃음이 터졌습니다. 영화 내용은 기억이 나지 않습니다. 왜냐면 내용이 없었거든요.  혹시 배우분들은 무슨영화인지 모르고 찍으신건가요? 연기하면서 몰입이 하나도 안되었을 것 같은데 끝까지 해낸 것에 대해 박수를 보냅니다.  오프닝부터 엔딩까지 최악이었습니다. 코로나때문에 제작여건이 좋지 않아서였겠죠? 그래도 이건 너무했습니다. 밀폐된 공간에서 마스크써가면서 볼 가치는 없는 것 같습니다.
1,"영화 보신 분들은 다 공감할겁니다. 개연성,현실성 완전 최악이에요.그리고 박신혜에게 좀비 30~40마리는 달려든 것 같은데 아무도 공격을 안해 주인공보정도 정도가 있지"
5,솔직히 너무 전개가 뜬금없음 너무 유아인 이야기만 보여주고 박신혜 스토리도 보여줬으며 좋겠음 이 바이러스가 어떻게 나온건지 그리고 박신혜가 손이 묶였는데 그방에서 살아있는것도 신기함 너무 말도 안되는 이야기가 많았음
1,살면서 영화 리뷰 처음남겨봄 살다살다 이런영화는 처음봄 최악중 최악 영화가 너무 최악이면 돈이아깝다기보다 시간이 아까움 집에가서 잘껄 너무 후회중....
1,알바들 장난없네~ㅋㅋㅋㅋ
2,알바하면 일당 얼마받아요?
2,동네 야산 고라니 뛰어노는거찍어서 개봉하는게 더 나을듯 영화 예산 아깝고 배우들 아까움
1,좀비 죽일려면 제데로 죽이던가 골프채로 대충때리고 머린 안터졌는데 그냥 바로죽어 ㅋㅋ 그리고 좀비가 줄 잡고 올라가는건 무슨 액션이고 좀비와 좀비끼리 싸우는 건 무슨 경우죠? 그리고 좀비가 인간처럼 달리나욬ㅋㅋㅋ 영화감독님이 워킹데드 같은 좀비물 안보신듯
3,그냥 밀면 알아서 처넘어지는 좀비떼들. 보름을 제대로 못먹어도 살도 안빠지고 떼깔 좋은 두 주연들. 좀비물이 긴장감도 없고 공포도 없고. 염력2  반도는 쌍팔년도 드립치고. 코로나 아니래두 한국영화는 망함
1,이걸보느니 치킨시켜먹겟다
4,와...유아인의 연기력이 아까운 영화...시간이 많으신 분들 보세요...봤던 좀비 또 나오고 계속 나오고 죽여도 나오고 그 좀비랑 친구할뻔할말이 많지만 그만할께요..
1,태어나서 처음 영화 댓글 써본다..진짜 진지 정색빨고 내가 각본써도 이거보다 재밌게 만들 자신 있다..
1,하 진짜 개연성 ㅋㅋㅋ 해도 해도 너무하누 시작부터 갑자기 급발진도 웃김 ㅋㅋㅋ
