score,reple
9,"멋진차, 고급아파트를 가질수 없어 가난이 나쁜게 아니다. 가난은 그것으로 하여금 인간 생 전체적으로 가능성과 존엄성을 앗아가기 때문에 나쁜것이다."
10,뺑반 극한직업보다 2억배 가치있고 의미있는 영화.  작년에 신과함께2독점때매 플로리다프로젝트가 흥행못했다. 진짜 한국영화 스크린 독점현상 심각하다
10,기독교 선교자들인가요? 난민보호소에서 노래로 위로하던장면...처음엔 어이없고 욕이 나왔는데 생각해보니 우리 모두를 꼬집은 감독의 의도같기도했어요 진지한 고민도 실질적인 도움도 없는 값싼 동정심으로 끝나는 우리 모두의 모습.
10,"자인이 요나스에게 최선을 다하는 모습이, 누군가 자신에게 해줬으면 하고 바라는 최선인 것 같아서 마음이 아팠다. 자인이 요나스를 보내고 돌아오는 버스에서 흘리는 눈물이, 여동생을 잃고 흘리는 눈물이 자기 자신에게 흘리는 눈물같았다."
10,"""엄마의 말이 칼처럼 심장을 찌르네요"""
8,콘돔 보급이 시급하다.. 딸이 죽었는데 그 와중에 또 임신한거 충격이다.. 신이 하나를 데려가면 다른 하나를 주신다는 말은 정신병인가..
9,낳기만 하고 기르지 않는 어른들을 향한 한 소년의 외침
10,태어나고 싶어서 태어나는 아이는 없다. 모든 아이들은 부모의 욕심이다
10,신파 억지 감동과는 비교가 안된다
10,엄청난 영화다. 영화가 끝나고도 자리에서 일어날 수가 없었어. 마지막에 자인이가 웃는 모습에서 눈물이 흐르더라...
10,지금 나의 삶이 너무나 사치스럽게 느껴진다. 사람이 사람답게 사는 것이 이토록 어렵고 처절한 일이어야 하는가.
10,"감독은 천재다 아동과 여성인권, 조혼부터 가난한 어느 사회의 이면까지 보여준다 우리가 알고는 있지만 깊이 생각해보지 않는 것들을 일깨워주는 영화는 박수받을만하다 언젠간 누군가 어쩌면 내가, 한국사회의 이면도 보여줄수있기를"
8,내 고통이 초라한 이유 ..
10,이 땅에도 고발당할 부모가 많으리라생각합니다.가슴먹먹
9,"""거기선 사람들이 병에 걸려 죽는대""자인이 시장에서 만난 소녀가 한 말이 잊혀지지 않는다."
10,한지민 누나의 추천 영상보고 가버나움 개봉날 봤는데 보길 잘한거 같아요 칸에서 15분동안 기립박수를 받을만한 영화 맞네요
10,이런 영화를 만들고싶다
10,아이 표정 하나 하나에 울고 웃고 그렇게 두시간 동안 온 마음을  바쳐 아이와 함께 하게됐다
10,보는 내내 마음이 불편했지만 응원하면서 봤습니다.. 기존 배우가 아닌 자인의 연기도 너무 놀라웠어요.. 가버나움 꼭 보세요ㅠㅠ 정말 올해의 영화입니다
10,"사랑받고 존중받는 사람으로 크고 싶다는 아이, 자인의 말이 현실에서도 이루어지도록..! 진짜 힘겨운 삶을 살아내고 있는 이들의 이야기라 더 가슴이 아픕니다.. 모든 사람들이 볼 수 있기를 바랍니다! 인생영화 추천입니다."
10,아직도 여운이 남는다. 자인은 웃고 나는 울었다
10,네가 살아있는 어른보다도 훨씬 나은 아이다 .. 마지막에 아이 미소에 눈물이 쏟아졌네요..
9,"우리에게는 영화, 그들에게는 삶."
10,신발 보다 더럽다는 삶을 말하기까지 얼마나 많은 고통을 지고 왔을지 마음이 착잡했습니다
9,값싼 연민으로 눈물 한방울 흘리는 것 밖에 해줄것이 없어 미안하다
10,케찹병에도 이름이 있어. 제조년월일이 있고 유통기한이 있지..
10,현실이라는게 더 가슴 아픈 내용..
10,신분증 사진 찍을때 자인이 활짝 웃는데 그 미소가 너무 아름다워서 가슴이 아팠다. 자인이 연기를 잘하는게 아니라 실존인물이라는 사실에 다시 한번 가슴이 아팠다.
10,상영관 좀 늘려주세요 보고 싶은데 볼 수가 없네요 주구장창 한 영화만 미친드ㅡㅅ이 상영하는 거 겁나 짜증남 ㅡㅡ
10,"지금도 어디선가 자행되고 있을 지옥같고 현실적인, 그래서 더 슬픈 영화"
9,그 누구도 구원 받지 못한 가버나움.마지막 자인의 웃음에 칼로 심장을 찌른듯이 아파온다.
10,푹신한 의자에 앉아 그들의 삶을 바라보고 있는 내 모습이 부끄러웠다. 난민을 범죄자로 몰아가는 언론과 약자에 대한 혐오를 즐기는 변태적 사회 분위기 속에서 나는 무엇을 할 수 있는가 복잡했다. 영화가 끝나고 엔딩 크레딧이 올라가던 중 눈물이 났다.
10,부모라는 이름의 책임감을 생각해 보게 합니다. 자인은 어떻게든 여동생 사하르를 지키고자 했으나 실패했습니다. 또 요나스를끝까지 지키고자 했으나 실패합니다. 그러나 중요한 것은 자인은 할 수 있는 모든 것을 하려했고 책임을 지려 했다는 것입니다.
9,"어디서부터 잘못된 건지 생각하던 어린이의 고발. ""부모님이 더이상 아기를 낳지 못하게 해주세요."""
9,허구가 아니라 실제 중동에서 벌어지고 있는 이야기여서 가슴이 더 먹먹합니다. 나이에 맞지않게 너무나 성숙한 주인공의 모습이 더 마음을 울리네요
9,태어나서 행복하지 못할 아이는 낳지 않아야 한다. 아이는 스스로 클 수 없다. 무능한 부모는 고소받아 마땅하다.
10,"자인 이제 아이답게 행복하길,,"
10,자인이 저렇게 예쁜 미소를 가지고 있는지 마지막에야 알았다.
10,한국적 신파와 정반대 연출
8,마음이 아프다 이런 현실이 아직 존재하기에 더욱 아프다
10,나는 영화를 이렇게 만들어야한다고 생각해
10,평점이 낮다. 10점 이상 짜리다. &#39;자인&#39;을 비추는 담담한 시선은 이내 관객을 짓누르는 먹먹함이 된다. 저들의 삶에 대한 나의 어떤 말도 조심스럽다. 건조한 현실은 작가의 각색보다 월등히 격동적이다. 자인은 자신을 낳은 부모를 고발할 수 밖엔 없다.
10,"어른들이 만든 고통속에서 처절하게 삶을 유지하는 소년의 삶이 현실 속 수많은 아이들의 실제 삶이라는 것이 마음이 아프다. 아이들이 스스로 꿈을 이룰 수 있도록, 그리고 더 이상 아이들의 고통이 반복되지 않길 바라는 영화의 의도가 꼭 이루어지길 바란다."
10,마지막 미소에 눈물이 흐를 수 밖에 없는 이유헬조선 삶에 한탄하던 나를 반성하게 된다
10,소년이 뭐가 이렇게 연기를 잘하나 싶었는데 그저 자신의 평소 생활을 표현한 거였네요
10,어떤 영화들은 보는 이들의 세계관과 가치관을 바꾼다. 이 영화는 그런 종류의 영화다.
10,오래오래 정말 오래 잊지못할 인생영화!
7,저는 신을 고소합니다.
10,그냥 영화였으면 좋겠는 이야기 ... ㅠㅠ
10,인생이 ㅈ같아요 라고 말하는 열두살 소년이 사는 OOO의 지구촌. 그리고 요나스는 올해 연기상을 줘야한다.
9,영화가 가진 힘을 고스란히 느끼고 왔다. 이런 영화를 통해 우리는 계속 세상의 저변을 자각하고 의식하며 살 수 있는게 아닐까?
10,자인이 웃는데 왜 나는 눌물이 나죠ㅠㅠㅜㅜ
9,마지막 그 웃는모습은 영원하길
10,최근에 본 영화 중 가장 생각을 많이하게 한 영화였다감독이 수상소감에서 했던 말이 생각났다나는 어떠한 해결 방법도 알지못하지만 함께 생각해볼수 있었으면 한다
10,최고다. 간만에 진짜 영화같은 영화를 본 것 같다.
10,요나스가 보고싶다 꼭 봐야할 영화
10,정말 모두가 꼭 봤으면 좋겠다는 생각이 들었습니다. 영화제부터 기획전까지 여러번 관람했지만 볼수록 다른 부분이 보이면서 많은 생각이 드네요. 정말 이 세상 모든 자인을 응원합니다
10,영화보다 더 잔인할 현실에 눈물이 나네요
10,정성일 평론가의 놀라운 해석.  좋은 영화를 다시 열배는 더 감동으로 만들었다.
10,아이가 아이를 먹여살리게 만드는 슬픈 세상
10,상상불가의 극도의 빈곤이 주는 충격과 더불어 자인이 어린 나이와 극단의 악조건에도 불구하고 인간적 도리를 포기하지 않으려 끝까지 최선을 다하는 모습이 눈물겨웠고 내 자신이 부끄러워졌다.
10,마지막 장면 아이가 웃을때가되면 나는 울게되는 괴상한영화...
10,자인을 면회온 엄마가 아이를 가졌다고 하자 자인은 엄마에게 분노를 느끼며 다시는 면회오지말라고 한다. 어른들은 상황이 어쩔수 없다고 항변 하지만 아이들은  어른들의 노력하지 않는 행동때문에 지옥에서 살고 있다.
10,10점을 두번 주고 싶다!
10,"아직 1월이지만, 벌써 올해의 영화를 발견했다. N차 찍으러 가야겠다"
10,"저 정도의 지옥이어야 아이를 낳는 게 부모의 사치라고 말할 수 있겠더군요. 다른이의 불행을 보고 나서, 나는 가진 게 정말 많구나 안도하는 것에 미안합니다."
10,존중받고 사랑받는 어른으로 자라고 싶었다는 말에 마음이 너무나 먹먹해졌다..
10,세상이 보는 앞에서 스스로를 증명해낸 자인의 증명서류
10,꼭 한번 보시기 바랍니다... 기립박수 받을만한 영화 맞네요... 한참 울었습니다..
10,"차오르는 분노 후에, 참을 수 없는 무력감. 내가 흘린 눈물이 부끄럽다. 나의 눈물은 결코 자인의 눈물이 될 수 없기에. 세상이 가진 슬픔들을 뼈저리게 느낀 영화. 그리고 다짐."
10,작은아이가 또다른 작은 아이를 하루종일 데리고 다니면서 본인이 할 수 있는 최선의 방법으로 케어하는 모습에 그 책임감이 너무 무겁고 숨막혔습니다 ㅠㅠ
9,"자인, 라힐 연기 최고.. 많은 상영관에서 많은 사람들이 볼 수 있으면 좋겠다."
10,꼭 보세요. ㅠㅠ 마지막 아이의 외침이 너무 슬프네요..
10,우린 모두 위선자이다. 좋았다는 댓글하나님기고 무엇조차 안하는 우린 모두 감옥에서 노래부르던 기독교인들과 다를 바가 없다.
10,"영화보다 현실의 그림자가 더 크기에, 그 안에서 산다는 게 어떤 것인지..알 수 없기에 감히 울 수도 없었습니다.  마지막에 아이의 웃는 얼굴이 길게 보여지는데 너무 마음이 아팠어요. 이 영화를 통해 그렇게 웃는 아이가 한명이라도 더 생기면 좋겠습니다"
10,"아역의 연기가 달랐다. 깊은 여운을 남겼던 플로리다 프로젝트,룸의 아역연기가 최근까지도 기억에 남지만 가버나움의 아역들의 연기는 살짝 어색하지만  깊은  울림을 안겨주었다. 엔딩에서 그 이유를 알게되었다. 항상 마지막 처럼 웃는 모습이 되길..."
9,영화을 보면서 느낀점은 앞으로 먹고 살기 힘들다는 말을 함부로 하면 안될듯 했다
10,올해 최고의 영화입니다.좋은 재능으로 좋은 일을 한다는 게 이런거네요.
10,세상을 향한 자인의 표정
10,제발 저출산 저출산 거리면서 싸지르는 것만 신경 쓰지말고 이미 있는 애들 행복 좀 신경 쓰자.... 인간은 결코 탄생만으로 숭고하지 않다..
10,"상영관이 이렇게나 없다니 매번 느끼지만 한국영화스크린독점 문제네요.다행히 근처에 독립영화관이 있어서 봤네요. 영화보는내내 마음이 너무 먹먹해지고, 뭐라 말할수 없는 아픔에 눈물에 계속 났습니다. 모든게 어른들의 잘못이네요.."
10,나쁜 부모 나쁜 어른조차 나쁜 사람 밑에서 그렇게 키워진 사람이란 사실이 너무 슬펐다. 그들도 언젠가는 어린 아이였는데... 이 세상 많은 자인들이 그렇게 자라 또 다른 그냥 어른 한 사람이 되어 가고 있겠지. 누가 나쁜걸까
8,"자인은 교도소가 오히려편해보여요.지금은 학교도다닌다니 다행이지만,어휴  다른많은애들은 어쩌죠.마음이무거워지네요."
