score,reple
6,미국대통령이 너무나 쉽고 허술하게 납치되는 과정을 보면서 어이상실 한번 하고 백악관이 이 사실조차 모른다는데서 두번 어이상실.. 예의없고 안하무인의 미대통령의 코미디 캐릭터를 보면서 기대 접고 봄.. 잠수함 액션은 볼만함
1,"평점높은거 알바라고 보면되요. 개실망했습니다. 저 배우들을 데리고 이정도밖에 안되나요? 억지스러운 스토리와 웃기고 싶은 욕망, 아마추어같은 영상미, 기억나지않을 음악까지..."
2,"낚였다~억측난무, 정치 다큐 영화"
7,재미있게 봤는데 마지막에 너무 정치적인 제스쳐를 강요하는거 같아요.
4,2시간짜리 역사수업. 하품을 멈출수가없네 국뽕은 왜이리 심한거냐.문재인의 판타지 봐주느라 힘들었다.
1,전편보다 지루함 스토리도 별로임
2,방금 보다가 너무 졸려서 중간에 나왔음완전 최악.비추. 가족들하고 보려다가 혼자본게 그나마 다행.
1,잼없다. 보지마라!절대로~~
1,아 진짜 개 쓰레기 영화이런 영화에 쓴 내 Kt멤버쉽포인트가 아깝다.현실성없는건 둘째치고 내용이 너무 재미없고시나리오 쓴사람이 진짜 못배운 티 남.  저런 시나리오로 어떻게 투자를 받았지?대통령 관저 청와대가 무슨 20평대 아파트 같질않나 대통령 가족을 무슨 중산층 가정처럼 묘사해놓질않나 고증엉밍에  아무리 북한이래도 3자회담을 3류 모텔같은데서 하질않나 ㅋㅋㅋㅋ 잠수함 씬은 80년대 우뢰매보는줄 ㅋㅋㅋㅋ 암튼 대학생 독립영화도 이정도는 아니겟다. 그냥 감독의 짧고 편협한 지식으로 상상한 시나리오 쓰레기 영화.
6,개연성도 없고... 너무 별로였어요 계속시간봤네요 언제끝나나
1,"문쩝쩝이가 보고 눈물을 흘릴 영화이네요 ,,,"
1,요즘 한국 영화 판 보면 나치  선전선동물 보는 것 같다
2,미국 대통령은 우스꽝스럽게 만들고 북한 장군은  국가와 국민에 충성을 다하는  영웅으로 만들어놨네...
1,개연성 1도없는 OOO기 5류 저급 영화그나마 액션씬이라고는 잠수함에서 버튼몇개 누르면서 고함만쳐대면 미사일 다피함
6,1편 재밌게 봤지만 기대는 안 했는데도 아쉬움 똥이랑 방귀로 개그 치는데 이게 뭔가 싶었다
1,정치병자들을 위한 영화
1,진짜 개노잼입니다 보지마세요
1,우리의 주적은 북한입니다.미국이 아니에요 ...
1,별 한개도 아까움...
4,막바지 잠수함컷 만 볼만 하고 나머진....
6,기대가 컸는데 그냥그럼 (수정) 말아먹은 듯한  전반부 1시간30분 말고 자꾸 후반부 잠수함 액션신가지고 최고다 막 이러시는 알바평점이 보이는데요...그냥 헌터킬러 울프콜이던데요?요즘 짬뽕이 트렌드인가 반도도 그렇고
6,배우들은 좋은데 다들 연기도 잘하는분들인데 영 스토리가 별로네요
2,반미반일 친북 영화 끝.
6,그냥 그랬어요 잠수함에서 싸우고 끝ㅜ
1,진짜 핵노잼.강철비 1은 뽀록이였어우성이형 작품 선택하는 눈이 최근들어 쫌 그러네~액션도 없고지들끼리 투닥거리다 끝남겁나 지루함.차라리 반도 나으려나?마지막엔 신파~에휴~~나만 당할 순 없다.
1,문재앙 미화영화냐ㅋㅋㅋㅋ 문재앙이 북한에한 호구짓을 미화시키네  ㅋㅋ
1,미국대통령이 방귀를 뀌는 장면... 감독의 정서수준이 엿보임
1,재미도 감동도 없는 영화네요        팝콘도 눅눅하고       정우성은 발연기하고    총체적난관이네요         며칠뒤 황느님 영화개봉하던데   내상치유하러 또 가야겟네
1,별점 한개도아까움. 보다 나옴 ㅡㅡ역대급최악의영화
2,너무.. 별로였음 비추 합니다.... 기억나는건잠수함 뿐..
