score,reple
6,평점 알바 특. 내용얘기보다 배우 연기 좋단말만 주구장창함...
1,평점 알바풀었나...
2,배우들의 연기만 좋았음 하지만 단점이 확실히 보인다. 영화 초반부 사건이 터지고 주인공의 변호사 실력을 보여주는 장면 그리고 잊고 살았던 아버지의 상을 뉴스로 접하면서 고향에 내려가는 초반부 까지만 영화는 잘 굴러갔다.  그 뒤로는 엄청난 부자연스러움과 신파들 이미 신파극은 신과함께에서 전부 써먹었다. 너무 나도 부자연 스러운 주인공 하루걸러 비가 오지만 우산쓰는 장면은 없다. 변호사라는 직업을  가졌음에도 폭행을 당해도 전혀 뒷말 없는 너무나도 인자한 변호사. 경찰이된 동창 그 동창은 온 마을사림들이 싫어하는 가족을 자신만은 그렇지 않다고 사건을 처음부터 계속 도와준다.(극중에서는 정말 오랜만에 만나는 상황임) 영화의 문제는 짧은 초반을 빼고서 뒤에 이야기는 전부 주인공과 어머니 그 가족들에 대한 이야기로 쭉 흘러간다. 이부분이 가장 중요하지만 한국 특유의 신파를 너무 길게 끌었다. 후반부에 폭발하듯이 터지는게 아니라 중반부터 계속해서 딸과 어머니의 신파극이 주를 이룬다. 또한 과도한 bgm 이러한 문제는 한국영화 인랑에서 많이 느꼈다. 바뀌는 상황마다 모든 장면에 bgm이 깔린다. 과한 bgm은 감상에 방해가 된다고 생각한다.
1,댓글 알바 소름이다 ㅋㅋㅋㅋ 너무 중간 중간 억지 감동 포인트 우겨넣어서 불편했는데 결말까지 그렇네 ㅋㅋㅋㅋ 댓글알바 특: 배우 연기 미쳤어요~ 꺅 ㅋㅋㅋㅋ
1,실망 뻔한스토리에 억지스럼
1,뻔한 신파극 평점알바풀었나 배우들 연기만 좋음
1,뻔뻔한 연출 식상한 유머코드
10,신혜선연기 넘 좋았어요!!
10,신혜선 배우 큰 스크린으로 봐도 아우라 장난아니다. 연기력 원래 쩌는건 알았는데 이번에 새삼 다시 보게됨! 동생 역 배우도 처음 보는데 연기 너무 잘한다. 연기구멍 1도 없어서 그런지 몰입도도 좋고. 오랜만에 극장에서 한국 영화 볼 맛 남!!
1,평점 9.71은 오바다 7점 정도가 적당함
10,보기 전에 지루하다는 평이 있어서 좀 걱정했는데 최근 본 영화 중에 가장 꿀잼이었어용 익숙한 소재고 농촌 지역 사건이라 규모가 좀 작아서 그렇게 느끼는 것 같기도??? 근데 스토리 탄탄하고 크고 작은 반전들이 있어서 몰입해서 봤습니다! 아니 일단 배우들 연기력이 미쳤어요ㅠㅠㅠㅠ 스토리 자체의 약간 밋밋한 느낌을 연기력으로 메꿔요 오우 표정봐 하면서 몰입해서 봤습니당 !! 그리고 감동 포인트도 있는데 뻔하디 뻔한 게 아니고 이것도 반전이 있어용 ㅠㅠ 왈칵하는 거 ㅠㅠㅠ 막 어어엄청난 교훈이나 여운은 아니지만 최근 본 것 중에 스트레스 안 받고 보람차게 본 영화 같네용 추천추천 ♥?
9,엄마와 딸의 사랑이 보기 좋았다. 연기력이 뛰어나고 영상미도 좋았다.
10,신혜선 배종옥 연기 미쳤다... 소름 돋네요!!!! 아쉬운 것들 조차 다 덮어버리네여
1,
10,오늘 엄마랑 같이 봤는데 강추 ..스토리 탄탄 해서 지루할 틈이없음 ...
10,코로나때문에 5-6개월만에 본 영화라 더 재밌게봤어요!!연기력도 좋고 잘봤어요
10,간만에 넘 재밌게 본 영화. 배우들 연기와 포스도 후덜덜하고 특히 신혜선 배우의 재발견. 몰입도도 좋고 긴장감 있게 잘 봤음 bbbb
9,칼에 찔려죽는 사람 보다 혀에찔려죽는 사람이 더 많다
8,신혜선이라는 배우 타이틀에 길이 남을 작품 인거 같아요! 오랜만에 영화관 가서 잘 보고 왔습니다
10,건너건너 알음알음 학연 지연 핏줄로 똘똘 뭉쳐 대대손손 누리는 무소불위 막강권력 시골토호놈들
10,신혜선 완전 영또 매운맛ㅠㅠㅠ 안정인한테 감정이입되는 결말까지 완벽
8,그저 그랬던것 같아요~~~
10,배우분들의 연기가 좋아서 몰입이 너무 됐습니다.
10,긴장감과 몰입감 최고! 2시간 정말 순삭임!
10,관람객들은 평점이 다 좋은데 평점테러한것들은 어떤인간이지?
10,재밌게 봤습니다. 신혜선 배우분 연기도 좋았고 스토리 자체도 나쁘지 않았습니다.
10,연기구멍이 없어서 보기 좋았고요 마지막 메시지까지 완벽합니다
10,와 반전이네요.. 저희 엄마는 항상 영화를 지루하게보고 재미없다하는데 이번엔 재밌고 지루하지도 않았다고 하네요! 신혜선님 연기 너무 잘하세요.. 몰입도가 아주 높았어요!!
