score,reple
9,재밌게 봤어요!! 윤혜리 배우님 연기가 진짜 좋았습니다.
10,마지막 눈내리는 카페에 그녀가 왔으면했다
10,누구나 스스로 빛날 수 있는 세상이 되기를
10,몰입도 높게 잘봤습니다!
10,"사랑이 뭔지 잔잔하게 말해주는 영화, 배우들의 연기도 좋고, 스토리도 참 좋았습니다. 보고 나서 오래 여운이 남네요."
10,와 왜 이런 영화가 화자되지 않은거지...?? 이영진 배우님 연기 너무 좋았습니다..
9,윤혜리 배우님 저 미쳐요... ㅠㅠㅠ
10,영상미가 훌룡했습니다. 빠져 들었습니다.
10,"이런 영화를 1700명밖에 안 보다니, 안타까운 현실. 돈만 처바른 영화들보다 이런 영화가 훨씬 재미있고 여운을 남기는데...여배우 두 사람의 연기가 좋다. 특히 예진이 눈빛 연기가 좋다."
9,잘봣습니다~ 퀴어 영화였네요
7,두배우 매력에 빠진다...
8,윤혜리 매력있다 윤혜리 목소리 또듣고싶다
10,한 사람마다의 고민이 전달된 영화. 왜 인지 가슴이 계속 쿵쿵거린 느낌을 받았다. 본인의 삶에 대한 선택과 고민 그리고 어쩌면 책임까지도 느껴진 영화. 배우들의 표정 연기가 돋보인 영화.
10,감사합니다. 많이 공감하고 많이 슬프네요.
10,생각했던 것보다 더 좋았어요.저도 스스로 빛날 용기를 갖겠습니다!
9,서로의 눈빛이 말보다 더 진한 영화
10,
7,'난 스스로가 빛나고 싶었나봐요'
10,연기 너무 좋았어요 감명깊게 봤습니다!
8,예진과 해수가 스스로 빛날 수 있는 사계를 위해
9,"OST음악 좋고, 윤혜리씨 연기 좋고. 생각지 못한 반전에 놀라고 슬펐음."
9,막바지 20분 간에는 숨이 멎을듯...
10,이 영화를 만든 분이 좋은 사람이라는 확신이 드는 영화 대사 연출 정말 너무 쉬워보이지 않으면서도 무겁지도 않게 주제를 다루는 느낌이었다. 마지막 엔딩이 아쉬우면서도 이해되었다.  보편적으로 항상 정채성이 성적인 것에만 국한되어있다면 정말 나라는 존재에 대한 성찰 즉 자아에 대해 다루고 있는 것 같았다. 배우분들의 연기도 정말 좋았다.
10,마음대로 하라는 그 말처럼 그녀의 사랑이 마음대로였다면...
10,
10,두 배우님의 연기에 몰입해서 봤어요
10,스스로 빛나기까지의 과정은 참 아프다...
6,소수자들의 어두운 현실
1,너무 재밌지만 그거뿐이에여
9,개인적으로노래가너무좋다ㅋㅋ그리고그여인의비밀이드러나는순간부터...따뜻했던영화가쌀쌀해졌다.계절과계절의사이
10,
9,재밌었습니다.
6,젠더 영화인줄 모르고 관람함그래도 평범하지 않다고 생각했던 것들에 대해 다시 한 번 생각해 볼 수 있었던 영화...
1,찝찝한 기분을 지울수가 없다
1,
