score,reple
1,니모를 기대하고 갔다가 깜짝 놀라고온...
1,이건 좀 아니잖냐
1,9살 아이 데리고 봤는데.. 안 좋은 시국에 아무리 볼 영화가 없어도 이건 아님. 시작 전에 광고가 제일 재밌었음.
2,"4학년.2학년 두  딸과 보러갔는데 이거 미국영화맞나요?중국영화인가 했네요?스토리도 빈약하고 화면도 너무 단순하고기승전결이 있긴 하지만 너무 맹숭맹숭해서 둘째딸 집중 못 하고 얼마나 어수선하던지~~유치원이하 어린이들이 봐야할 수준인데 그러기에도 몰입도 떨어지는~~중간중간 음악이라도 나오면나오겠지만물고기들이 지루하게 늘어지는 대화만 많이하고, 그나마 해마가 암수구분없이 임신한다는 지식 하나 얻어가네요.도리를찾아서, 니모를 찾아서 생각했다가 완젼 폭망. 이럴거면 알라딘을 봤어야 했는데~~돈 아까워요 ㅠ"
10,물고기들이 너무 귀엽고 또 환경문제를 아이들이 알기 쉽고 재미있게 잘 풀어 놨네요 . 아이들이 너무 좋아했어요
2,상어가족 2시간트는게 더나은수준
2,시장은 닭 비서는 비선실세
10,아이랑 재미있게 보고왔는데.. 악플만있네요 무시무시하고 징그러운 악당을 싫어하는 아이라 이 영화가 너무 재미있었다고 합니다 색감도 예쁘고 잔잔한 스토리 괜찮았어요
10,
10,
8,아이들이랑가서 보고왔는데..용기있는 물고기 친구들이 이뻐 보이더라구요.잔잔한 감동이 있는 영화예요~
10,
10,알록달록한 색감에 물고기들도 보다보니 귀여워서 정이 가던.. 덕분에 아이들도 집중하면서 재밌게 봤어요^^
10,"아이들 데리고 주말에 극장가서 봤어요~물 속 물고기들이 나오는 애니메이션이라 아이들도재미있게, 집중해서 보던데.. 교육적 내용도 담고 있어서..유익한 영화였어요. 아이도 재미있었다고 합니다~"
10,히어로 물고기 친구들도 너무 귀엽고 특히 바다 세상이 너무 예뻐요. 여행도 못가는데 진짜 바다에 놀러간 듯 구경하는 재미가 쏠쏠~ 아들이 또 보고싶다고 계속 조르네요^^
10,"오히려 관람객이 적어 집중해서 영화 관람했어요.아이들이 좋아할만한 점은, 모험심과 독립, 자신감을 불어넣어 줄 겁니다.꼭 보세요. ^^"
1,아니 애들이보는 영화를뭔놈의 물고기들이 밑도끝도없이 대화만하는지 앞뒤도안맞고 장면도 갑자기 바뀌고 집중도안되고영화보는 모든아이들이 집중을못해서 어수선해 혼낫네요
1,적당해야지...앵간해야지...재미도 감동도...참나...에효미안해 애들아
1,지금보고있는데 계속 물고기들이 얘기만 함 쓸데없는얘기
