score,reple
10,마음씨 따뜻한 집사님들 덕에 고양이도 사람도 행복해질 수 있는 것 같습니다. 많은 분들이 보시면 좋겠네요.
10,저는 이영화를 보는내내 왜눈물이 났을까요.. 아직도  척박한 길냥이들이 많음에 학대당하고 유기당하는 냥이들이 많음에 맘이아프고슬프고 속상한건 분명하지만 세상이 점점 변하고 따뜻한분들이 많아질거라는 기대 희망을 가져보게되는 영화입니다..많이들 보셨음하네요
10,공존에서 공생으로
10,정말 따뜻한 영화네요 !
10,보는내내 행복했어요 ㅠㅠㅠ 진짜 힐링하고 온 기분입니다
10,"마음이 따뜻해지고 너무 귀여웠던 냥이들 길고양이를 지나치게 슬프거나 고생의 대상으로 보지않고 편안하고 우리와 함께 공존하는 느낌으로 풀어나가서 더 좋았다! 분하거나 슬픈거 전혀 없고 아이들도 즐거운 마음으로 마음껏 볼 수있는 영화. 고양이들이 행복한 세상이 어서 오길 바래봅니다. 정말 귀여웠던 레드 은근 존재감 컸던 조폭이 ㅎㅎㅎ 중국집 아저씨도 정말 존경합니다!!! 춘천 놀러갈게요! 노량진 아주머니들도 너무 감사하고,,,태교 중이었는데 냥이들 덕에 힐링 잘하고 왔어용!"
10,"따뜻한영화잘감상했습니다~~요즘 많은가람들한테 알려져야하는영화~~인간들이 자연파괴로인해 동물들을 갈곳없게만들어놓고,,,인간 자연 동물 함께공존하는 세상왔으면좋겠어요~~더이상 인간의 이기심로인해 자연파괴될일이없고~동물들도 편안하게 사는모습 간절히바랍니다!!제발 그조그만한애들한테 욕하고 돌던지고발로차고 학대좀 하지마세요ㅠㅠ 굳이 그리 야박할필요 있을까요ㅠㅠ사람만 동물를 안해친다면 동물들두 절대로 사람안해칩니다~~그냥 가만히 놔둬도 굶줄임에 아픔에오래못사는 불쌍한아이들입니다ㅠㅜ힘있는자가 힘없고 약자를 보듬어주는세상 동물과인간 유대감꼭필요한세상오기를빕니다!!~~"
10,귀여워서 &#34;아~~~~♡&#34; &#34;오오~~~♡&#34;같은 감탄사가 나오려는 걸 참느라 입 막고 영화를 봤어요곳곳에 숨은 킬링포인트들을 발견하면 나도 모르게 마음이 스르륵 녹아내린답니다. 오랜만에 마음이 힐링되는 귀와 눈이 피로하지 않은 영화를 봐서 행복했어요
10,길고양이들을 돌봐주시는 많은 따뜻한 분들이 계셔서 다행이다라는 생각이 들어요. 보는동안 속상할때도 있었지만 힐링되기도 했어요! 많은 분들이 봤으면 좋겠어요!
10,고양이와 인간의 공존을 다시 한번 생각하게 합니다! 너무 좋았어요~
10,예뻐하지 않아도 됩니다 그냥 함께 공존하는 생명이라고만 생각해주세요 (짱구두찌샤넬 사랑해)
7,"레드, 조폭, 이쁜이 모두 TNR 이 필요합니다. 특히 레드는 촬영 전반부부터 눈 상태를 보니 이미 아픈 아이던데, 곧바로 시예산으로 TNR 진행하면서 주사, 약 처방 받았더라면 금방 회복되었을텐데. TNR 이 안된 고양이가 대부분이고 건강 상태가 안 좋아서 보는 내내 안타까웠습니다."
