score,reple
1,버스로 경찰 밀어버려서 죽이는 장면도 나오나요?
1,평점이 왜 이렇게 높나했다그 이유를 알것같다 역시 전라도 민주화 운동하던 자들이 대한민국을 장악했는데 민주화는 안되고 공산화가 되가고 있냐 대답좀해봐라 빨갱이들아
2,이게왜;;10점인가했네요...
1,문재앙 지지율 떨어지니까 또 과거사 팔이 나오죠? ㅋㅋㅋ
2,북한도 문화로 세뇌 교육을하겠지? 북한사람들을 빼 닮은 그들
1,너무 재미있어서 제가 딱! 1점 드리겠습니다
1,영화로 정치질 하는 것 극혐. 정의팔이하면서 특정배우(김규리) 밀어주는 건 개극혐
5,이념하에 무고한 산밤들이 희생된 사건이지 근데 이제는 발전을 위해 재조명할 시간이 되지 않았을까?? 이젠 이런 정권의 이익을 위한류의 영화를 더 이상 보고싶진 않음 한쪽의 의견이 아니라 팩트에 근거해서 중립적인 시각의 영화가 나와야하지 않을까
1,"선동 조작 날조의 그리운 빨갱이나라 폭동을 폭동이라 부르지 못하는,,,"
1,영화팔이에 두 번 속냐?ㅋㅋㅋ
1,광주는...하나의...총기를 들고 일어난...그...폭동이야.그러니까 그 계엄군이 진압하지 않을 수가 없잖아?빨갱이 폭도 새끼들을 40년째 민주화라고 포장하는거 ㅈㄴ 역겹다 이제
1,지친다..더이상 슬픔을 강요하지 말자.
1,아~ 이거 그 리해찬님께서 불법 운동하시다가깜빵에 잡혀들어갔을때 일어난 사건인데리해찬님이 유공자 명단에 들어가있다는 그 사건 맞죠? 실제 유공자는 500명가량인데 등록된 유공자가 5천명이 넘는다는 그 사건 맞죠??까놓고 유공자도 아닌데 유공자라고? 항상 하는 짓이 똑같네요반일프레임과 광주 이번엔 세월이 가면~~ 추가~조만간 세월읍읍 영화도 나올 각 아닙니까?노랭이 달고  충분히 가능성 있어보이네요?
1,"맨날 과거나 들추고 정권잡아도사고관련 달라진건 하나도없고 일본이 보상해도싫다 사과해도 진정성이없다 그리고 위안부,세월호,5.18 관련 단체들 좌파들은 무슨 시민단체가 그리도많은지 ㅋㅋ 지들이 정권잡아도 절대해결못한다 할 마음도없다피해자가 많아야 무슨무슨 센터 같은건물 지어서 서로서로 일자리 나눠먹고 거기서잘하면 출세하거든 오늘도 어디서 돈되는 시체냄새 맡으러 돌아다니는 하이에나 같은 좌파 단체들좀 없어졌음 좋겠네ㅎㅎ"
1,"제발 사라져라 좀 세월호우 처럼 ""Say 세월 Ho~~"" ""세월 Ho!!!"" 마냥 계속 쇼팔이하네ㅋㅋㅋ ㄹㅇ 응애 세력들"
2,5.18을 너무 우려먹네 도대체 언제까지 똑같은 영활 만들어서 세뇌시킬런지 정말 해도해도 너무하네 진부하고 식상함...그렇게도 만들 영화가 없는감...
10,29만원으로 10년을 넘게 살고 있는 재테크의 달인 전두환
10,전두환이참 ㅗ래산다 불공평한세상
1,열자이상적어야하네요
1,포도먹고싶네요..쩝쩝
1,
1,어휴진짜정도껏선동해야지
1,솔직히 이게 영화냐? 문재앙 체제 선전용 방공영화
1,ㅋㅋㅋ 5.18 유공자 명단이나 까세요 오OO색히들아
2,지긋지긋한 반일팔이 민주화 팔이 . 너그들만의 카르텔.
1,ㅋㅋ 참 이딴것도 영화라고
