score,reple
10,"솔직히 감상평을 쓸 정도로 글솜씨가 좋지 못한건 사실인데, 한 편으로는 그런 생각도 든다. 내가 보고 내가 감동 받았으면 그걸로도 충분한데, 굳이 감상평이란 것이 필요할까."
10,나만 그런게 아니구나
6,서울이 문젠겨 니가 문젠겨?
10,모든 출연자의 연기가 딱 적정하다.  최근 몰입해서 본 영화중 가장 잔잔한 감동이 있는 작품.  음향도 녹음도 조명도 연출도 더 느끼고 싶어또 보고 싶다!
10,이상희 배우 너무 매력적이네요. 완전 내 스타일
10,그냥 아무생각없이 멍하니..좋았음
9,"삶이란게 참 논리적이지 못하다.이동휘배우, 이한위 배우가 나란히 앉아서 담배를 태우는 여름의 국도극장. 가을처럼 스며드는 느낌이라 좋았다."
8,슴슴한듯 있을것 같은 스토리 그래서 ... 좋았다. 청년과 노년의 그사이 사회에 속하거나 속하지 못한 그사이 .. 꿈을 찾거나 방황하는 그 사이의 위로 마지막에 영화 간판속에 그와 그의 뒷모습은 매우 닮아있었지 ..
10,이동휘 형님 연기도 너무 좋았고 담배로도 연기를 하는 이동휘 연기도 너무 좋았어요. 모두들 힘들지만 자기 책임은 다하려는 인물들의 모습이 뒤늦게 감동으로 다가왔어요. 전 형님 입장이 너무 공감되어 눈물이 났었어요. 연기 모두 좋습니다.
10,모든 배우가 우리의 삶을 보여줍니다인상적이네요마지막 롱테이크!
10,마지막에 이동휘 허허롭게 담배 필 때 나도 옆에 쭈구려 앉아서 멍하니 하늘 본 느낌. 연출이 따뜻하고 친구가 찍은 것처럼 친근했다
9,"그래. 다들 나른해 보이지만 각자의 고통은 존재하지. 그렇다고 강요하지도, 권유하지도 않는 이 영화의 흐름이 좋았다"
8,넘치는 것 없이 모든 것이 적당하다. 그래서 여운이 남는다.
7,진짜 저런 극장과 저런 공간이 있을것만 같았다.
8,'사람인생이 그라고 논리적이들 못하다고~' 심심한 맛이긴하나 그래서 그냥 좋았다 너무 힘주지 않아서
10,어쩌면 과학기술이 아무리 발전한다해도 삶은 곧 영화고 영화가 삶이 아닐까? 잔잔한 시냇물을 바라보는 느낌
10,사람사는 이야기를 꾸밈없이 보여줘서 좋았다. 잔잔한 영화를 좋아하는 사람들에게는 적극추천한다.
10,오랜만에 영화같은 영화를 본것같다내 안에 뭔가 꽉 차오르는게 느껴진다그게 뭔지는 나도 모르겠다연기하는 배우들도 과잉감정 하나없다이한위 배우의 연기는 그동안 캐릭터 때문에 연기가 묻히는 배역을 많이했다고 보는데 8월의 크리스마스 이후 가장 좋은 연기인듯 하다다른 배우들 역시 좋은 연기가 영화의 질을 많이 올려준것 같다 시국때문에 묻히는게 너무 아쉽다 가끔씩 혼자 볼것같은 영화 개인적으로 너무 좋았다
8,주인공이 답답하고 못나고 한심한데 그게 꼭 내 이야기 같아서 위로가 됬어요
8,꺾여버린 의지로 나아갈 수 없는 사람들. 그런대로 살아가는게 어떤건지 나에게 남아있는 것이 무엇인지 돌아보는 시간들. 뚜렷한 목표보다 주어진 순간들을 어떻게 맞이하는가 생각해볼 수 있었다지루한 내용마저 우리의이야기 같더라
10,아무생각 없이 힐링하고 싶을때 보면 좋은 영화
10,일상에서 힘을 얻는다.
9,저녁에 집에서 혼술 하면서 티비로 영화 한편 보려면참 그게뭔지 2000원짜리도 아까워서 이거볼까 저거 볼까....술한잔 안사면 30편도 보겠네..하면서 여기 감상평 보고 5000원 질렀는데 그냥 머랄까...하...내가 원하던 그냥 삶...울컥하다가도..이게 인생이지 하는후회없는 영화..관객수 정말 어이없네...
10,흐르는 물처럼 잔잔하지만 그 잔잔함이 주는 감동과 인생의 담백한 맛! 잘 쓰여진 한편의 시를 읽은 느낌입니다. 잘 봤습니다.
10,아쉬움 뚝뚝 미안하다 국도극장!
10,김세윤작가소개로봣는대 이영화 참 좋았다 ㅠㅠ
8,삶이 어떻게 흘러가는지 보여주는 것 같아
6,
6,큰 기대하지 말고 가세요.
7,이동휘의 쓸쓸한 얼굴이 영화의 분위기를 더 살렸다
10,"우리 모두의 현실을 보는듯 , 각자의 어려움 애로사항을 안고 살아간다. 같이 있어도 외로운 인생이란~ 잔잔한 주인공의 극복 응원합니다"
9,'영화 좋아혀?'라는 극중 대사에 이 영화로 답하고 싶다.
10,배우분들 연기력도 좋고 스토리가 요즘 현실을 말해주는 것 같아 씁쓸하면서도 감동적이기도하고 재밌기도하고요. 뭐랄까 기태랑 오실장님이 같이 앉아있는 장면에서 둘이 닮았다는 생각도 들었습니다. 중간에 화장실 가고 싶었는데 한 장면도 놓치기싫어서 꾹꾹 참았지뭐에요 증말. 여운이 남는 영화였습니다. 또 볼거에요!
9,배우들의 연기가 너무 좋았다
10,잔잔해서 너무 좋았어요 ㅎㅎ
10,우리 일상을 담담히 먹먹히 잘 그렸네요! 공감이 많이 되는 영화입니다. 배우들 연기도 아주 좋습니다. 강추합니다!!!!
8,딱 고즈넉한 고향보는거 같다. 격하지않는 잔잔한 감동이다.
9,"대단한 영화가 아닐거라고 생각했으나, 이정도면 괜찮다~~"
10,
9,"서울과 고향 사이, 이상과 현실 사이, 가족과 친구 사이, 그리고 자아와 삶 사이. 가장 잔잔하지만 무시할 수 없는 묵직함이 담긴 영화."
9,간질간질하고 미지근한 영화입니다 저는 좋았습니다 영화관에 저뿐이었기에 더 좋았는지도 모릅니다
9,이런 잔잔한 저예산영화가 좋다..
8,
10,감상평은 모든 장면에 감성이 담겨있다.마지막에...이동휘 배우님이 담패피는 장면과 국도극장을 잡아주는 장면에서 참 많은 생각을 들게했다...
10,"잔잔한 자극적이지 않은, 힐링이 되고 따뜻한 그런 영화"
