score,reple
10,이건 재미있는지 없는지의 문제가 아니라 느끼냐 못느끼냐의 문제다
10,"시간과 속임수 아래 묻혀, 그동안 깨닫지 못하고 수없이 지나쳐갔을... 그레이트 뷰티."
9,이 영화를 보는 것 자체가 인생의 아름다움
6,예술영화는 아무나 보는게 아닌것같다...
10,진짜 아름다움은 끝내 보여주지 않았다. 시종일관 거짓된 아름다움을 보며 중요한 것을 잃어버리는 사람들. 기린과 첫 오프닝은 인상적이었다.
8,영화가 이야기 중심이 아니다. 한번 봐서는 이해하기 힘들다
10,"기대하던 작품, 드디어 보게 되네요 :) 영상미 , 내용  무엇하나 빠지는 것 없는 작품이었습니다!"
6,그다지 친절한 영화는 아니지만  생각할 여지를 많이 제공하네요. (나도  콜로세움옆의 집에 살아봤으면)
10,솔직히 내용은 난해해서 이해하기 어려웠지만 장면 하나하나가 미술관에서 작품을 감상하는 듯한 느낌이 들었습니다. 영화관에서 나왔을때 마치 미술관에서 막 나온 듯 세상이 달라보이는 그런 기분을 느낄 수 있었습니다
9,로마의 매력이 묻어나는 소설같은 영화
9,"세월의 흔적이 남긴 주름과 삶의 통찰, 여유, 애정어린 시선이 부러울뿐! ""우리가 할수있는건 농담따먹기나 하며 말동무가 돼 주는 거야"""
6,"예술작품 웬만한거 다 재밌게 보는 편인데, 이건 보면서 몇번을 졸았는지...ㅠ  뭔가 심오한 뜻은 있는듯하나 넘 졸렸다..."
7,화려하도다 감상적 허세
7,한평생 곱씹은 진정한 아름다운 기억 역시도 파티의 화려함과 다를 바 없는 속임수일뿐.
5,조금 이해하기는 힘들었지만... 인생의 깊이를 알만한때 보면 괜찮을듯.
8,좀 더 인생을 살아보고 다시 봐야 할 것 같다~~ 아직은 대사의의미가 크게 와닿지 않고 로마의 배경이 더 와닿는ㅋㅋ
