score,reple
10,"TVA에서의 만드는 과정을 보는게 개인적으로 재미있었어서 그랬는지 극장판에선 스토리가 빠르게 지나가니 TVA판 만큼의 재미는 없었네요. 그러나 전투씬, OST는 매우 좋았습니다. 쿠키영상을 보니 시로바코가 이대로 끝나진 않을 것 같아 기대가 되네요.  또 신작 내줬으면 합니다."
9,기대한장면보다는 다른장면이 많이나와 아쉬웠고 전개가 너무 빨랐던거같습니다.재미는 있었습니다.
10,"중간에 숨돌리는 타임으로 뮤지컬을 넣는데, 그 시간이 조금 길게 느껴졌습니다. 그리고 2시간 가까이 되는데 이것도 짧게 느껴질정도의 전개속도였습니다."
10,우주명작 한국상륙 짝짝
10,재밌을듯
10,애니를 만들자 노래가 너무 오래하길래 ㅋㅋㅋ 좀  당황스러웠는데 ㅋㅋ 전체적으로 참 재밌게 봤네요 ㅎㅎ  현실의 상황에 의욕없는 젊은이들에서 조금이나마 힘이 될것같습니다. 특히 일본에 젊은이들은..
9,잘만들엇음 역시 우주명작!
9,"처음에 너무 암울해서 깜짝 놀랐는데, 그것을 극복하고 하루하루 살아간다는것을 표현 잘했습니다.애니 제작사라기 보다 직장인의 삶을 그린거 같기도 해서 공감도 했네요 ㅎㅎㅎㅎ"
10,애니에 자신의 열정과 애정을 넣고 누구보다 애니를 사랑하는 사람들
10,1기를 봐서 그런지 괜찮은 애니였습니다
10,티비판을 그대로 2시간 짜리로 압축한 느낌도 들었지만 재밌게 잘 봤습니다.
6,그래도 하고 싶은 일이 있다는 것은
10,기대에는 약간 못 미치지만 그래도 충분히 재밌었습니다 2시간이 정말 순식간에 지나갔어요
10,"사람은 어릴 때 꿈을 꾸지만, 그걸 이루는 건 어른이 되어서다. 그리고 그때서야, 세상이 꽤 팍팍하다는 것을 알게 된다. 그런 세상에서 가장 철딱서니 없는 꿈을 꾸는 어른들의 이야기."
8,애니만드는 애니의 극장판 만드는 극장판. 재미는 있었지만 템포나 구성이 TVA때의 재미는 못되더라. 보고나면 좀 피곤함. 하지만 정적일수 있는 내용을 애니라는 역동적인 꿈의 형태로 나타내면서 직업과 꿈에 대해 생각하게 하는 강점은 여전하고 먀모리들을 다시 볼수 있어서 너무 좋았다. 후속작 기대.
9,괜찮은 극장판 애니였다 재미있었음
10,언제나 응원합니다. 애니메이션은 우리의 빛!
10,2시간 넘게 완급 좋은게 기대 이상
10,우주명작 시로바코 재밌네요. 다음 후속작을 암시하는 마지막 엔딩에 심쿵... 후속작 기다립니다!!
10,역시 우주명작 시로바코였다.시로바코 시리즈의 4년 뒤의 모습을 담고있다.일상에서의 고뇌와 성장스토리
