score,reple
10,그럼 엄마는 누가 지켜줘? 에서 눈물 흘렸다ㅠㅠㅠㅠ 감동적인 극장판
9,"그럼, 엄마는 누가 지켜줘?"
10,"어른제국, 불고기 로드, 로봇 아빠를 이은 명작"
10,와.... 재미 감동 다 잡음... 꼭 보세요 ... 보다 울컥했네... 참고로 전 23살이욤
10,이번 극장판은 짱구가 주인공이 아닌 신형만이 주인공 인듯
10,"""짱구야, 아빠는 이미 보물을 찾았어"""
10,딸이랑같이 보는데 30대인 저도 초딩딸도 잘봤습니다 물론 저는 초반엔 자느라 ㅜㅜ
10,짱구가 짱아 귀막고 노래부를 때 엄마는 울고.. 엄마 혼자 슬퍼하는 모습이ㅠㅠㅠ.. 그 장면에서 눈물이 왈칵 나왔어요ㅠㅠ 재미도 있고 감동도 있고..
10,너무재밋고 슬픈장면이 나왓을때 정말 폭풍오열을 햇어요 그리고 스토리중에 감동포인트가 참 많앗고 짱구가 너무 귀여웟어요 !!짱구 덕후라면 꼭 봐야합니다 추천드려요 과장없습니다 !!!!
10,재미있다내인생 최고의 영화였다
10,영상미 완전 대박!! 인디어나존스 저리가라한만큼 존잼
10,진짜 너무 감동적이었다.. 진짜 짱구 극장판은 우리에게 묘한 감동을 주는듯
9,어른제국=신형만신혼여행=봉미선 ㄹㅇ임 ㅠ 재밌어
10,"짱구 엄마 봉미선의 활약이 대단했던 작품! 처음부터 끝까지 가족의 소중함을 느낄 수 있게 해주는 작품이었습니다! OST도 너무 영화랑 잘 맞았고, 재밌었습니다! 다들 꼭 보세요"
10,짱구극장판중 가장 스릴이적지만 그걸 채워주는 감동이있네용
10,남편이 아내를 사랑하고 아내가 남편을 사랑하는 것. 가장 기본적인 부부의 권리이자 의무이지만 그 권리와 의무를 지키기란 '사명감' 없이는 불가하다.
10,무조건 보셈 그냥 갓구임
10,짱구 극장판은 어린이만 보는게 어니라는 걸 다시 보여줌 재미와 감동 둘 다 잡았다노래도 너무 좋고 이번 극장판 주인공은 짱구 엄마임..
9,아 또 울었네ㅋㅋㅋ젠장
10,역대급 짱구 극장판으로 인정해야되는 부분 아니냐ㅠㅠ 짱구 가족은 완전체여야함 진짜로
10,왠지 모르겠지만 보면서 우리 부모님이 자꾸 생각났다. 그리고 베댓에 짱구아빠가 주인공 같다는데 난 개인적으로 짱구엄마가 주인공 같이 느껴졌음 역대급으로 멋지고 이쁘게 나오니까 꼭 한번 보시길
