score,reple
9,놓치기에는 선명한 아픔입니다. 많은 한국사람이 보았으면 좋겠어요...
10,좋은 다큐였습니다 :) 생각이 많아졌어요.
9,내용적으로 베트남전쟁 당시의 학살피해 생존자들의 이야기를 담고 그 이후 한국&베트남의 사람들의 기억을 바라볼 수 있었다. 그리고 도대체 누가 피해자인가에 대한 생각을 할 수 있었던 것 같다.
7,국적을 넘는 연대의 기록. 맹목적 애국의 울타리를 넘으면 보이는 곳에는 사람이 있다. 다큐로서의 연출은 조금 아쉬운편.
8,"일본군 &#39;위안부&#39;의 피해자 할머님들과 베트남전쟁의 피해자 분들이 한 자리에 모여 전쟁의 아픔과 피해에 대해 이야기 할때 기분이 묘했습니다. 우리나라는 전쟁의 피해를 받기도 했지만, 피해를 주기도 했었다는 역사를 잊지 않겠습니다."
10,우리나라는 피해자라고만 생각했다가 영화를 보며 우리나라가 가해자였던 나라의 입장을 보니 머릿 속에 많은 감정이 겹치는 영화 너무 잘봤습니다
10,"외화획득 혹은 돈을 번 전쟁으로만 우리에게 인식되든 베트남 전쟁. 그 이면에는 무엇이 있을까? 바로 한국군의 민간인 학살이 있었다. 당시 한국군 자행한 민간인 학살을 겪었던 피해자는 그 상처를 기억하지만, 참전했던 용사들은 역사적 사실을 부정하고자 한다. 누구의 의견이 맞는걸까? 이 작품을 만든 이길보라 감독은 양측의 입장을 보여주며 영화를 이끌어 나간다. 확실한건 당시 한국군에 의해 피해를 본 민간인들이 지금도 두눈뜨고 멀쩡히 살아있다는 사실이다. 민간인 학살 피해자들이 외치는 목소리를 단순히 증거부족으로 외칠 수 있을까? 영화를 보며 이 질문에 대해 여러번 생각하게 된다. 왜 민간인 피해자들이 아직도 눈물을 흘리는 지를 알고 싶으면 꼭 보아야할 영화가 아닐까 생각해보게 된다."
6,"아프지않고 억울하지않은 전쟁이 어디있을까? 단지 , 군인이아닌 민간인 학살같은경우는 가해국과 피해국모두 진심어린해결방법을 찾는모습이 좋을것이다. 그런데 ,베트남은 캄보디아 ,라오스나 미얀마등에 행한 학살및 진행중인 인권침해및차별에대한 책임은 지고있는지 반문해봐야하지않을까"
10,"농인인 아저씨가 자기만의 수화로 그곳에서 일어난 참상을 설명했을 때, 나는 그걸 다 알아들을 수 있었다."
10,"희생자의 기억과 참전자의 기억 간의 전쟁. 희생자의 기억 속에서는 아직도 사그라들지 않는 전쟁. 러닝타임이 짧고, 고증보다는 정서에 집중하였기 때문에 아주 훌륭한 다큐멘터리를 기대하기는 힘들지만 중요한 메세지를 상기하고 있다는 점에서 잘 보았습니다."
9,여성의 눈으로 본 전쟁. 인물에 초점을 맞춘 연출도 훌륭했다. 다큐영화임에도 살아 있는 캐릭터들!
8,피해자 분들이 계시는 건물과 거리와 자연이 참 아름다웠다. 그 화면 안에서 담담히 증언하시는 모습이 인상적이었다.
10,사람의 삶을 녹여내어 응시한 전쟁의 모습은 결코 덮어두고 모른척 할 수 없음을.
8,
10,
10,
10,다까끼 마사오 싶알름아
2,"베트남 전쟁.정확히 외화벌이 위해 참전하게된 한국군무지막지한 폭우, 습도, 고온, 이름모를 벌래들의 습격...특유의 단결력으로 남녀노소 할것없이 등돌리면 총알이 날아오는 전쟁판에 살기위해 누구든 죽여야만했고, 그로인해 평생 트라우마에 시달리는 참전 용사들을 욕하지말라자신의 이익 위해 돈킹만 사건을 일으킨 패전국 미국과, 그 시절 꽃다운 나이의 젊은이들을 사지로 내몬 정치인들을 욕하라"
8,
1,현정권에 아부하는 정치 선동 영화는 안 만들었으면.
2,좌빨 공산당 쓸어버리는게 진리 이영화도 구국영화 박정희 대통령 부정하는 좌빨들 작품 절대보지말길
1,"공산주의 북베트남은 자본주의 남베트남에 지속적으로 간첩을 투입하여 내부 분란 조장, 시위 조장, 자본주의에 대한 불만 조장, 친미 정권에 대한 불만을 조장하여 내부로부터의 붕괴를 꾀하였다 남베트남 시민들의 불만이 고조되어가자 이에 세뇌 당한  반정부 인사들과 함께 남베트남 민족해방전선이라는(우리가 베트콩이라고 불렀던) 국가전복모의단체를 만들어 본격적으로 자본주의 남베트남에 대한 저항을 시작하게 되었다 북베트남과의 전면전이 시작된 후 이들의 교전 방식은 민간인들 틈에 숨어들어 게릴라전을 펼치는 식이었는데 이에 피해를 입던 남베트남 군과 자본주의진영 연합군 측의 대응으로 인해 민간인들이 많은 피해를 입고 자본주의진영 연합군에 대한 비판적 민심이 고조되었다 결국 미군의 전면 철수로 인해 베트남은 공산주의 체제로 무력통일되었다. 관람객들은 공산주의자들의 시선으로만 촬영한 이런 영화를 비판적 태도 없이 곧이곧대로 받아들이는 우를 범하지 않고 타산지석으로 삼아 안보의식을 고취시킬 수 있는 기회로 삼기를 바란다 결코 먼 나라의 역사로만 치부할 내용이 아니다"
