score,reple
10,마음이 아파 일어날 수 없었어요. 분노가 치밀었지만 우리는 계속 요구가 이어져야 한다고 생각합니다. 생존 할머니들 20분 남아 계십니다. 빚진 후세로서 역사 의식을 갖고 반드시 사과와 용서를 받아 내야합니다. 상영을 지속해 주길 바랍니다.
10,5월달부터 최고배우인 한지민 누나가 김복동 네레이션 한다는 소식 듣고 기다렸다가 예매해서 개봉날 아침부터 보고 왔어요 고등학생인 저에게 깊은 울림을 주네요 김복동 할머니 부디 하늘 나라에선 마음 편히 쉬시길
10,삼가고인의 명복을빕니다. 김복동할머님은 단순한 피해자가 아닌 평화활동가며 인권운동가였습니다 27년간 투쟁한 김복동할머님을 꼭 기억하겠습니다 .하늘나라에선 살아계실적 슬픈날들은 모두다잊고 행복하시길 바랍니다  꼭 일본이 사죄하는 날이 오길
10,"할머니들은 단순한 피해자가 아님을, 정말 용기 있는 삶을 살다 가셨다는 것을, 정말 훌륭한 인권운동가였다는 것을 깨닫게 하는 담담한 다큐멘터리. 존경스럽고 부끄러운 마음이 많이 든다. 많은 사람들이 봤으면 좋겠습니다."
10,"오랫동안 개봉을 기다렸던 영화입니다.  할머니를 기억하며, 끝까지 싸우겠습니다."
10,할머니의 용기에 내 자신이 하염없이 부끄러워진다.
10,"아직도 불가역적이란 말로 요리조리 빠져나가려는 그들의 만행을 규탄하는 그녀들의 현재를 보여준다. 김복동 할머니가 노구를 이끌고 세계를 다니며 알리려던 것, 역사는 정리되지 않았다. 먹먹하고 슬프지만 그래서 더 알리고 지지해야 한다."
10,아베가 요새 왜 저렇게 미쳐날뛰는지 이 영화를 보니까 이해가 되네요 역사를 잊은 민족은 미래가 없다는데 넌 미래가 없구나..
10,"용기, 좌절, 열정 그리고 외로움"
10,마지막 가시는 순간까지 희망을 놓지 않으시고 전세계에  목소리를 알리셨던 인권운동가 김복동 할머니를 보면서  되려 희망과 용기를 얻었습니다.  일본이 사죄하는 날이 오기까지 끝까지  함께 하겠습니다!!
10,잘봤습니다 고생많으셧습니다밑에 다른 시선으로 보는 사람들 90살 암투병노인이 그런거 까지생각하고 기부를 하셧을까???적당히좀하자 보기싫음 보지말고 비난은 하지말자 고인이시다
10,삼가 고인의 명복을 빕니다..
10,귀향이나 아이캔스피크를 보지 않았다면 김복동은 꼭 보시길 추천드립니다
10,상영관이 별로 없어서 많이 안타깝네요대한민국 국민이리면 모두들 관심 갖고 봐야할 영화입니다.삼가 고인의 명복을 빕니다..
10,소중한 사람들에게 추천해주고픈 영화. 이 영화 천만가면 아베정권에 가장 큰 고통이 될 것이다.
10,가슴아파서.죄송해서.너무나 감사해서.억울해서...눈물없는 사람이 많이도 흘리고 왔네요. 지금의 이 마음을 많은 분들과 함께 느끼고 싶은데...상영되는 시간이 상영관이 너무 초라하지만 후원으로 만들어진 영화인만큼 소중한 마음으로 보고 오셨으면 좋겠어요
10,"전범국가 일본은 강제징용, 성노예, 침략통치 인정하고,사죄하고, 역사에 기록하라."
10,나라탓! 남탓! 핑계거리들!너흰 뭘 했니? 어쩜그래?!여짓껏 한게 없는 부끄러운 나는 영화라도 볼란다!
10,"윤미래씨가 부른 ""꽃""OST 가 다 끝나는, 그러니까 엔딩크레딧 끝날때까지 꼭 봐주세요.."
10,확실히 항상 휴식과 힐링을 위한 감상용으로의 영화는 아니다. 하지만 누군가는 전혀 모르고 있던 일상의 단편을 보고 느낄 수 있는 좋은 영화. 우리가 무엇을 해야할까 하는 작은 마음이 생기는 영화. 많은분들이 보시고 많이 공감했으면 좋겠다.
10,보기 싫으면 보지마라 ㅂㅅ들아
10,김복동 할머니를 잊지 않고 기억하겠습니다.
10,너무나도 좋은 영화입니다... 꼭 보세요 ㅠㅠ 할머님의 용기를 잊지 않고 기억하겠습니다 그리고 행동하겠습니다!
10,너무 분하고 슬퍼서 보는 내내 울었어요. 그동안 내가 몰랐던 것이 너무 많아서 죄송한 마음이 들었어요. 잊지않겠습니다.
10,좋은 영화 만들어 주셔서 고맙습니다
10,"일본군 &#39;위안부&#39; 피해자로서의 김복동 할머니의 모습만을 그려낸 것이 아니라 그 분의 삶과 태도, 생각들을 담아내어 보고 난 뒤 할머님을 더욱 오래오래 기억할 수 있겠다고 생각했습니다. 한지민 배우님의 나레이션과 윤미래님의 노래가 잘 어울려 좋았어요."
