score,reple
10,다름에 관한 또 다른 시각이 너무 좋았다! 따뜻한 온기를 전하는 영화가 계속해서 많이 나왔으면 좋겠습니다 보리야 응원해!
10,오랜만에 힐링한 기분입니다영화가 그냥 힐링이에요~
10,보는 내내 흐뭇하게 웃음 짓게 하는 가슴 따뜻하고 마음이 평온해지는 영화였다.정감 가는 시골 마을에서 열한살 소녀의 시선으로 보는 가족과 주변의 모습이 훈훈하게 이어지며 재미 있게 봤다.
10,보리의 표정 연기에 두손 두발 다 들었네요 어린나이에 감정 표현이 정말...좋은 연기 보여줘서 고마워요 그리고 정말 행복하고 따뜻한 영화였습니다 고맙습니다.
10,따뜻하고 힐링되는 영화였다보리가 어린나이임에도 품고있는 슬픔이 담담하게 전해져서 자칫 우울해질수도 있는 영화가 잔잔하고 감동일수있었다보리를 연기해준 아송배우님이 보리를 너무 잘 표현해주신 덕분인것같다
9,"청각장애 가족들 사이에서 혼자가 된 묘한 기분이 싫어 소리를 잃고 싶어하던 주인공 보리의 성장 스토리. ㅡ 우연한 계기로 소리를 잃어버린 상황을 연기하던 중,  가족들의 고충을 피부로 느끼며 소리를 들을 수 있든 없든 관계없이  그 자체로 소중하단 부모의 반복된 워딩으로, 여름 날 늘어지듯 자고 함께 식사하고 빨래를 너는 지극히 일상적이고 평온해 보이는 연출/ 연기로,  오롯이 담아내고 있다."
10,"영화제에서 두 번 보고 가족과 보려고 개봉을 손꼽아 기다렸다. 세 번째 보는 영화임에도 도입 5분과 마지막 엔딩크레딧에서 밀려오는 감동은 여전했다. 극장 밖 푸른하늘을 보니 영화 OST를 들으며 주문진으로 가보고 싶다. 하나부터 열까지 모두 있을까? 둑, 보리, 흰구름, 푸른하늘, 친구 은정이, 따뜻한 이웃들, 주문진 맑은 바다, 자장면 짬뽕 탕수육, 아빠 엄마 남동생 정우, 이 모든 걸 담은 기타선율. 보리가 걷던 길을 걸으며 나도 보리라."
10,장애를 극복해야할것으로 치부하지 않는영화.이런 영화가 바로 좋은 영화인것 같아요. 재밌게 잘 봤습니다.
10,bgm으로 흘러나오는 피아노 선율이 영화에 잘 녹아들고 주문진 바다도 너무 아름다워요. 따듯한 영화.
9,"""나는 보리!"" 당신도 이 영화를 꼭 보리~"
10,진짜 너무 행복한 사랑스러운 영화였다. 근데 또 주책맞게 눈물이 나나ㅑ..
10,최근에 보기 힘든 따뜻한 영화.
10,잔잔하지만 쭈우욱 밀려오는 감동이 있는 영화입니다
10,"빨래 마르는 소리 , 많은 풀벌레?새소리,컵달그락거리는 소리,찌개끓는 소리등  음향에 신경을 많이 쓴것처럼 느꼈어요. 혼자 본 영화라  오롯이 영화에 집중할 수 있었어요.  나는 보리...중의적인 느낌이 들었어요1.나는 보리-내 이름 보리,보리의 현실(집과 외부의 소통 매개체역할로서의 위치)에 대한 책임과 힘듦 2.나는 보리 - 나는 보겠다...중간에 정우가 보리에게 상대방의 표정을 보고 마음을 읽는다 했을 때, 나는 본다의 나는 보리로 해석 됐어요.가족과의 다름을 이겨내려는 기점이 된거 같았어요.3. 나는 보리 -하늘을 나는 보리....영화 결말에 다달았을 때의 나는 보리는  어린나이지만 조금 더 성숙해져서  하늘을 훨훨 나는 보리라는 느낌이 들었네요  그냥  제멋대로 해석해봤네요너무  소소하고 잔잔해서  재밌는 영화였어요. 오전 10시 쯤 풀숲에 누워서  살랑거리는 바람을 느끼는 기분이 들었네요.힐링 제대로 했어요"
10,"저는 원래 SF 액션 스릴러 느와르 같은 장르만 봐왔어요.어쩌다 와이프가 나는 보리를 보고싶다고해서 따라가게 됐어요.평소에 코를 심하게 고는 저는 영화 중에 잠들어서 코를 고?게 될까레드불 한캔 원샷하고 들어갔는데,무간도 볼때 처럼 정신 놓고 보고왔어요홀린듯 봤습니다. 재밌었어요. 감동했어요."
9,바다 위 무지개 같은 순수하고도 순박한 영화!
10,가슴 따뜻한.. 영화....시사회때 보고 또 볼 예정입니다....짜장면 먹고싶어지는 영화라 영화보기 전 주변 짜장면 집 검색해두셔요
8,귀여운 소녀 보리의 특별했던 소원과 함께 해 행복했던...잔잔히 흘러가는 예쁜 이야기에 마음이 따뜻해졌던 시간이었습니다.
6,어린친구가 연기 참 잘했다.
10,최근 몇년 본 영화중에 당연최고!!이런영화가 있는줄도 몰랐었는데.tv영화소개로 호기심으로 봤는데웃음과 감동...장애가족에 대한 이해주변사람들의 반응정말 현실적으로 잘 그려낸 영화다
10,보리의 시각에서는 보리를 제외한 가족이 너무 화목해서 소리를 잃고 싶었을수도 있을것 같아요~ 아빠 역할을 맡으신 배우분의 표정이 너무 따뜻해서 보는 내내 좋았어요
9,보리가 자신의 정체성을 찾아가는 내용이 너무 좋았다.
10,"보리의 마음도, 엄마아빠의 마음도 참 깨끗하고 인간적이다. 깨끗한 물에 더 깨끗한 물을 흘려내는 것같은 영화."
10,처음에 자막이 나올때 어리둥절 하다가 이유를 깨닫고 울컥 했습니다. 요즘 정신적으로 힘들었는데 보면서 마음을 평화롭게 해준 영화 입니다. 강원도에 혼자 가고 싶어졌어요.
10,"농인부모 밑에서 태어난 청인자녀의 삶을 영상으로 설명해 주는  듯한  영화였습니다. 엄청나게 긴박한 요소, 스펙타클한  내용이 있지않았지만, 겪어보지  못한  그들의 삶을  보리를 통해서 간접적으로 경험해보는 것 같아 흥미로웠습니다. 한 번 더 보러가야겠어요 ㅎㅎ"
10,가슴 뭉클한 영화였어요
10,"부산영화제때 보고 울다 웃다 자막올라가면 참을수없는 눈물이..왜 그렇게 눈물이 났는지..개봉하고 영화를 다시 보는데..그때와는 또 다른 느낌.해맑은 정우를 보며 안타까웠고, 계속해서 나는 어떤가를 생각하게 되는영화. 그런데..짜파게티가 왜이리 먹고싶은지..ㅋㅋ"
8,부모의 심정과 주인공(여자아이)의 심정도 이해가 간다~모처럼 마음이 따뜻해지는 영화~ 아역배우 연기 너무 잘함
10,가족의 사랑 넘 아름답습니다 대화방법이 다를 뿐 우리와 다름이 무엇일까요
10,"처음부터 끝까지 너무 티없이 맑은 영화였어요. 어디서 이렇게 예쁜 아이들을 데리고 예쁜 영화를 만들었는지, 오랜만에 힐링했어요"
10,울다가 웃다가 박수치다가....그냥 다 좋았다.세상의 모든 가족들에게 박수를.
