score,reple
10,"느린 기타리스트 지희양이 변하는 모습을 보면서 따뜻하고, 한편으로 반성도 하게 됐던 힐링 영화였습니다. 엄마의 뒷모습, 좋았어요!"
10,기준이라는 틀에서 약간 벗어나면 장애라는 이름을 붙이는 현실에 대하여 한번쯤 생각해보았습니다. 영화 보는 동안 울컥울컥했어요. 너무너무 감독적이였습니다. 많은 사람들에게 사랑 받는 영화가 되길 바래요 ~~
10,진짜 넘넘 감동입니다^^♡♡♡♡
10,보고 나서 한참 동안 여운이 느껴졌던 영화입니다.. 많은 사람들이 볼 수 있도록 상영관이 많아지길 하는 바람입니다..ㅠㅠ!
10,다큐멘터리만의 현장감이 느껴집니다. 감동적이네요.
10,장애인이 아니라 한 음악인의 이야기입니다. 그러나 그럼에도 블구하고 장애인의 노력과 희망이 돋보였습니다♥
10,기타리스트 김지희님의 성장스토리와 청아한 기타소리와 가슴 뭉클한 가족애를 볼 수 있는 영화. 강추~~입니다.
10,느리지만 천천히 내 마음에 스며들어 심금을 울리는 영화ㅠㅠ
10,여운이 이 글을 쓰는 아직까지도 남아 있네요. 오랜만에 만난 힐링영화!
10,"잔잔한 힐링영화. 가족영화이기도, 성장영화이기도, 장애영화이기도 하다.. 연출과 영상미가 뛰어납니다. 티켓값이 아깝지 않아요. 강추!!!!"
10,"장애극복 스토리로 갔으면 공감이 덜했을텐데, 도리어 공감의 눈빛이 느껴져 더 마음을 빼앗긴 것 같습니다. 김지희 기타리스트. 아낌없이 응원하겠습니다~!! ^^  이런 따스한 영화가 멀리 멀리 퍼지길..."
10,지적장애를 가진 기타리스트 소녀의 이야기를 담은 다큐영화이지만 장애에 촛점을 맞추지 않고 주인공의 꿈에 집중한 연출이 좋습니다. 세상과 소통하기 어려운 기타리스트 김지희씨가 기타 연주를 통해 세상으로 나아가는 그 꿈에 응원을 보내며 보는 사람도 함께 마음이 따뜻해지는 영화입니다.
10,열심히 노력하는 모습이 정말 감동적입니다.
10,음악과 사회복지 관련자라면 꼭 봐야할 영화! 삶의미와 본질에 한걸음 다가서게 하는 영화!
10,"목소리도  자그마하고 뭘 물어도 느리게 답하거나 웃음으로 넘기는, 요즘의 속도와 다르게 사는 주인공이 기타 배운지 4(?)년만에 연주도 작곡도 겁내 잘하는 히어로물.보헤미안 랩소디를 잇는 뮤직힐링다큐.보는 내내 기특해서 미소가 떠나지 않았어요. 잘봤습니다!기타 선율 달달합니다^^"
10,매우감동적이었습니다 추천해요
10,감동과 여운이 있는 영화! 연주 들으러 가보고 싶어요 :-)
10,"영화보고 나서 엄마한테 전화하고 싶었다. 이 영화는 지희의 이야기를 주로 얘기하고 있긴 하지만, 난 묵묵히 뒤에서 지희의 버팀목이 되는 엄마의 얘기에 눈물이 나왔다."
10,"희망을 전하는 기타리스트 김지희 양의 노력하는 모습이 많은 이들에게 잔잔한 감동을 전합니다.끝까지 믿어주시는 가족, 엄마를 위해... 기타리스트로 살아가고자 지적장애를 극복하고... 왠지 아이에서 벗어나 점차 성숙해가는 지희 양의 모습을 보며... 많은 것을 생각해보게 됩니다. 꼭 한번 보시길 강력히 추천 드립니다."
