score,reple
9,재밌게 보다가 역변한 남자 얼굴에서 산통다 깸.
9,마지막에 나오신 성인역을 따로 배우를 구해서 찍지 않았어도 그냥 어렸을때 모습 그대로 갔다면 완벽했을텐데..그래도 꿀잼ㅠㅠ 보고나서 왜 먹먹한지 모르겠는데 ㅠㅠ 아직도 먹먹해 ㅠㅠ
6,학생 주인공들 그대로 가지 특히 남자 주인공.... 깜짝 출연한 유덕화는 멋있었다.
10,학창시절을 기억조작시켜주는 영화
10,여러분... 두 번보세요 세 번 보세요 절대 후회안합니다 ㅠㅠㅠ 진짜 왕대륙 입덕영화
10,성인역만 아역이랑 똑같이 연기했으면 진짜 1000점 주고싶다ㅠㅠㅠ
10,쉽게 헤어나오기 어려운 영화... 우리와의 공감대이 크다.. 오랜만에본 따뜻한 로맨스영화
10,진짜 너무재미있어요...그시절2라고 하시는데 그시절보다 더 재미있는거같아요...
10,유치하지만 풋풋하고 순수해서 아름다운 이야기
10,남자주인공 앞머리 내릴때 심쿵
10,다좋은데 마지막에 배우그대로 가지 그랫어 ..
10,맘이 따뜻해지는 영화! 대만영화 넘 좋아요
9,마지막만빼면 넘나완벽함....ㅠ마지막 너무 노안이자나ㅠ
10,내학창시절은 왜 이런 청춘낭만이 없었나 되돌아보며 한탄하게됨~~ 왕대륙 너 내꺼
10,그시절 만큼 재밌는 영화... 서태우 사랑해ㅠㅠㅠ
7,생각해보면 로맨스 영화의 그 흔한 키스신조차 없었는데 진짜 설렜음ㅋㅋㅋㅋ
10,영화 너무 너무 재밌었고 OST도 역시 너무 좋았고 특히 소행운은 아직도 계속 듣고 다님.
10,추천해요. 장면이 하나같이 다 예쁘고 인물의 감정선도 섬세하게 표현되어서인지 슬픈 장면이 아닌데도 북받쳐서 괜스레 눈물이 나더라구요. 카세트 씬은 다시봐도 정말 명장면! 영화 제목 그대로 &#39;나의 소녀시대&#39;를 추억하고 싶다면 추천합니다.
10,개인적으로 그 시절 우리가 좋아했던 소녀 보다 재밌었음서로 마음 숨길 수 밖에 없는 상황이 슬펐고 마지막 결말이 아쉽긴했어도 해피엔딩인듯하다 !
9,"그시절, 우리가 좋아했던 소녀 보단 덜했지만 진정 사랑했던 사람에 대한 소중한 추억을 다시한번 생각할 수 있었던 영화. 대만은 애절하고 달달한 영화 너무 잘만드는 것 같다!"
9,시작할때 남주가 뭐 저렇게 느끼하게 생겼어! 에서끝날때 남주가 겁나 잘생겨졌어!!!!로 마무리되는 마법의영화!옆 친구 팔 초토화 될 만큼 후려치게 만드는 영화.그리고 성장 후 남주가 식스센스만큼 이나 반전있는 영화.진심 역변의 아이콘
9,임진심 부르는 목소리가 이렇게 달달했다니
10,기분 좋은 설레임과 가슴 속 깊은 감성을 불러일으키는 아련하고 애틋함을 느낄 수 있는 영화. 카세트 듣는 장면에서 나도 모르게 눈물이 났다..
10,이 영화를 한마디로 표현하자면 '나만 보고싶은 영화'
10,10-20대는 설레며 보고 30-40대는 추억 회상하며 볼수있는 좋은 영화. 여운이 좀 크게 남는듯..
10,중간중간 웃음 포인트도 있고 재밌음ㅋㅋ 간만에 풋풋한 로맨스 영화
7,결말이 다소 아쉽지만 ㅠㅠ (넘 비현실이고ㅋㅋ 성인배우들로 바뀌어서ㅠㅠ) 학창시절 사랑얘기가 보기좋았음ㅎ 특히 여주 캐릭터가 넘 매력적임
10,로맨스진짜싫어하는데 이건 재밌음 볼거추천!그리고 개인적으로 그시절우리가좋아했던그소녀부다재밌음
