score,reple
10,가족 하나하나 마음 안 가는 캐릭터가 없습니다 ㅠㅠ 뭔가 우리 가족같으면서 눈물 나고 즐겁고 올 여름엔 이 영화입니다
10,여름만 되면 생각날 것 같다. 올해 최고의 한국영화
10,각자의 그 여름밤을 생각나게 하는 영화
10,진심으로 괜찮냐고 물어봐 주는 사람은 가족밖에 없다
10,연출 너무 좋았습니다 ㅠ_ㅠ 어릴때 생각나서 뭉클하기도
9,가깝고도 불편한 가족의 진솔한 이야기
10,지난 부국제때부터 기대하던 영화입니다. 가족들과의 소소한 일들에 공감도 많이되고 뜻밖에 위로도 받은 따뜻한 영화였어요. 소설 &#39;어린왕자&#39;처럼 어른들을 위한 치유동화 느낌이 드는 힐링 가득 영화입니다. 꼭 보시길 추천해요!
10,모든 소품과 배경에 추억들이 깃들어있어 어린 날에 젖어버림ㅠㅠ
4,휴먼 스토리를 풀어내는 방식에유머가 녹아 들어있었으면인간극장 보는것 보다 건조함.
10,여름밤에 부는 서늘한 바람 같은 영화
10,어린 소녀 사춘기 옥주의 마음이 그대로 전해져서 아려왔어요부모님 살아계실때 잘하고내가 행복하게 잘 사는 모습 보여드리는 것이 효도며아이들에게 엄마의 존재에 대해 다시한번 생각해보았고 이세상에 나혼자가 아닌 여동생을 낳아주신 부모님께 감사하다는 생각이 들었습니다
8,잊고지냈던 감정이 다시 살아나는 기분
10,평범한 사람들의 일상에 몰입되어 웃다가 울다가.  이게 영화지
9,모두가 공감할 수 있는 좋은 영화. 비슷한 나이대 다른 여성감독 누구 처럼 자기연민과 특정 성별 혐오 감성으로 가득차서 보기 불편한 것도 없었고. 좋은 신인 감독님 이신듯 ^^ 응원합니다
10,영화를 보면서 가족들 생각이 정말 많이 났었습니다. 특히 주변 소품들이 할아버지 집에 있는 것들과 유사하여 더 몰입해서 보게 되었던 것 같습니다. 그리고 영화에서 옥수가 고모에게 할머니가 보고 싶은지 질문을 하고 그에 고모는 겪지 않은 일을 꿈에서 꾼다 아마 그만큼 보고 싶어서 그런 것 같다는 말을 합니다. 그 이후 할아버지의 장례식장에서 옥수도 엄마 꿈을 꾸는 장면이 인상 깊었습니다. 왜냐하면 동주와 달리 옥수는 엄마를 보고싶어 하지 않아했는데 사실은 옥수는 엄마를 보고싶어했다는 것을 대사가 아닌 앞 장면에 고모와 대화한 것으로 추론 할 수 있게 표현한 것이 정말 좋았기 때문입니다. 또한 옥수 역할의 최정운 배우가 마지막에 우는 장면에서는 정말 마음이 찡해지면서 가족애를 잘 느꼈으며 최정운 배우의 연기력이 돋보였던 영화이었습니다.
10,최정운배우를 주목해야한다 대성할배우다
10,인물들 하나하나 전부 공감되었다. 난 의도치 않게 눈물이 펑펑 났었다. 올해 가장 큰 여운을 남긴 영화
10,나의 유년시절이 떠오르면서 눈물 짓게하는 영화
10,"고모의 꿈이 옥주에게 그대로 전해지듯, 누군가를 그리워하고, 보고싶어지게 하는 여름밤"
10,간만에 좋은 영화 잘봤습니다!
9,"여름이 오면, 가족이 생각나면 생각 날 영화. ㅠㅠ 부국제에서 극찬 받은 이유가 있네요."
10,마음이 몽글몽글해지는 영화
8,우리의 여름밤은 영원한 밤
10,
10,잔잔하게 물 흐르듯 흘러가는 평온하고 나른한 느낌의 영화였어요. 다만 제가 느낀 감정의 변화만큼은 폭풍같았네요 ㅎㅎ
10,"작년 BIFF에서 봤던 영화.. 기대없이 봤는데 잔잔하고 애잔한 그리고, 따듯했던 영화로 기억되네요"
10,우리 남매이야기 같네요. 평생 소장영화중 하나입니다.
10,
10,
10,"왜 자식들은 부모의 것을 당연히 자기가 가져도, 누려도 된다고 생각하는 걸까."
10,영화 보고 나서 신중현의 미련만 내내 듣고 있다 옥주의 티셔츠에 적힌 love is so short forgetting is so long의 문구도!
10,부모님은 존재만으로 가족을 모이게 하는 힘이 있는 것 같습니다. 옥주가 운 이유는 할아버지가 그리워서일까요? 엄마가 보고싶어서일까요?? 궁금하네요
10,부모님에게 이 영화를 선물하고 싶어졌습니다
9,"그 순진무구한 나이로 받아들이긴 너무 어려운, 지겹고 상투적인 현실. 그리고 그 간극."
10,"한 달 전 시사회에서 봤는데 영화가 허세나 가식 없이 솔직하고, 시골집 조카의 재롱처럼 정겹습니다. 실컷 웃다가 먹먹한 마음으로 극장을 나왔는데 아직까지 여운이 남네요. 올해 최고의 작품이었습니다. 감독님의 다음 작품이 기대돼요."
10,가족의 의미... 흔하지만 소중하다
10,"일부러 의도해서 만든 장면없이 감동을 주는 영화. 그냥 소소한 장면들이 나열되는데, 마치 내가 겪은 것 같은 생각이 들고, 같이 그 장면에 있는 상상과 착각이 드는 영화. 아무렇지도 않은 장면에서 웃음이 터지고 울컥하는 영화. 천재 감독의 등장을 예고한 영화. 촬영이 정말 멋지다. 4명의 두 남매 배우들의 연기 하모니. 모두 주목을 받을 거 같다. 첫 장면부터 마지막 장면까지, 명장면이 너무 많아서 열거하기 어려운 영화. 신중현의 미련을 3가지 버전으로 듣는데, 미련이 이렇게 그리움을 주는 노래인지 처음 알았다."
10,올해 나온 영화들 중에 이게 제일 최고인 것 같아요 너무 뭉클해요 정말 말 그대로 최고의 영화!!  너무 감동적이고 예쁜 스토리에요 연출 너무너무 좋아요 와 진짜... 말로 표현할 수 없는 수준...
10,"기억 속의 장면들이 화면에 연출되면서.. 가족,그리움, 아픈 추억등이 회상되었다.연기자들.. 특히 두 남매의 여러 장면들이 정말 현실적이더라.. ㅠ"
10,서랍 한 켠 깊숙이 넣어놓았던 어릴 적 기억 한 조각. 때때로 문득 생각나 울컥할 것 같다.
10,Meteor '창모' 닮은 아이가 제대로 열연한다.
8,애들 왜이렇게 연기 잘해요? 옥주는 물론이고 동주까지 그냥 실제인거 같았어요. 아무 생각없이 봤는데 이런 영화가 나올줄은 몰랐네요. 그동안 잔잔한 영화에 많이 실망해서 난 그런 영화 안맞는줄 알았는데 아녔네요. 잔잔해도 시간가는 줄 모르게 볼 수 있는 따뜻한 영화였습니다.
10,이 이야기에 공감하지 않을 사람이 있을까
10,진짜 아무 생각없이 봐도 좋을 힐링 영화 그 자체! 나도 모르게 집중되고 빠져들어버려서 러닝타임이 후딱 가버렸네요. 배우들의 감정선도 너무 좋아요!
9,현재가 배경인데 이상하게 추억처럼 다가오는
10,지금이 그 여름밤이었으면.
10,한 치의 관용도 없는 우리들 이야기.
10,아련히 그리워지는 나의 유년기
10,영화 자체로 오롯히 기억하게 하는 영화 단연컨데 올해 최고의 영화 안전하게 많은 사람들이 볼 수 있기를...
10,가슴 먹먹해지는 복잡미묘한 감정으로 극장을 나왔습니다. 잔잔하지만 큰 울림을 주었습니다. 나의 가족의 과거사를 돌이켜 보며 울컥하는 마음을 미어잡았습니다.https://m.blog.naver.com/hallosj/222068389311자세한 후기는 제 블로그에 담았습니다 :)
10,"누나와 동생, 고모와 아빠! 두 남매의 여름 이야기!"
10,마지막에 할아버지가 돌아가시는 장면이 제일슬프다
7,마치 나와 내 동생의 어린시절을 보는 느낌 그래서 모든 이상하리만큼 익숙했고 할머니집에 머물때의 향기가 고스란히 전해졌다 다큐같지는 않은 현실을 담은 영화
10,
10,옥주가 상처를 안고도 행복하기를
10,
10,
10,
10,
10,
9,여름날 녹아있는 우리 모두의 이야기
8,영화보다 드라마 한편 본 느낌
10,우리의 여름밤은 어땠는지 되돌아 볼 수 있는 영화였어요
10,한편의 영화가 시절지난 가족사진을 본것 처럼 따뜻하게 만들어주는 영화
10,아련하고 애틋하다. Ost '미련' 이 도입부에 깔릴 때부터 이미 끝난 거다.  여름에 정말 잘 어울리는 무척 괜찮은 영화다. 많은 분들이 봤으면...
10,이런게 진짜 영화죠! 많은 생각을 하게끔 만드는 영화네요! 꼭 보세요
10,어린시절의 향수와 추억을 눈앞에 보여준 영화였습니다.
10,잊고 살았던 기억을 꿈으로 만나는 이유
10,
10,어릴때생각나서..울컥했어요..다잊고살았는데..나도저런어릴때가있었구나..생각하니..먹먹합니다..
10,"할아버지 입장도 되었다가 아빠 입장도 되었다가 그렇게 고모도 옥주도 동주도 되어 보았다. 내게도 여름에 찾아갈 할아버지 집이 있었다면 저랬을까 상상도 해봤다. 푸릇한 정원의 식물들, 큰 창으로 들어오는 따스한 볕까지 이 영화의 주인공 같았다. 보면서 장난꾸러기 귀여움에 웃기도, 누군가에 대한 그리움에 울기도 했다. 이번 여름 선택한 영화 중 단연 최고로 꼽겠다. 자극적이지 않아도 지루하지 않았고 그저 영화관 안에 편안한 마음으로 들어가고 나올 수 있었다. 아빠와 고모, 옥주와 동주, 남매들 모두 행복한 꿈을 가득 꾸며 살았음 좋겠다."
10,누구에게나 찾아오는 소소한일들로 생각에 잠기게하는 매력적인영화.
10,옥주가 마지막에 밥먹을때 울컥해서 펑펑 울었을때 저도 함께 엄청 울었네요가족의 소중함을 다시 한번 느끼게 된 너무 좋은 영화입니다
10,정직하고 염치를 아는 사춘기 소녀가 가난을 깨달았을 때의 아픔.
10,잔잔하게 쎄게 때리네. 옥주의 시선들이 마음에 오래 머무른다.
10,나도 어느새 그들과 함께 앉아있었다. 그 여름밤에 나도 같이 훅~
10,삶의 깊은 웅덩이와 큰 바위의 장애물 속에서도 반짝반짝 빛나던 순간순간의 행복한 기억들!모든 배우가 좋았지만 너무나 귀여웠던 남동생 동주!! 나오는 모든 씬에서 보는 내내 행복하게 해주었음!!완벽하지 않아도 정말 아름다운 시절이었구나!!
10,
7,독립영화치고 좋음! 옛생각
10,처음엔 호흡이 익숙하지 않지만익숙해지면 시간이 짧게 느껴지는 영화
9,영국 영화 미안해요 리키가 생각나는 작품이다. 현실적이고 감동적이고 재밌다
