score,reple
9,새로운 파도는 언제나 와. 그러니까 힘들고 지쳐서 표류하게 되더라도 반드시 다시 멋지게 파도를 타며 나아가자.
10,"최근 일본 애니메이션에서 성장을 논하는 방식이 정형화되고 있다고 느끼는 일이 많았는데 이 영화는 되게 신선했어요. 힘들었던 일을 완전히 극복한 것도 아니고 (맨 마지막에 흘러나오는 크리스마스 메세지는 정말..) 주인공 히나코가 미나토의 일에 많은 영향을 받긴 했지만 크게 보면 미나토도 하나의 파도고, 히나코는 또 다음 파도가 오면 타이밍 맞춰서 잘 나아가겠구나 싶었어요. 생동감 넘치는 판타지인데도 계속 울면서 봤네요 ㅜㅜ"
9,가볍게 보러갔다가 거의 오열하고 왔어요...ㅠㅠ
9,여름에 무조건 한 번은 생각날 작품과 ost 미나토 히나코 둘 다 행복했으면
10,나도 죽은친구와 만날 수있다면
8,히나코의 우는 모습을 보여주지 않은 이유
10,영화보고 나와서 바로 오므라이스 먹었습니다...특별한 날에는 오므라이스니깐요...
10,달달한 로맨스와 뛰어난 영상미..하지만 노래 나올때마다 손발이 오글거리는건 어쩔수 없나 봅니다
10,역시 일본애니는 다 재밌어요
10,잔잔한스토리에 화려한 영상미에 좋은 음악까지 너무 좋았어요
7,써핑장면 및 그림은 다 이쁨. 다만 주인공둘 데이트하는게 유치하고 진부해 하품은 100번 넘게 함. 노래좀 그만 불렀음...싶기도. 그림은 다 좋아요
9,"소중한 것을 잃고 길을 헤매는, 인생의 황금기에 가로막힌 청춘들에게."
8,그냥 볼만한거같아요 저는 살짝 답답한부분도 있었지만 괜찮았습니다
10,"본인 : ""여친이 옆에서 계속 울어요""          여친 : ""한 커플에 대한 서사를 보는 기분, 판타지가 섞였지만 일상속 일들은 충분히 일어날 수 있어서 너무 감정이입된다"""
10,너무 감동적인 애니. 기억에 남을 애니. 사랑하는 사람을 잃은 사람의 그리움을 너무 잘 담은 영화. 그러므로 성장하는 영화. 너무 추천합니다!!
10,꼭보자 ㅠㅜ  마지막장면에서 터진다
10,여름에 어울리는 애니였어요! 감동적이고 달달하고 정말 재밌어요ㅜㅠ 노래도 좋고 작화도 좋고 스토리도 좋았어요!!
10,스토리도 진짜 감동적이었고 OST도 정말 좋았어요
8,영상미죽이고 잔잔한 스토리도 좋고
9,기대했던 것보다 감동도 있고 영상미도 화려하고 정말 만족스럽게 잘 봤네요. 후반 결말 부분에 정말 울컥했네요.ㅠ 정말 일본 애니 좋아하시는 분들에게 추천드려요~
10,"와사비는 와사비답게, 요코는 요코답게"
10,오늘아침영화보고와서요 감동과슬픔사랑하는사람을잃은그리움여운이남아서요 다시한번보고싶은영화로손꼽아보네요 ㅎ
7,이 감독 특유의 재치는 있었지만 그뿐인.... 다음작을 기대합니다
9,보면서  여주  미친건가? 하면서  아프면  병원가야지 했는데 ㅋ
