score,reple
9,행복을 기대하지만 사실 그 자리를 채우는 것은 희망이다
10,극장이 이렇게 많은데상영해 주는 영화관이 어떻게 이렇게없을 수가 있나요
9,"내 삶에 '다가오는 것들'을 겪고, 견디고, 남몰래 눈물흘리기도 하고, 태어난 손주를 안고 미소지으며 살아간다. 더이상 젊지 않으므로, 젊지 않으나, 지금을 온전히 살아간다."
9,지적인 여성과 그 부류들의 잔잔한일상을 엿볼수 있는 기회. 우리는 취업에 도움안된다며 대학에서조차 사라지는 철학을 고등학교에서 가르치는 교육이 좋아보인다. 인문학은 오로지 인간만이 누릴수 있는 지적 산물 아닌가.
9,부럽네요 철학의 나라.
9,우리는 행복을 기대한다.만일 행복이 안 온다면 희망은 지속되며이 상태는 자체로서 충족된다..
8,삶에 다가오는 변화와 그 주위를 채우는 지성
10,책처럼 책장에 뒀다가 또 읽고싶은 영화
9,다가옴을 막을 수 없으니 견딜 수밖에
7,나의 의지와 상관없이 다가오고 떠나는것들에눈물짓지 말고 나혼자의 홀로서기를 준비하라
9,"주체적 여서의 삶이란 이런것이 아닐까 하는 생각이 드는 영화다.  골치아픈 철학자,  사상가들이 언급이 되면서도 일상을 참으로 담담하게 잘도 그리고 있다."
10,무던한 우리의 삶을 꾸밈없이 그대로 보여준 영화. 삶은 그렇게 다시 채워지면서 살아간다.
10,나탈리는 다가오는것들에 맞서지않고 온전하게 지나갔다.우리는 누구에게나 다가오는 시련 앞에서 항상생각이 너무 '지나친게' 아닐까? 그냥 지나치면 될 것을..
8,우리가 다른 사람의 입장을 이해하는 것은 가능한 것일까?
7,"의외로 ""그냥"" 사는 것은 어렵구나"
9,이런 영화가 만들어지고 소비되는 프랑스가 부럽게 느끼게 만든 영화.
9,"자신의 일에 자부심을 갖고  열심히 살던 그녀는, 초대하지 않았지만 &#39;다가온 것&#39;들을 담담히 맞이합니다. 고민을 털어놓고 낯선 삶의 방식을 시험하고 눈물을 흘리면서 순간의 고비들을 넘어갑니다. 조연이든 주연이든 관객이든, 자신의 삶에선 각자가 주인공."
8,"기대했던 만큼의 큰 감동은 못받았지만, 평범하지만 소중한 일상이 느껴져서  나쁘지 않았다  어차피 삶이란 흐르는 강물처럼  고요히 흘러가는 것이니깐~"
10,"노년으로 접어드는 여성에게 다가오는 것. 젊은 세대에게 다가오는 것, 어느 한 편으로 치우친 것이 아니라 각각의 삶에서 상실하면서 그 상실의 고통을 감내하면서 다가오는 미지의 순간을 살아내는 장면과 그 배후 음악, 슈베르트의 가을나그네. 아름다웠다!"
9,니체의 아모르 파티를 자신의 삶으로 실천하는 철학자. 그녀를 사적으로만 실천하는 그녀를 부르주아라고 비판하는 파비앵의 말이 틀린 것이 아니지만 다가오는 것들을 담담히 받아들여 철학을 실천하는 인생이 쉽지 않다는 걸 그도 나중에는 알게되리라.
9,극 중 나탈리 대사 중 - 혁명을 더 이상 바라지않아. 훨씬 수수해. 아이들이 스스로 생각하도록 돕는것 그게 내가 바라는거야. -
10,가슴을 푹 찌르고 후벼파는 영화. 눈물이 차오르다 가라앉기를 반복. 신파는 아닌데 마음을 울린다. 이자벨 위페르 미친 연기.
9,"죽기 전까지 삶(변화)는 계속된다, 끊임없이 ""다가오는 것들""."
10,철학으로도 막지 못하는 다가오는 것들
10,그녀는 손을 놓고 절망하는 법이 없다. 그러기엔 너무 바쁘기 때문이다. 모두가 떠나도 내 곁엔 누군가 남아있는 것이 있다. 내 곁에 있는 무엇에 늘 종종 걸음으로 바쁘게 다니며 최선을 다하는 그녀가 아름답다.
10,행복해지기전까지만 행복할뿐
8,'마흔 넘은 여자는 쓸모 없어져.' 지성의 파리지앵을 통해 들으니 더욱 충격적이던 말.  요리조리 피해다니던 일상의 정말들을 외딴 골목에서 한꺼번에 맞닥뜨린 느낌.
7,인생은 그렇게 흘러가고 그렇게 다가오는 것들을 맞이하며 간다
9,"내가 무엇인지, 내가 뭘 해야될지 모르는 나는 나의 신분도 의무도 모른다. 내 마음은 진정한 선을.. 그것을 따르기를 온전히 바란다. -팡세-, 블레즈 파스칼 / 가장 마음에 드는 장면."
10,곁을 떠나지 않는 건 아직도 사유해야할 삶
9,그녀의 강함과 담담함이 부럽다. 결국은 고양이에게조차 의지하지 않는것을 선택한 그녀. 남편도 왠지 돌아올듯.
9,다가오는 그 모든것들을 결국에는. 참 담담하게도 받아들이는. 아니 받아들일수 밖에 없는
10,보고나서 좋다고 느꼈는데 왜 좋았는지에 대해 정확히 설명할 수 없다. 그냥 내 마음이 좋다고 느꼈다. 이 마음이 뭔지는 보면 알 수 있는 영화 정도로만 표현된다
9,"헤어지고, 멀어지고...그 이후에  다가오는 삶을 생각해보는 영화였어요."
8,이게 삶인가?하는 생각이 드네요
10,그녀의 삶을 보면서 나의 삶을 생각하게 되는 영화.
10,중년이 되었을때 다가오는것들영화는 건조하다.하지만 메시지는 강하다
10,삶이라는 것은 알 수 없는 앞날의 연속이다.알 수 없은 삶 속에서 우리는 끊임없이 변화를 받아들여야만 한다. 때로는 좌절하기도 하며 때로는 눈물 흘리며 성장하고 그렇게 시간의 흐름속에서 우리는 천천히 늙어간다.
9,상실에 대한 내밀하고도 담담한 접근이 너무 좋았습니다.
9,"억지스럽지 않고, 자연스럽다.아름답고, 현실적이다."
10,힘든 시기에 잔잔한 울림을 주는 고마운 영화입니다.다가오는 것들 = 받아들여야 하는 것들 => 끝에는 결국 희망이 있다(판도라의 상자)
9,이처럼 철학을 영화에 매끄럽게 투영한 영화가 또 있을까?
10,사유하는 인간에게 연륜까지 더해지면 담담하리라.
10,상실의 순간에 책으로 자신을 인지하는 것은 얼마나 굳건하며 아름다운 삶인가.
10,가슴이 먹먹하고 크게 여운을 남기네요. 사람이 살아가는 깊은 내면은 다들 비슷한것 그것을 너무 조용하게 잘 표현한  근래 본 영화중 가장 최고네요. 팡세 구절이 좋아서 책도 봐야겠네요
9,"다가오는 것들은 지나가는 것이 된다, 내가 붙잡지만 않는다면."
8,"나이들어가는 모든이들에게 올수 있음직한 인생의 굴곡들이  슬프거나 절망적이지 않게 담담하고 현실적으로 그려져서 좋았다. 그녀는 주어진 것, 즉 그녀의 힘겨운 미래를 받아들이는데 안간힘을 쓰지않고 두팔 벌려 감싸앉는 것같다."
8,꽤 긴 러닝타임에도 지루한지 모르고 봤습니다음악도 좋았고 여배우의 연기가 너무나 자연스러워서 영화보는 내 그 시간에 녹아들었네요꽤 괜찮은 영화였습니다
10,멋있다. 나도 이렇게 늙고 싶다. 아름다운 영상미 또한 멋지다.
8,"왜 불행은 한꺼번에,그것도 나에게만 오는것 처럼 느껴질까....사람들의 위로와 격려가 지겨울때쯤 보러 간 영화.기대하지 않았던 시련에는 크게 반응 할 필요 없다는듯이 담담하게 받아들이는 주인공이 부럽다."
10,노년의 여성의 삶을 담담하게 그려낸다. 그녀는 일생에서 쥐었고 이루었던것들을 잃는다. 그녀는 슬퍼하지만 절망하거나 낙담하지 않는다. 그녀가 버텨낸 삶만큼으로 그녀는 다가올 삶들을 마침내 잘 살아날 것이다.
9,매우매우매우매우좋앗다. 늙어가는여성 그리고나
8,"내 삶에 '다가오는 것들'을 겪고, 견디고, 남몰래 눈물흘리기도 하고, 태어난 손주를 안고 미소지으며 살아간다. 더이상 젊지 않으므로, 젊지 않으나, 지금을 온전히 살아간다"
9,내 시간이 온전히 내게 속해 있는 자유
8,왜 상영관이 적을까요..ㅠㅠ
10,내용은 잔잔해도 보는 사람은 결코 그럴 수 없게 만든다.
9,"담담하게 떠나보내고, 또 받아들이는 이자벨 위페르의 모습이 매력적이었다. 한편 어린 제자의 말처럼 조금은 부르주아적이지 않나 하는 생각도 든다."
10,삶에서 잊기 쉽지만 누구에게나 다가오는 것들에 대한 우리의 자세에 대하여 생각해볼 수 있는 영화이자 삶에 대한 진정한 성찰을 담은 아름다운 영화
5,인생은 고통을 견디는 과정일뿐.. 행복을 맛보았을즘 곧 고통이 찾아온다..
8,그대로 받아들이고 현재를 사는 것.
9,불행이 다가와도 불행이라 여기지 말자 . 인생에서 수많은 시련이 다가오지만 그것들을 어떻게 받아들이느냐에 따라 이후의 삶은 달라진다는 것...철학이 모든 인간의 삶에 필요한 이유이기도...
9,상실로 인한 자유는 공허하다. 모든 관계의 전개가 모두 빗나가는 걸 보니 나는 한국 드라마와 헐리웃 영화에 무척 익숙해졌나보다. 개인적으로 무엇보다 부러운건 잔디밭 위의 수업이었다.
10,김현수 기자는  그따위 필력과 지력으로 이제 더 이상 평론을 입에 담지 말기를 바래.
7,주름처럼 늘어가는 삶의 다층적인 균열에 '적응해' 그저 살아가는 개인의 삶. 그 자잘한 균열 하나하나가 연약한 개인에게 얼마나 힘겹고 부치는 일인지.
8,행복은 행복을 찾아가는 과정에 있다
10,잔잔한것 같지만너무 전쟁터같은 실제같은 내 삶같아보는 내내 슬펐다~그래도 마지막엔 자유를 얻은 여주에게 박수를..
10,영화내내 몰입할 수 있다
8,그저 심심하기만한 프랑스영화라고 생각했는데 잔잔하지만 무게있게 다가오는 현실감있는 연기와 아름다운 풍경과 또 내가 무너질수 있을 지도 모르는 순간 무엇에 의지하게 될지 생각해보게 된다 . (나탈리가 책을 손에서 놓지 못하는것처럼 )
8,"상실감 , 무망감  이 다가올지라도 나를 받아들이고 또 채워가며 중심을 잡고 살아가는 삶이란 어떤 것인지..  고요하게 사색하게 하는 영화였어요~"
10,"가족에게 둘러싸여 분주할 때는 모르다가 정작 자신만의 진정한 자유가 주어졌을 때 고독감, 본인의 진짜모습과 마주해야함. 새롭게 다가오는 것들에서 바로 행복을 찾기보다는 낯설고 슬프고 허전함을 느끼며 새로운 하루를 살아나갈것."
9,삶은 사는것이 아니라 살아내는 것..저절로 다가오는 삶을 덤덤히  살아내는것이 잘 왔다가는 것. 그것을 그린 영화
9,교육환경에서의 철학과 사제관계가 그저 놀랍다. 그러기에 이런 좋은 영화도 가능했겠지
10,"슬금 슬금 연말이 다가온다, 이 영화가 생각난다. 별볼일 없는 우리의 삶은 철학을 필요로 한다."
9,담담하게 풀어나간 이야기가 가슴에 와 닿았습니다.
10,마지막 장면에서 눈물이 왈칵
7,지성과 철학을 배경으로 인생의 균열을 관조하다
10,잔잔하게 특별하게 그러기에 평범하고 불완전한 인간이기에
8,철학적 의미로도 좋은 영화지만 사실적이고 세세한 연출과 액션영화보다 빠른 전개가 이 영화가 지루하지않고 흥미롭게 다가올수 있었던 장점이다.
7,허무하다고 느끼는 찰나에 그걸 받아들이면서 얻게 되는 또 다른 .. 감정과 삶.
10,함께해야 하는것이 답은 아니다. 열정적인 젊은 시절에는 보이지 않았지만 한 템포 쉴 때 비로소 보이는 진실.
8,"결국 철학의 한계란 마지막에 남은 고양이 돌보기로 귀결되는 것이며, 그럼에도, 철학의 의의란 그 고양이조차도 오롯이 보내주는 것이리라."
8,"사람은 다가오는 변화를 싫어한다.지금의 생활이 변하지않고,주변사람과 물건,추억이 변하지않기를바란다.하지만 시간의흐름은 반드시 변화를불러온다.주변의모든것은나를떠나가고새로운변화가다가온다.결국사람은모두혼자이고그에따른고독을어떤방식으로견뎌낼지는자신의몫이다."
9,지나간것에 얽매이지 말고 다가오는것들에 설레임을 갖고 두근두근~
8,인생이란.... 편안한 삶속에 잃고 얻는것들. 다 잃은것 같은 순간에 스치듯 다가온 것들
10,자극적인 요소없이 잔잔하지만 여운이 짙은 영화- 삶에서 큰 굴곡? 이라 할 수 있는 '다가오는 것들'에 대하여 철학교수 담게 철학적인 면모로 넘기는 주인공 나탈리의 모습. 또 이자벨 위페르의 연기란!
8,자연스럽고 평범해서 더 대단한 영화
7,"삶 속에서 내려야 하는 중대한 결정에서 &#34;왜&#34;를 고민하기보다는 무언가에 의존하는 인간의 본성을 돌아보게 만든다. 그러나,프랑스 영화가 버리지 못하는 지적 허세는 어쩔 수 없다. 문장이 많으면 영화를 망친다."
10,"나에게는 올하반기최고의영화. 늘그렇지만,영화홍보문구가 영화를잘설명하지못했다."
9,"중년 나탈리의 삶에 완전 공감, 삶을 대하는 태도에 대해서 많은 생각을 한 시간이 되었어요. 배경 음악도 멋졌구요. 특히 오래간만에 보는 프랑스 영화라 느낌이 색달랐으며, 혼자 사는 여자분들이 많이 보시고 치유받았으면 좋겠다는 생각을 했어요."
10,기댈 곳은 오직 희망과 시간뿐이니.
9,"무수히 많은 이별가운데 나에걱 찾아온 이별, 이자벨의 연기 좋아요"
8,중년의 위기룰 맞이한 한여인의 성공적인 홀로서기! 주제는 평범하지만 영화는 너무 인상적이었어요  대처하는 모습도 극복해내는 자세도 너무나 훌륭했습니다 중간중간 나오는 음악은 정말 멋졌어요 마지막 아카펠라는 지금도 귀에 쟁쟁합니다
9,딸 엄마 아내 선생님으로서가 아닌 한 사람으로서의 삶으로 이해가 가는...그 후에 그녀는 어떤 이야기를 펼쳐낼지 궁금해진다.
7,재밌게 잘봤습니다~~~
7,좋은데 재미는 없다..
8,"시간이 지날수록 자꾸 생각나고, 곱씹게 되는 영화.그리고 이자벨 위페르의 훌륭한 연기."
6,세월이 흐르며 닥쳐오는 이 앞날들을 어떻게 이겨낼 수 있을까.
8,나는 삶에서 오는 위기를 어떻게 해쳐나가야 할까
10,삶을 깊게 통찰력을 갖고 그려냈다 철학책들의 구절을 인용하면서.. 각본에 감탄하고 이자벨 위베르의 연기에 감탄하고 프랑스교육의 철학적 깊이에 감탄하고.. 지적인 영화에 목말라있다면 강추합니다
10,철학과 사유의 힘으로 고통스럽게 다가온 것들을 현실적이고 담담하게 받아들이고 공허함은 자연이 주는 평안함 행복에 대한 상상력 변치않고 남아있는 것들 새롭게 다가온 것들이 주는 희망으로 채우며 산다
