score,reple
10,"박정민이 왜 포스터, 예고에 없는 지 알았음. 어쩜 그리 연기를 잘 하는지"
7,박정민은진짜다박정민은진짜다인정하자
10,액션도 쩔고 계속 장소가 바뀌며 치달리는 영화라 지루하지도 않다! 황정민 이정재 박정민 연기 구멍이 없어서 더 좋은듯
10,목숨과바꾼 가족사랑  그리고 액션 특히 박정민 배우님에 충격적인 변신..좋았어요
10,역시 박정민!!!!조연이아니라 나에겐주연  강철비2보려다 조연으로박정민이나온다해서바로선택한영화인데완전나의신의하수였다?
10,와 이거 감독판으로도 나왔으면 좋겠다
10,박정민이 가장 강렬했음
10,역시 믿고 보는 배우 황정민. 이정재.박정민 이영화는 꼭봐야한다!!!올해 최고의 작품 강추
10,황정민이랑 이정재 같이 나오는 영화는 다 재밌어
10,몰입감 긴장감으로 시간 순삭ㅋㅋㅋ 존잼
2,스토리가 없어요 정말이에요
6,"영화 세줄요약 1. 배우들 연기력,영상미 액션 굳                   2. 스토리 뭔가 빼먹고 만든거 같음                   3. 킬링 타임용으로 보기 좋음"
4,액션만...볼만했음... 나머진...아저씨+테이큰+박정민...
10,이정재는 악역을 해도 멌있냐 ㅋㅋ
10,"박정민은 진심 올해의 히든카드였다 황정민,이정재 사이에서 존재감 제대로 각인됨"
1,이 영화가 왜 평점이 9점이 넘는지  이해하지 못한 1인..황정민님 이정재님 박정민님.. 내놓으라 하는 배우 3명이기에 그나마 본 것이지.. 스토리는 재미도 감동도 여운도 없고 왜 이렇게 만들었지? 하는 짜증만 났습니다. 특히 영화 신세계를 생각하고 보시는 분들이라면 100% 비추입니다.
10,"이정재, 황정민 둘다 좋아하는 배우지만 박정민 때문에 놀란 1인.. 연기 스펙트럼 미쳤다 진짜"
8,"이정재 눈빛은 아직도 기억 나네요배우들의 연기가 뛰어나 재밌게 봤는데, 19세로 제작했으면 더 재밌지 않았을까 하는 조그마한 아쉬움이 있습니다"
7,복도에서 마주친 그순간이 제일 재밌었음..
7,그냥 볼만한 영화 정도임 배우들 연기에 비해 각본이랑 연출이 못따라가는 느낌 이정재는 진짜 ㅈ나 멋있네...
4,감독 역량 부족.스토리 개연성 음악  전부다 노답.이 좋은 배우진으로 겨우 이렇게 만들어서 보는 내내 빡쳤음.
4,황정민 이정재 박정민을 데리고 왜 이런 개밥바라기 같은 영화를 만든거죠? 말해봐요. 왜그랬어요
9,영화 스토리가 좀뻔함..근대 연기자들 연기가 명품임ㅋㅋ 특히 박정민..대박
6,감독이 그전에 어떤영화를 했나보게됨쩌는연기력을~ 저런 스토리와 맹락없는연출로ㅜㅜ 딱6점 조감독한테 연출시킨거같음
10,왜 내가 다 아픈기분이지 ㅋㅋㅋ 타격감이 그대로 느껴짐 ㅋㅋ
4,내용 = 아저씨 + 해바라기 ..하지만 작품성 = 신세계 - 스토리 - 개연성
8,박정민쵝오입니다믿고보는 기대가되는 배우
10,박정민 대박~ㅋㅋㅋ 재밌고 시간 가는줄 모르고 보게 됨~~
4,화려하지만 개연성이 전혀 없는 스토리
10,개봉하자마자 보고 왔는데 재밌습니다 적어도 최근 개봉한 영화들중에선 이게 제일 괜찮아요
2,기생충 지하실 아저씨때문에 일이 커졌다 한국판 테이큰
10,영화 홍보기간 동안 박정민을 감춘 이유가 있었다
10,반도따위랑 비교하지마라그냥올해본거중에 원탑
1,정신병걸리는 영화였음 뭔 되도안한 설정으로 서로 죽이려고 드는데 공감1도안가고 특수부대가 민간인 1명을 못잡고 지고 수류탄이 터졌는데 사람이 산다고? 태어나서 첨으로 평점달아본다 진짜로 ㅋ
6,스토리는 빈약했고 결말은 예상되었다. 개연성도 없었다 황정민은 총 그렇게 맞고 다리 그렇게 다치고 칼을 2방이나 맞았는데 아주 날라다닌다. 슈퍼맨도 적당히 해야지. 신세계급의 그런 뭔가는 절대 없고 돈 값하는지 약간 아리송한 영화다. 다만 이정재의 악역 연기가 실감났고 표정이 좋았다. 박정민의 파격도 기억에 남는다.
10,반도<강철비<<<<다만악에서 구하소서
10,간만에 영화다운 영화를 본 듯!! 황정민 이정재의 연기 케미도 짱이고 무엇보다 박정민 대박!!!
10,와우 박정민이 제대로 했네
10,최근 나온 한국 영화들 중 최고입니다
10,박정민은 진짜 천재다... 감탄밖에 안나옴
6,연기자 연기는 좋지먀 스토리구성이 공감가지않아요
1,저는 평점에 속았습니다....
10,액션 하나는 제대로 보여주는 영화네요! 박정민도 놀랬어요 ㄷㄷ
10,역시는 역시다... 황정민 이정재 박정민이니 연기는 당연히 믿보고 ㅠ 보는 내내 심장 쫄깃함
10,황정민 이정재 자체로 걍 꿀잼 액션씬도 카메라효과가 더 생동감있음 소리가 좀 잔인한편 박정민 너무 아찔한역할ㅋㅋㅋㅋ
10,박정민이 치트키였군ㅋㅋㅋ 연기 너무 잘해
10,아 대박.. 황정민의 저런 찐액션을 본적이 있나 싶고.. 이정재는 저런 악역을 본적이 있나 싶고.. 둘다 어느 정도 루즈해진 배우다 생각했는데 아니네요. 진짜 강렬한 배우들 캐릭터와 (박정민 만세!) 긴장감 쫄깃한 영화고 꼭 극장가서 봐야합니다!!
8,액션씬은 좋은데 스토리가 조금 부족하다
10,액션 진짜 빵빵하고 이정재가 진짜 멋있음
