score,reple
9,어찌보면 흔한 주제지만 그만큼 많은 사람들이 공감할 이야기죽음을 앞둔 상황에서 나라면 어떤 행동을 했을지 생각해보게 한다
10,누구나 죽음을 맞이해야 하는데...생각하게 하고~준비해야 되겠다는 생각이~;;;
10,"자연의 순환 속에서 죽음이란 그저 일상의 한 현상일뿐.가벼이 준비하는 죽음의 의미로, 현재 살고 있는 삶의 무거움을 다소나마 덜어 낼 수 있는 시간."
2,노잼 잠이오는 연기력 비추
8,죽음과 삶을 다시금 생각해보게하는잔잔한 감동과 반전이 돋보이는 영화.영화가 끝나고 난 뒤의 여운이 길게 남는좋은작품!
10,삶에 대해 생각해볼수 있는 힐링 영화였습니다
10,코로나 사태로 죽음에 대해 더 다가오는 주제네요. 앞으로 인생을 생각해 보게되는 사려깊은 감동 영화입니다.
10,"남녀노소 누구도 피해갈 수 없는 죽음을 진지하게 바라보게 만드는 영화다. 죽음이라는 무거운 소재를 때로는 유쾌하게, 때로는 진중하게 풀어나감으로써 젊은층도 영화에 몰입하게 만든다. 언젠가 겪게될 죽음을 대비하며, 살면서 한번쯤은 꼭 봐야 할 영화라 생각된다."
10,"영화 후반부 대반전이 이마를 치게 만들었다. 죽음이라는 무거운주제를 개성적이고 독특한 캐릭터들을 이용해 때로는 진지하게, 때로는 유머있게 그려낸 점이 인상깊었다. 다시보고싶은 영화로 손에 꼽고싶다."
10,"피해갈 수 없는 죽음을 바라보며, 오히려 현재의 삶을 충실하고 의미있게 살아가라고 얘기하네요.흔한 카르페디엠 일 수 있지만 마지막 반전은 영화의 재미 ^^"
10,아직 20대 밖에 안되지만 타인에 의해 비롯된 자신의 기억과 그 기로에 있는 삶과 죽음 그 어딘가에 대한 심오한 내용이 교훈적이면서 철학적으로 다가옵니다.  우리 모두 죽음이란 무엇이고 존재란 무엇인지에 대하여 고민해 볼 수 있게 하는 좋은 영화인 것 같습니다 같이 보신 저희 할아버지는 &#34;교수의 영화로는 백점이다. 연령대가 있는 사람들은 필히봐야할 좋은 영화이고 문화센터의 학생들에게 널리 추천하고 싶은 영화다&#34; 라고 감상 남기셨어요^-^
10,삶과 죽음. 천국과 지옥. 행과 불행. 모든 이분법적 경계선들이 사실은 우리의  생각과 기억을 통해 결정된다는 주제가 신선했어요.. 특히 타인의 기억을 통해서 말이죠. 개인적으로는 절대적인 생사관을 지지해서 영화속 상대적인 생사관이 낯설기도 했지만 영화적 주제가 잘 드러나서 점수를 높게 드립니다.
9,삶과 죽음이란것에 대해 한번 곱씹어 보게 만드는 영화 특히 정확히 기억은 안나지만  극중 민목사의 대사중 죽어서 자신이란  존재가 있었다는 것을 포함해 모든게 완전히 잊혀지는것과 살아는 있지만 다른 사람들이 자신이 살아있다는 존재조차 모르는 삶이라면 무었을 택할까라는 대사가 나오는데 특히 기억에 남네요
9,우리는 누구나 죽음을 맞이하게 되는데 우리의 삶을 되짚어 볼 수 있어서 좋았고 한번쯤은 꼭 볼만한 영화~
4,그냥 이 아줌마도 안나왔으면 좋겠어요 보기 싫네요
2,역시나 연기력 별로...ㅡㅡ
10,"우리는살것이고, 저들은 죽을것이다 삶과 죽음의 순환은 계속된다"
6,죽음을 목전에 둔 인간의 희로애락을 다룬 작품
10,"영화 정말 좋았습니다, 박철웅 감독님의 꼼꼼한 연출이 좋았습니다. 주연인 반민정님의 연기 오랜만에 봅니다. 이번 영화 연기에 혼신을 다한 연기가 인상적이었습니다. 고 김수환 추기경님이 강연 때 늘 하시던 말씀이 생각나는 영화였습니다. 감독님, 스텝분들, 배우분들 모두 수고하셨습니다!"
10,"너무 재미있고, 의미있는 영화 잘 봤습니다. 대전시민들에게는, 대전이 고향인 분들에게는 반드시 권하고 싶은...  우리의 기억이라는 것, 우리의 identity라는 것: 뇌가 아파지면(종양이 커지면) 우리의 인식이 왜곡되고, 진짜 우리 자신을 define 할 수 있는 것은 무엇인지. 중간에 빵 터지기도 하고, 재미있으면서도 깊이 있는 몰입에 시간 가는 줄 모르게 감상했습니다.  목원대학교 TV.영화학부 박철웅교수님!이시기도 하신, 박철웅감독님... 각본까지 직접 쓰시다니.. Incredible!! 합니다.   우리가 늘상 다니던, 둔산, 은행동, 엑스포 다리, 대전역... 등이 너무 아름답게 담겨진 멋진 영화! 강추합니다"
10,죽음을 어떻게 대할지에 대해 진지하게 생각해보게 됩니다. 젊은 사람도 늙은 사람도 모두 죽음을 앞두고 더 살기 바랍니다. 얼마나 더 살아야 우리는 죽음을 쉽게 맞이 할 수 있을까요? 죽음에 저항하기 보다 영화속에서 그랬던 것처럼 살아서 하고 싶은 것을 더 해보는게 좋지 않을까요??
10,이경민배우 실제로 본 1인인데 대박 예쁘고 매력적으로 생겼는데 영화에선 미모는 아예 가려지네요멋진 연기는 최고 였습니다!
