score,reple
10,가벼운 유모차에서 무거운 스쿠터로..살포시 성장을 은유한다.
8,둘이 그렇게 머리를 맞대면 뭐든 못헤쳐 나가겠니.
6,너무 갑작스런 참회는 공감가기 힘들다..
8,끊임없이 사고 팔다가 사지말아야할것과 팔지 말아야할것에 손을 대고말았다. 다커서 어른이 되지 못한 이유는 무엇일까
8,부모의 무관심 속에서 아픈경험을통해 성장하는 아이들...
10,다르덴아저씨들 완전좋아요
8,쓰레기 같은 브루노의 행실이 쉽게 바뀌리라 생각치 않는다. 용서하고 싶지도 않다.
6,솔직히 연민보단 분노가 치밀었다. 경험해봐야만 옳고그름이 구별되는건가?
7,브뤼노의 울음은 한꺼번에 터진 성장통
7,"소재는 마음에 드는데, 전작인 아들에 견주면 큰 울림은 없다"
10,누구에게나 추천해줄 수 있는 영화.
10,아... 역시 다르덴.  가슴을 저미게 만든다.
10,"아이처럼 철 없고 위태위태한 그들, 하지만 모든 것을 감수하고 어른이 되는 그 순간은 눈물과 함께 찾아온다"
10,하류인생의 뼈속 깊은 슬픔.
8,전작들과 동일한 전략.. 여전히 감동적이지만 조금 매너리즘의 느낌도..
8,칸 영화제에서 좋아할만한 '스테레오타입 유럽영화'
8,성장통의 고독함에 대한 영화. 다르덴 형제의 카메라에선 거장의 내공이 느껴진다
9,성장통. 그 이상
8,어른이 되길 원하지 않았지만 어른이 될 수 밖에 없었던 그들. 어떻게든 도망쳐봤지만 삶은 더 무겁게 받아들이라 말할뿐.피하지 않고 어른이 되기로 결심한 순간 터져 나오는 눈물은 아름답다.
8,잊어버리기 힘든 불쌍하고 한심한 인생
9,*'부르노'와 '소냐' 의 마지막 억눌렸던 감정의 카타르시스는 아이가 어른이 되기 위한 성장의 걸음마가 되었을 것이다.
8,둘이서 머리를 감싸안고 울부짖으면서 끝나는 마지막장면이 참 좋네요
7,다르덴 감독의 연출 스타일을 좋아하지만 이번꺼는 소재가 너무 극단적임. 그래도 몰입감있게 계속 보게됨.
8,다르덴 형제 식 성장기.
8,사람은 누구나 삶을 살아가며 선택을 하게  된다. 무엇을 선택하던 간에 그 선택의 결과는 받아들여야한다. 그런데 영화 속 아직 child인 두 주인공에게 삶은 고달프고 힘들다.
8,도저히 철들지 않을 것 같았던 어른아이의 최소한의 인간적 양심에서 실낱같은  희망을 보다.
8,끝이 보이지 않는 터널을 통과하는 듯.... 그래도 마지막 장면에서 희망을 봤다. 다르덴 형제 영화 너무 좋다.
9,아이와 같이 성장하는 부모
7,다르덴의 조금은 식상한 어른과 아이의 인과응보의 윤리학. 언제나 생각할 겨를이 없는 정신이 없이 바쁜 이 쓸쓸한 생.
9,아이를 매개로 성장하는 어른아이들
8,잔잔하다
9,재밌게 봤음
10,우린 어쩔 수 없다
6,난 왜 아무 느낌이 안들까? 그냥 멍
10,위로를 해준다. 가슴이 따뜻해졌다.
8,좋은 연기와 주제.. 맘에든다..
8,어른이 된다는 것...
8,진심으로 정말 많이 울었다
10,다르덴 형제의 영화는 소리없이 시작해 소리없이 막을 내린다..
7,"영화가 끝나고 집시킹이, 영화에 음악이 없네?라고 했던 것만 생각나노 왜!"
9,영화다운 영화. 윤리적인 시선이 느껴진다.
8,걷고 또 걷는 다르덴 영화
7,Normal.
10,파국으로 치닫아도 저지를수밖에 없는 현실
6,하루하루 참 힘드네
9,애들이 참 뽀송뽀송하다.
7,여자말 잘 들었어야지..
8,여자는 남자의 미래다.
8,다큐멘터리를 보는 기분이었다.
9,브루노의 눈물에서 할 말을 잃었다! 훌륭한 영화임에 틀림이 없었다
7,하루살이
10,감동적이었다
10,심심하면서도 심오하다??고 생각됨.
6,눈물로 용서하기엔 너무 영화가 지루하다.
6,지루해
10,아이가 아이를 가짐으로서 책임에 눈을 뜨다
9,"아프게, 더디게 깨달아갑니다."
1,지겨워서 보다만.. 티비프로그램 싱글맘의하루 밀착취재 이런거같아..
10,충격 충격 완벽한 저예산 영화 . . 1500억짜리 영화보다 좋다 .
8,이제 철 좀 들었냐?
10,"영화의 의미, 그것이 무엇인지 느낄 수 있다."
10,숨막힐정도로 현실적이고 사실적이다. 해머로 머리를 얻어맞은느낌...
10,놀라운 직관력
10,새로울것 없지만 계속되어야만 하는 영화
7,현실적이지만 새로울 것도 없는 영화.
9,끝까지못봤지만.. 음악이없어서 좀 허전했다.
7,유럽 영화 다운 유럽 영화!
8,기껏해야 어설픈 좀도둑일 무개념 철부지의 개과천선
10,마지막에눈물이나도모르게나왓다
10,"그들이 성숙해가는 과정을 잘 관찰해가는 영화,,,"
8,삶이 그리 녹녹지 않음을 담담한 시선으로 전하는 영화
8,적어도 제니주노보단 훌륭해-_
5,기대이하.. 결말 허무하다.. ㅡㅡ
7,다르덴 필모 전체에서 가장 쳐지는 작품
7,어둡고 질퍽한 곳을 가장 따스한 시선으로 감싸는 형제감독
10,현실성있는영화. 나 자신을 알라!
10,우울하지만 좋은 영화다. 제니주노와 비교하지마시길.
7,재미없다. 그러나 그들의 영화는 늘 사람들을 각성시킨다.
8,사회에대해 씁씁하게 만드는 기운빠지는 영화
7,기대에는 못 미친다.
8,브뤼노가 담에 무얼할 지 착착 보이더라.
8,허무한 결말이었지만.. 왠지 다시 생각나게되는
9,이게 다 기성세대들의 잘못이다..양심의 가책을 뼈저리 느껴라..
6,다르덴이 뭐 별거냐. 다 개인적인 취향이 있는 것이다.
8,"다른 게 아냐, 딱 그나이대 그처지에 내몰린 우리들 자화상이다"
6,그다지......
7,다르덴 영화치곤 평범하다.로제타에 못미치는.
7,철이 없다는것과 젊다는것...
8,"아프게, 더디게 깨달아갑니다....."
10,좋은 영화다
8,브레송이 조아라하겠군...
9,마지막 두 사람의 애처로운 울음이 많은 생각을 하게 한다.
10,그 못된 브뤼노가 끝내 애처롭다...
10,감동적인...
9,처음부터 뒤쪽에서 봤어야 했는데.
10,훈훈한 감동적인...
8,불쑥 날아든 편지를 읽어내려가듯 낯설지만 따뜻하다
10,"거대한 자본주의의 구조, 그 귀퉁이에서...."
9,"아프게, 더디게 깨달아갑니다"
8,"건조하게 흔들리는 시선에서 읽혀지는 사랑, 피곤한 삶"
