score,reple
10,영상미 너무 예쁘고 캐릭터들도 너무 매력넘쳐요!!브금은 말해뭐해 입만 아프네여!꼭 보세여!눈과 귀가 황홀한 경험이 되었습니당!
10,밀라 공주 너무 예쁘고 매력있음!! OST가 너무 좋아서 꼭 극장에서 보세요 강추!!!!
9,색감이 너무 예쁘고 귀여운 캐릭터에 음악까지 너무 좋았어요.. 오랜만에 웰메이드 애니메이션이 나왔네요
10,"고퀄리티 영상미와 스토리에, 성우 분들 목소리도 멋짐 폭발ㅜㅜ 힐링 ost까지 다 완벽했어요♡♡강추!!"
10,영화보는 내내 흥미롭게 진행되어 시간이 금방 지나갔어요이번 여름방학에 개봉한 영화 중 어른과 아이가 함께 보기에 가장 좋은 영화인 것 같아요탄탄한 스토리라 어른이 봐도 지루하지 않아 정말 재밌게 봤고 스펙터클한 어드벤처도 볼만했고 코믹한 캐릭터를 비롯해 영상은 물론 배경음악도 다 좋았어요
10,"현대적으로 재해석되어 새롭고  재밌었어요! 특히 김소현,손준호가 부른 ost 대박~ 좋네요"
10,새로운 컨셉의 공주 소녀소녀한 공주가 아니라 더 좋았어요!
10,초3남아 초1여아와 같이 봤는데 모두 다 재밌게 볼수있었습니다우크라이나의 못들어본 제작사였는데 영상은 디즈니못지않았네요
10,영상이 정말 예쁘고 재밌어요.영화 내용도 흥미롭게 진행되어 정말 시간이 금방 지나갔어요. 어른과 아이가 함께 보기에 딱 좋은 영화인 것 같아요스토리도 탄탄해서 어른이 봐도 정말 재밌게 봤고 스펙터클한 어드벤처도 볼만했고 코믹한 캐릭터를 비롯해 영상은 물론 배경음악도 너무 좋았어요. 주말에 애들하고 같이 꼭 보셔요.강추입니다.
10,아이들과 보기 딱 좋은 영화네요~푸쉬킨 작가의 원작 동화 스토리와 캐릭터들이 너무 잘 어울렸습니다^^ (OST도 너무 좋네요!)
10,ost 좋네요~첨에 유치할것 같기도 하지만 보다보면 너무 재밌어요~^^♥
