score,reple
8,ㅋㅋㅋ스토리도 탄탄하고 연기자들 연기도 누구 하나 나쁘지 않았는데 왜 저렇게 별로라고 그러지ㅋㅋ남들이 별로라 하니까 괜히 휩쓸려서 나쁘다 하는거 같은데 웃김ㅋㅋ이 정도면 평타는 쳤음
8,걍 전지현의 매력을 다시 살려준 영화..
6,웨이홍 역 캐스팅에 돈을 좀 투자했었어야....
8,사기꾼들이란 제목이 더 어울릴정도로.. 계속된 뒷통수 반전들이.. 2시간 넘게 집중할수 있는 했던.. 오락영화로 괜찮네..
8,김윤석 액션 연기 볼만했음
9,가벼운 마음으로 보는 킬링타임용으로 제격. 상업영화도 이정도로만 만들면 영화값이 아깝진 않을듯.. 아쉬운 부분도 확실히 있었지만 캐릭터만큼은 맛깔나게 잘 살림. 김윤석과 김혜수 전지현 연기보는 재미도 쏠쏠했음.
10,전지현굳굳
8,재밌어요
10,아따김수현잘생겼다
10,재밌어요..! 제 취향인진 모르겠지만 임달화씨 멋있었어요ㅋㅋ
10,복희야~~~사랑해~~~~(수현왈)마지막대사가 죽이네
9,결말이 나름 매력있으면서 좀 아쉽다ㅋㅋ배우들 캐릭터 각자 다 개성있고 좋은데 전지현 김수현 매력터져서ㅋㅋㅋ끝에라도 좀더 나오길 바랐는데ㅠ 암튼 오락영화로선 최고다! 지루할틈없이 싼티나게 웃기는것(?)도 없이 끝까지 몰입해서 재미지게 봤다~ㅋㅋ
7,기가막히는 훔치는 '방법'과 반전에서 오는 카타르시스를 맛보고 싶었지만 너무 약했다..... 하지만 2시간이 넘는 영화를 보면서 지루하지 않았던건 이영화가 처음이다;;
10,정말 재밌었어요.. 전지현이 다시 한번 빛을 본 영화가 아닌가 싶네요.
10,확실히 크게될 감독이다 전체흐름이나 볼거리도 잘만들고 의외로 엄청 디테일하다 말이 캐스팅빨이지만 저렇게 많은 배우를 활용하는것도 감독의 능력 ...그릇이 그만큼 큰 감독이라는거 앞으로 정말 기대됨
10,웨이홍역 아주 괜찮았는데 .. 무슨 보스는 무조껀 우람한 덩치에 흉터있는 얼굴이어야하는 고정관념 한심하다 ;;  난 웨이홍 매우 현실적인 보스로 바라봤는데
10,전지현 존예. 김혜수 아오... 개존예...언니들 스릉해요.
8,DMB로 봤는데 집중하다보니.  계속 들고봄. 팔아픈줄도모르고.
7,오~~~ 재밌는데 ㅋㅋㅋㅋ 이정도면 오락영화로써 훌륭함. ㅋㅋㅋ
8,어디서 본듯한 장면이 많긴 하지만 확실이 세련됐고 재밌다.
10,아 진짜 대박재밌음 레알 도둑들 짱짱맨
9,전지현의 캐릭터가 우리에게 너무 강렬하게 다가와서 처음엔 후반부 스토리가 별로 와닿지 않앗어요
9,도둑들 너무 재미있게 봤어요 평점이 왜이렇게 낮은지 모르겟어요ㅠㅠ
9,재밌게 잘봤습니다 대사 쓰느라 머리 좀 많이 굴리신듯
10,미친 평점조작좀보소 ㅋㅋㅋㅋ
10,착하게 살자
7,저 배우들중에서 전지현이 제일 기억에 남을줄이야...
9,주군거리지마라 주군의 태양 재밌는지는 모르겠는데 결방했다고 별점테러하는 것들 정말 쓰레기다
10,뭐야..? 이거 잼써서 비행기에서도 맨날천날 다시 봤는데ㅋㅋㅋㅋ7년만에 우연히 들어왔는데 평점이 왜이래..? 역대급 영화 아니냐
10,여기서주군의태양은 왜운운함? 욕할려면 도둑들편성한 sbs를 욕해야지
9,한국 상업영화 중에서 손에 꼽힐 정도의 수작인 것 같은데 평점이 왜 이리 낮은지..?
