score,reple
10,소리내는 방법이 틀렸지 그들에 생각은 맞았다고 본다. 그래도 오죽했으면 저랬을까... 가슴이 아프내... 일본 사회에 현실을 보여준다... 약하면 찍어내리는 현실을...
3,너무 지루해서 20분 보고 나옴
10,일본에는 역시 깨어 있는 사람이 많네.
1,차라리 이현세 만화 남벌을 봐라...이런 찌질한 것 보다 훨씬 나은 작품
10,"처음에는 일본인이 항일테러를 했다는 사실에 놀라고, 테러범들의 순수함에 두번 놀란다. 그들의 정신이 깨어나 일본을 구원할 수 있기를."
10,"일본 사회의 모순과 이를 격파하려 했던 노력들, 이 목소리들이 담겨서 좋았다. 아마 이야기하지 못한 점이 많겠지만, 조금이라도 목소리를 담으려 했던 그 노력이 너무도 중요하다. 식민지 시기를 겪었던 이들이 하나 둘 씩 세상을 떠나고, 일본의 전쟁책임/식민지 지배책임 부저은 계속되는 상황에서 생각할 만한 거리들을 여러개 던져준 영화. 영화관에서 내려가기 전에 또 보러가야지."
10,어느 시대나 이런 사람들이 있어서 그나마 숨을 쉬고 사는가봅니다~ 내가 선 자리에서 이 극악무도한 자본에 맞서 저항하리라 영화를 보고 다짐합니다|~
10,잠드는줄 모르고 봤습니다.
10,일본인은 이렇게 힘으로 찍어눌러야 말을 듣지
1,이런 연출 하실거면 차라리 영화를 만들지 마세요.
10,김재규 장군님처럼 훌륭한 분들의 다큐입니다.총맞아 OO 마사오하고 다르게 최소 폭력행위를 반성도 하시고 ㅠㅠ
1,우리나란 자유 민주주의 국가 맞다니깐 그러니까 이런 OOO 같은 영화도 영화랍시고 개봉하지
