score,reple
8,죽고 싶지만 죽을 수 없는 운명. 우리의 삶도 로제타와 비슷하지 않을까. 인생이란 축복이자 한 편으론 저주가 아닐까 삶의 배경을 한 번 더 생각할 수 있었고 먹먹하게 만든 영화. 지금 처해있는 상황이 로제타와 비슷해서 그럴 수도. 평범하게 살고만 싶다
8,정말 짧은 러닝타임 내에서 정말 중요한것만 보여주는 영화 였어요. 누가 로제타에게 돌을 던질 수 있을까요 영화가 끝난 뒤 OST 들으며 다시 되새김질 하려고 했는데 생각해보니 OST가 없더군요 그치만 OST 없이도 충분히 다시금 떠오르는 영화였습니다.
8,왜 약자들끼리만 싸워야 하는가. 로제타와 리케 두 사람 모두 잘못이 없다.
10,삶의 무게를 온 몸으로 지탱하는 로제타를 보며 나 자신을 많이 반성했다
8,죽는 것도 돈이 있어야 하는 아이러니… 없이 지내는 삶에서 인간적 존엄과 도의적 신념을 지키며 산다는 것의 어려움을 느끼게 해주는 영화. 투박하지만 날 것 그대로의 연출이 인상적이었습니다.
9,불안은 끊임없이 삶을 잠식하고 연대의 희망은 실낱같다.
10,가스통.... 진짜 영화보면서 내가 대신 들어 싶더라.영화이긴 하지만 진짜 잘되라고 응원해주고 싶다.
10,괜찮았습니다. 조용한 시간에 조용히 생각하면서 볼 수 있는 영화.
7,사실을 잘 포착한 영화에는 효과음이나 음악이 필요하지 않다는 것을 느낌.
10,살기도 힘들고 죽기도 힘들다 로제타옆에 리케가 있어줬으면 좋겠다
10,20대때 구직활동하면서 겪었던일이 생각나서 감정이입 너무했는지 보는 내내 울었어요. 로제타가 화나서 이곳저곳 돌아다니는 모습 표정에서 예전에 내가 보여서...왜이렇게 평범하게사는게 힘든건지 ... 영화에서는 착한 남자하나 보내주는데 그것이 희망인건지.
9,"안정된 일자리, 평범한 삶의 행복을 누리고싶었던 로제타. 그녀가 참았던 울음을 터뜨릴때 함께 울었다."
10,얼마나. 울고싶은 순간이 많았을까. 쌓여있던 울음을 토해내고 로제타는 힘차게 다시 일어설것이다 이제 혼자가 아니니까.
9,태어나는것도 죽는것도 선택 할 수 없는 지독한 삶의 굴레. 감히 그 어떠한 위로조차 해줄 수 없어 그저 바라 볼 수 밖에 없었다.
10,카메라가 로제타 옆에 챡 붙어서 촬영을 했는지 영화 보는 내내 내가 로제타와 함께 있는 기분이었다 영화가 끝나고 나니 왠지 로제타랑 친구가 된 느낌?
10,볼살 통통 귀여운 로제타. 보는 내내 그녀를 응원하게 됨. 낚시에 소질 있던데 그걸로 어떻게 취직 안 될까 생각까지 해보았음.
10,비참한 가난에서 벗어나려 발버둥쳤지만 그것마저도  사치라니.
8,"단지 평범한 삶, 그것 하나"
10,집요하게 끌고가는 감독의 스타일은 혹시나 하는 영화적 결말을 꿈꾸지 못하게 한다. 이것이 다르덴 형제의 매력이다. 그리고 그 안에서의 영화적 교감을 할수있다는게 그들 영화의 미덕이다.
10,내가 본 다르덴 형제 작품중  최고
10,20년만에 봐도 여전히 눈물나고 괴로운 로제타의 뒷모습
8,감사함이 고갈되어 삶이 힘겨울 때 꺼내봐랴겠다.
10,그녀가 느껴왔을 무수히 많은 슬픔들
8,마지막에 리케가 오토바이를 타고 로제타 주변을 맴도는 장면이 인상깊었다.
10,마지막 장면에서의 로제타의 눈빛은 잊혀지지 않을거같다.
10,로제타만 바라보는 시선이 인상깊었어요
9,"깊은 진흙탕과 같은 사회 시스템 속에서 처절한 몸부림으로 살아가야 하는 이 시대의 수많은 로제타에게 따뜻한 온기와 위로를 건네며, 생명력이 강하게 숨쉬고 영화이다. 로제타 역의 &#39;에밀리 드켄&#39;이 10대 후반에 찍은 영화이지만, 영화를 이끌어가는 힘은 &#39;마리옹 꼴띠아르&#39; 못지않는 감정 연기가 매우 인상깊었다.*가스통의 무게보다 외로움의 무게가 더 컸던 로제타, 당신은 우리 모두의 친구입니다."
10,"로제타의 행동이 이해가 되고, 또 그 상황에서 각성이 된다는게 감동적이었다"
10,질퍽한 로제타의 삶에 햇볕이 짱짱히 내려쬐기를...
9,진흙탕에서 빠져나올 수 없는 삶의 굴레
8,생각할 수록 더 좋아지는 영화 마지막 장면이 잊혀지지 않는다
8,그리 기대하고 본 영화는 아니였지만기대 이상으로 몰입도 도 높고느끼는것도 많은 영화 였습니다.주변 지인들에게도 추천하고 싶네요
10,타이트했던 화면만큼이나 숨쉴틈없었던 로제타의 삶. 사는게 무엇일까 생각하게 만들었던 영화였습니다. 잠들기전 혼잣말하는 장면에선 저도모르게 눈물이 나왔어요
10,이젠 로제타란 이름만 들어도 슬프고 와플만 봐도 눈물이날거 같아 ....
10,마지막까지 로제타스러운 결말
8,다소 지루할 수도 있으나 몰입이 잘 되었고 정도의 차이는 있지만 우리네 삶의 축소판이었다.
10,매력적이다 소름이다 로제타에 공감됩니다
10,질펀한 바닥에서 신발을 갈아신던 모습을 잊을 수가 없다.
7,은은하게 볼 수 있는 영화 처음보는 예술영화? 였는데 상업영화와는 다른  재미였습니다
9,마지막의 로제타의 응시가 계속 맴돈다. 처음부터 카메라는 뒤 따라간다. 엄청나게 화면이 흔들린다. 나 또한 흔들린다. 그리고 그에게 연민과 동정이 들 때 마 다 정신 똑바로 차리고 봐야했다. 그런 차원의 감정으로만 로제타를 나는 바라 볼 수 없었다.
10,소문난 잔치에 먹을 것도 많았다.
10,삶이 담긴 대사가 주옥같았다
8,장화가 아닌 부츠가 잘어울렸던 로제타.물보다는 맥주를 고파했던 로제타.일보다는 관심을 고파했던 로제타.
7,그저 로제타 앞날에듀 봄날이 오기를
8,먹고 사는  일이 얼마나 고달픈가를 보여준 영화. 궁지에 몰리면 선의를 베푼 이에게 칼을 들이대는 사람들이 있어 슬프다.
9,살기도 힘들고 죽기도 힘든 우리의 삶.
10,"사람들이 같은 처지에 처한 사람들에게 공감을 하고, 이해할 수 있다는 것을 깨닫게 해준 영화."
8,"삶과 생활의 의미(분화)론.이렇다 할 (영화)음악은 없지만, 음악 같은생활 소음, 산업 소음 같은 음악.연출하지 않는 연출, 연기하지 않고 생활하는 연기.혹독한 생활 속으로 입수入水."
9,
9,다르덴 형제 최고의 작품
10,윤리로 결합되는 만남을 넘어선 잔혹한 현실 만남의 진수
10,사회안정장치라는것은 단지 하층민들을 통제시키기위한 수단으로보여져 아쉬움을 만든다 절대 구원해주지않으면 연명하는삶 비참하다
6,잘해주고 엄청 호의적으로 대해줬는데 통수 씨게때리네 ㅋㅋ
8,삶을 살아간다는 것은 매일매일 전쟁이라고 생각한다. 전쟁안에 작은 행복감만 있고 희망이라도 있으면 살아갈 이유가 될 것 같다.
7,Rosetta 20190520
9,"가까이서 서민의, 노동자의, 한 삶의 절박한 처지를 치열하게 팔로우함으로써 우리를 톺아보게 한다. 따뜻하게 노동진보를 다룬 전형적인 다르덴 형제 스타일."
7,너무나 치열했던 영화.
10,그녀는 희망을 다시  찾을수있을까
9,내 이야기 같은 로제타.그녀의 웃음을 다시 보고 싶다.
8,근접 촬영으로 흔들림을 주며 긴장감을 계속 주는 영화. 소작품속에 들어있는 구직을 위한 노력과 부도덕함을 고발한다. 마지막에 양심의 가책을 느껴서인지 주인공은 그동안 당해왔던 해고를 이번엔 역으로 사장에게 통보한다. 그러나 현실이 달라지지는 않는다.
9,지나치게 괴롭다. 결말을 보기 전까진
9,이해하기보다는 피부로 느끼는 로제타의 ‘그랜드캐니언 세계’
9,한 소녀가 자신의 삶에서 발버둥치는 모습이 불쌍하면서도 아름다웠다. 그녀는 나를 위로해 주었다.
10,"다르덴형제 최고 걸작, 무슨 말이 필요하랴"
3,조금 앞 쪽에서 봤는데 화면이 너무 흔들리고 답답한 분위기에 멀미나서 나갈까 몇 번을 고민함. 큰 상 받은 영화라고 해서 끝은 봐야 겠다 싶어 꼬집으면서 참고 봤는데 정말..로제타와 함께하는 마지막까지 너무 지치고 힘들었다.연출이 많이 부담됐다.
2,"영화가 보기 힘겹다. 영화내내 로제타의 시점으로 구직활동, 집, 엄마챙기기 1시간 30분내내 반복적으로 구성되며 카메라는 지속적으로 흔들리며 (화면을 보기 힘들정도로) 영화내내 모든게 답답하고 무겁다."
8,"쉽게 단정짓지 않고 짐작만 할 뿐, 다르덴 형제가 삶을 응시하는 태도와 방식"
2,어떤 영화인지는 알겠는데 개인적으로 카메라가 너무밀착시켜서 그런지 어지러움증 유발되고 결말이 뭔가 허무하다는 생각을 하게 되네요
4,그래서 와플가게는 왜 관둔건데
8,영화에  대한 전문적인건 잘 모르지만 그냥  내눈엔  로제타와 리케의 러브스토리로도 보여서 재밌게 봤다
