score,reple
10,영상미와 연출력이 돋보이고 영화적상상력과 연극적요소를 너무 잘배합한 영화...
10,흑백으로 제작한 이유가 참 설득력있게전개되는 작품으로 연극과 영화의 요소들을 적절하게 연출해서 직장인들의 고민과 현실타협의 아이러니한 경계선을 독특하게 표현했다
5,흑백의 영화와 연극적 요소가미
8,희곡을 영화로 만들고자한 제작자에게 박수를!이렇게 신비롭게 재미진 영화가 탄생했으니...연극 무대에서 종종 봐오던 배우들의 활약이 반갑다
10,"배우들의 연기와 흑백영상이 빚어내는 동시대의 잿빛 미래, 그리고 그 앙금들이 남긴 무늬"
10,"영화와 공연, 실제와 상상을 오가는 표현이 흑백이라는 장치와 잘 맞물린 수작. 배우들 연기가 신선했다."
1,평점 조절용 평점
10,많은 드라마 영화에서 배역 가리지 않고 신스틸러로 활약중인 박지연 배우의 풋풋했던 모습을 단편 모음으로  봐서 좋았습니다
10,왜 이런영화는 안뜰까 꼭 떳으면해여
10,
10,시대의 청년들을 대변해주는 극인것 같다.. 지금의 나를 토닥여줘야지... 배우들의 연기 너무 좋아요
7,빌어먹게도 양자역학처럼 통제하기 어려운 세상살이
10,"우리 모두 날고 싶어하는 루비...누군가는 포기하고,누군가는 방향을 틀고,누군가는 다시... 처음부터 다시... 다시 시작...누군가는 짜증나도 그냥 그렇게 살아남아 버티고...결국 승자는 누구일까?날지 못 하는 루비는 어디에서 헤매고 있을까? 그 친구도 실은 되게 날고 싶었을텐데... 모이 얻어 먹으려 그냥 그렇게 버티다, 어디서 모이라도 얻어 먹고는 있을까? 살아는 있을까? 뭐하고 있을까?여러 질문들이 떠오르던 영화나의 삶을 좀 더 깊이 있게 바라볼 수 있었던 시간 이었다."
10,"독립영화는 정말 오랜만에 봤음. 연극적인 느낌, 사실감을 느낄 수 있는 그런 영화. 만족"
10,
10,"낄낄 거리면서 보다가도, 뭔가 숨이 턱 막히는 기분..."
10,착잡하지만 이게 현실이라는게 너무 슬프네요
7,나쁘지는않다 거기서더발전
10,평점 조절용 나이스  나이스나이스나이스사실 안봤지롱
