score,reple
9,낮에봐도 방음된곳에서 소리키우고 보면 소름이 쫙쫙..초등학생때 후속작의 충격이 컸는데 지금도 대단하단 말밖에.. 근데 줄거리소개에 내용이 다적혀있는건 뭐지
10,"링과 주온을 모델로 워낙 많은 공포영화가 만들어졌기에 지금 보면 그다지 무섭지 않지만, 링이 처음 나왔을 때의 그 공포는 정말 대단했음. 극 내내 느껴지는 그 효과음과 분위기는 정말 휴... 그때 당시 정말 충격적이었던 공포영화."
10,아직까지 링보다 무서운 영화는 못봤음...
10,정말 공포 제대로였던 것 같다.. 지금 혼자보면 아마 미쳐버릴 것이다 ㅎㅎㅎ ㄷㄷ..  이런 공포.. 너무너무 무섭다..ㅠ
10,그 당시에 스토리나 연출은 정말 충격 그자체였음..지금도 많은 공포영화가있지만 링처럼 창의적인 스토리는 보질못함
10,이보다 무서운 공포영화를 10년 동안 찾아헤맸지만 여전히 지존급 공포. 집에서 혼자 이 영화를 보는건 거의 자살.
7,티브에서 귀신 나오는 장면이 제일 무서웠음.  영화보다 원작 소설이 더 무서움.
10,무섭다기보다는 공포영화치곤 진짜 재밌다. 추리해서 풀어가고 전개하는 과정이 군더더기 없이 세련됐음. 그리고 기분나쁜 음향효과도 좋았고 비디오도 기분나쁘게 잘 찍은거 같다. 다만 결말이... 너무한다ㅠㅠ 소설도 재밌음. 강추.
10,지금 보는데도 소름돋고 음울함이 공포스럽다 컨저링 인시디어스 이런 거는 비할 바가 못 된다
10,진짜 완전무서움 질질싼다 진짜로
10,주온이나 링은 일단 분위기에서 압도된다. 서양 오컬트는 극적인 연출과 촬영기법으로 현실감보단 영화를 보고있다는 느낌인데 주온이나 링은 영화를 본다는 느낌보다 진짜 내가 그 현장에 있는거같음.. 그래서 더 무섭고 미칠거 같다;
10,일본공포영화중 최고. TV에서 기어나오는 사다코의 모습은 숨이 멎을 정도의 충격과 공포를 선사한다.
8,마지막에 사다코가 비실비실 다가올때 최고의 공포를 느꼈다
5,최소한 당시에는 꽤나 충격적이었을 거란 느낌은 남아 있다
8,업을 떠맡긴다...살려고
9,"이 영화에 출연한 배우들중에,나중에 크게 성공한 배우들 많음!!소설도 재밌지만,영화도 재밌음!"
10,귀신 TOP급 영화임    주온   착신아리가 A급공포영화라면  링은 S급공포영화다
