score,reple
8,자비에돌란 플레이리스트 훔쳐오고싶다
10,m & m
8,내내 부러움을 느낄 정도로 사이 좋은 친구들.. 이 기억에 남네
9,순간순간 뻔하지 않은 전개들. 다시 처음으로 돌아간 것처럼 순수의 극치. 키스하는 그들의 가슴떨리는 순간과 동시에 펼쳐지는 소나기와 잘 당겨지지 않은 양말까지 아름다왔다.
8,자비에 돌란의 전작들이 자의식 과잉처럼 느껴져서 싫었다면 이거까지만 보고 다시 평가해도 늦지 않을듯. 생각보다 좋았다. 막심이 이메일 주소를 부르다가 흐느낄 땐 콜바넴에서 화롯가에 앉아 우는 엘리오랑 겹쳐보이기도.
6,자비에 돌란이 자비에 돌란 해버렸다. 배우들 얼굴 빼곤 딱히 볼 만한 게 없다.
8,감정표현 섬세하고 적당히 스타일리쉬하고 눈이 즐겁고 귀가 즐거운 자비에돌란 식의 영화. 자비에돌란도 더이상 어린 나이는 아닌데 여전히 어린 감성을 잘 지니고 있는 듯한 게 단점이 될 수도 있지만 나는 좋다.
9,매력적인 영화 연기음악연출 다 좋았다
6,"자비에돌란 팬이고 그의 영화 빠짐없이봤는데 실망했어요.연기는 좋았으나 내용이 없고, 음악도 그저그렇고, 영상미 기대했는데 이것도 없었어요. 자비에돌란 팬분들 이 영화 건너뛰셔도 될듯 합니다. 하트비트 같은 영화가 나오길 기다리고있는데 항상 영화를 잘만들순 없겠죠.다음작품을 기다려봅니다."
8,자비에돌란의 영화를 내가 왜 좋아했는지다시 한번 깨달았다.M&M
6,불필요하게 늘어지는 수다. 거기에 몰입하게 만들었다면 더 좋은 영화가 되었을 듯하다. 짧은 러닝타임으로 승부해도 좋았겠다.
6,초반에는 지루하다. 막심과 케빈은 잘생기고 만화에서 튀어나온듯 섹시하고 매력적이다.
8,"유치하고 이미 예상되는 줄거리,허나 영상미, 색감 그리고 OST가 너무나 환상적.퀴어영화를 좋아하는 사람만 볼 것"
10,우정도 결국은 사랑의 한 모습이다.
10,"딱, 자비에돌란 스타일의 영화그 다움이 느껴지는 영화오랜만에 만난 그의 연기에 즐거웟고그다운 영화연출이 즐거웟다또한 이번엔 OST마저 하트비트 이후로 너무 좋앗다"
8,일기장을 훔쳐본 기분이다.
10,이 친구들의 우정이야기사랑합니다
8,자비에 돌란 특유의 미장센이 좋다.
4,"러닝타임이 두시간인데 너무 길다. 초반에 관심있게 보다가 후반엔 이 영화 왜 안끝나지? 란 생각이 들었음. 자비에돌란, 명성에 비해 실망한 영화였음."
7,"스토리는 매우 단순했어요.. 남녀라면 매우 익숙한 스토리인데 이게 금기를 깨는 거니까. 흔들리고 떨리고 균열이 생기는 그 새를 참 잘 다루신 것 같아요. 엔딩은 가볍고 재미있게 봤는데요. 볼만했고 영상도 꽤 좋아서 극장에서 보면 좋겠다 싶었어요. 근데 하나 걸리는 건, 오늘 위안부 기림의 날이기도한데,,, 극중 마티아스가 입었던 티셔츠가 자꾸 걸리더라고요. 정확한 건 아니지만, 욱일기 모양이어서... 흠... 알고 그런 것 같지는 않은데... 제가 예민한 걸 수도 있고 여쭤보고 싶더라고요. 제가 오해한 거면 좋겠다 싶었어요"
9,삶의 모든 것은 불친절할만치 흐릿하고위태롭다는 사실을 돌란은 온몸으로 끌어안는다
6,Matthias and Maxime
10,"우정과 사랑 사이, 관계에서 소용돌이처럼 휘몰아치는 아름다운 청춘의 조각"
7,자비에 돌란의 팬들을 위한 영화. 오직 감정선으로만 진행되는 씬들. 이렇다할 사건들이 엉켜있진 않지만 이게 자비에 돌란스럽다. 확연히 보이는 상징들과 대비들이 아름답다. 역시나 비주얼리스트.
8,"음 잔잔하게 흘러가는 영화에요. 감독이 영상미를 뽐내고 싶었던 것 같은데, 영화 장면이 진부한 부분이 몇몇 있어서 그 부분은 좀 아쉽.."
10,첨볼때도 두번볼때도 따스하게 감정을 어루만져주는듯한 감독의감성이 연출력이 놀랍다 소장하고싶은영화
10,
10,
10,마티아스와 막심에게 사랑에 빠질 수 밖에 없음
10,청춘 속에 빠져드는 경험
8,
10,자베에돌란 영화중에 가장 착한영화!!
9,사랑인지 요동치는 주인공의 마음이 고스란히 전달된다!
7,"사랑해서 문제예요. 사랑하니까 생각하고 생각하니까 사랑하는데, 사랑만 남기에는 시간이 꽤 걸리는 법이죠."
10,"song for zula 라는 곡과 함께 나온 키스신이 잊혀지지 않음,,,최고였다"
9,"자비에 돌란만이 할 수 있는 연기, 연출, 스토리, 음악. 영화를 보고 나면 그의 감성과 재능을 의심하지 않게 된다."
9,우정이든 사랑이든 깊이있는 감정을 나눈다는 건 귀한 일이다
8,"아쉬운 점이 많았지만 막심을 보는 것으로 충분했달까. 막심이 누구나 외면하고 싶은 상황에 기꺼이 발을 디딜 때. 그리고 기꺼이 상처받고 기꺼이 살아낼 때. 그를 그토록 사랑하면서 미워하고 질투하는 마티아스는 나였고, 건방진 말이지만 우리니까. 나는 결국 마티아스처럼 막심 앞에 웃으며 서있어 줄 수 있을까. 뭐 어쩌면 그럴 수 있을지도 모르겠다. 이 영화를 보고 나왔으니까!ㅎ"
2,주인공의 출국을 손꼽아 기다리게됨
8,My youth my youth is yours
9,"돌란 감독이 정작 만들고 싶었던 가장 현실적인 작품인 듯. 2시간여 짧지 않은 런닝타임인데, 어느 한장면도 그의 감각, 세심함이 결한 장면이 없어 놀람. 이미 느낌을 굳힌 막스보다 마티아스의 흔들림이 더 격해서, 그 반발과 이끌림의 순간들이 가슴 아프다. 견고한 우정 아래의 스산한 막스의 삶, 비틀대는 낯선 욕망, 매순간 금가는 선택...기대 이상으로 잘 짜인 각본, 연출, OST로 돌란 전작의 그 어느 것에도  밀리지 않는다. 지나친 과장도(하트비트, 로렌스...), 스타와 원작으로부터 억눌리지도(단지 세상의...), 극적인 숨막힌 구도 설정(아이 킬..., 탐앳더팜)에서도 벗어난 이 영화의 매장면은 뜻이 깊다. 두 주인공의 서로 피하듯 탐하는 찰라의 시선들이 곳곳에 녹아 있으니... (야밤 도로에 부분적으로만 뿌려지는 낙옆 씬들은 좀그렇지만). 돌란 자신의 흔들리는 청춘기 편린이 눈앞에 흐른다. 그것만으로도 그는 관객에게 할 일을 제대로 다 한거다."
6,영화음악과 장면이 기가 막히게 맞닿는 부분이 분명 있다 ..
6,"음악,연출 좋음. 하지만 4명이서 높은 데OO의 대화가 동시에 겹쳐지는 몇 장면들은...귀에서 피나옴.."
8,첨 접한 돌란의 영화인데 향의 잔상이 길다. 다른영화들이 강정적으로 매우깊은 영화라고 하던데 그리고 호불호가 갈리다는데 이런 향이라면 또 맡고싶다.
9,일상속에 그려지는  전개들이 흥미진진 ^^
7,역시 음악좋음. 양쪽 마음이 다 이해가 되서 안쓰러움 ㅠ
8,
