score,reple
9,일단 배드신이 이따구인거에 대해 실망을 좀 했다..영화 자체는 처음부터 끝까지 긴장의 연속이다.웃긴게 크리스가 쓰레기인게 당연한데 영화를 보는 은연중에 갑자기 크리스가 혹시 걸리지 않을까 노심초사하게 된다는 거다..
9,스칼렛 요한슨 존나이쁨
8,"초반에 크리스가 읽던 '죄와벌'이 영화를 관통하는 키워드였군, 우디알렌식 비틀기는 언제봐도 즐겁다. 적재적소에 흘러나오는 오페라도 역시나 좋았다, 그리고 스칼렛 요한슨의 미모는 눈부셨다,"
8,남자주인공이 정말 소름끼치게 쓰레기다
6,불쌍한 노라.  욕망의 대상일뿐.  누구에게도 사랑받지 못했어
8,"인과응보를 여지없이 무너뜨리고, 운의 중요함을 보여준 영화"
8,스칼렛 요한슨의 미모는 이대가 절정이었나보다. 너무 아름다워서 나 여잔데도 첫등장때 조나단이랑 같은 표정이었음.  크리스를 관찰하는 듯한 영화의 시선이 관객으로 하여금 긴장을 놓을 수 없게 한다.
8,억수로 운 좋은 천하의 OO놈. 요한슨(+1)
8,긴여운은 아니지만 재밌는 영화!! 반지가 물속에 빠졌다면 어떻게 됐을까나
10,정말 딱 매치포인트. 수작인것이 틀림없고 대단함
7,"강렬하고 매혹적인 스릴러 한편, 초중반이 너무 예상하기 쉽다는 흠이 있지만. 후반부로 갈수록 우디 알렌의 천재성이 번뜩인다. 스칼렛 요한슨의 미칠듯한 섹시함도 볼거리."
7,운이 좋았다고 생각하니? 아직 네 인생은 끝나지 않았어
9,너무나 현실적인 결말에 감탄했다
10,생각보다 평점이 낮네요  만점짜리 영화는 아니지만 7점대 영화는 아니기에 ㅎㅎ
8,남성환타지영화. 우디앨런은 항상 솔직하다.
9,다리난간에 걸린 반지가 불운인 줄 알았는데 행운일 줄이야...
9,"통속적인 아침드라라처럼 열뻗치게 만드는 남자주인공 욕하면서 재밌게 봤다. 많은 사람들은 노력보다 운이 중요하다는 사실을 인정하려고 하지 않는다,는 말이 씁쓸하게 와닿는다. 배우들 연기, 이야기, 몰입도 모두 굿! 재밌는 치정극!"
10,역시 우디앨런... 인생사 뜻대로 되지 않는다는 우디앨런의 허무함... 요한슨은 정말 매력적입니다.
10,점수 별로라는 사람들은 주인공이 미워서 그런거임.. 하지만 수작!
10,스칼렛요한슨의 가장 완벽한 아름다움에 10점 이시절 스칼렛은 후에 전설로 평가되리라
8,중간에 지루하긴 하지만 남자란 어떤동물인지 알게하는거같네요 ;;
10,조나단 연기 대단하다.
9,"불륜과 살인이라는 미덥지않은 소재를 사용했지만, 우디알렌감독 그가 관객들에게 시사하고자하는 교훈을 알 수 있었고, ""정말 크리스는 억세게 운이 좋은 남자일까?""라며 우리들에게 생각하게끔하는 마지막 여운도 맘에 들었다.. 배우들의 연기력,비주얼은 보너스"
9,경기의 흐름을 결정하는 테니스용어 매치포인트에 딱 맞는 영화. 운의 중요성을 감독이 잘 표현해준 영화. 권선징악에 익숙한 결말을 감독이 재미있게 결말을 맺는군요. 대단..
10,7점대의 평점은 너무하지않나.싶다시간가는줄 모르고본..
9,실력은 운을  이길 수 없다~ ㅋㅋ
10,희극적 재능을 떠나서 우디 앨런은 진정 뛰어난 영화감독이다.
8,치정에 남주 쓰레기라고 점수 낮게 주는건 영화 평가가 아니다... 그만큼 몰입하게 했다는 방증이니까...
9,실리와 욕망을 놓고 저울질하는 추악한 본능
10,처음 봤을때의 느낌이 잊혀지지 않는다 대놓고 찝찝한 영화인데 재밌게 잘본게 묘하다
10,영화 보는 내내 온 몸의 세포들이 팔딱거리며 튀어 오르는 느낌이었다..
9,너무나도 현실적인.. 그래서 불편한 결말... 씁쓸하지만 어쩌겠어...
9,억세게 운이 좋은 인성이 바닥인 남주..
10,몰입감 쩐다
7,남녀관계를 다룬 주제로는 평점한 소재이나 몰입력이 괜찮았고 갈수록 긴장감이 높아지네요.... 마지막부분에서 절정..  있어보이기도하고
6,크리스의 마지막 표정이 모든 것을 말해 준다. 전부를 얻었지만 전부를 잃은 자의 표정. 이후 그의 삶은 그저 껍데기일 뿐.
9,충격적이엿지만 이때 당시의 작품으로 연기력이 대단햇다
10,"교훈을 주는 영화,,스칼렛요한슨 너무이쁘다음악과 영상의조화가잘 어우러지느 영화.."
10,조나단. 스칼렛 두 사람의 케미가 아주 좋았던 듯
9,평점이 낮네요ㅜㅜ 우디앨런영화중 좋아하는 영화인데 스칼렛도 너무 매력적임 이 영화 찍을때가 리즈인듯해요
10,"형사가 크리스에게 일기쓰고있는건 아셨나요 물으면서,,보시다시피,,,선생 얘기뿐입니다 라고할때...크."
9,고전 문학의 도입과 줄거리를 이용해 자신만의 주제를 전달하는  우디앨런의 장기가 잘 살았음
10,영혼의 구제에 쓰라고 내려준 운을 신분상승에 쓴 현대인. 우디 앨런의 도스토예프스키적 비극 한 편.
9,주인공의 표정이 시종일관 어두운건 영화가 해피엔딩이 아니라는 의미라고 생각된다.
10,반지가 물에 안 빠져서 잡히나? 아내를 보고 환각이 일어나 죽은 사람들인줄 알고 얘기 하는 건가? 이런식으로 추측을 했으나 모두 빗나갔다. 후반 부 부터 끝날 때까지 긴장감 넘쳤다. 주인공이 나쁜 걸 알면서도 나도 모르게 그가 안걸리길 바랐다.
10,점점 고조되는 긴장감. 그리고 관객을 배신하지 않은 착한 결말
10,이것이 인간이다....
7,테니스 칠 때는 운이 나빠서 비극.  마지막에는 운이 좋아서 비극. 부자가족은 계속  승리자인 것도 비극.
8,조나단 연기 최고! 스칼렛 요한슨은 정말 넋놓고 보고있었다.너무 아름다움.그리고 영화를 다 보고나서 느껴지는 이 허무함...인생은 운이란게 참 중요하다.
8,씁쓸한 운의세계
8,운에 대한 가장 깊은 냉소
10,치명적이다란 말은 이영화에 나온 요한슨한테 하는말임..아무데나 갖다붙이지 말구~
10,남주 와이프는 진짜 재미도 없고 매력없어 보여 ㅠ
8,재밌네요. 현실은 이렇죠
