score,reple
10,마지막에 성원이의 이야기를 들려주지 않아서 너무 좋았어요 어떤식으로든 데이트 폭력에 이유를 끌어오지 않았다는 점이 너무 맘에 들었습니다 이옥섭 감독님 앞으로도 이렇게 좋은 영화 많이 만들어주세요
10,"불신과 폭력에 빠졌을 때, 우리가 해야 하는 건 그것에 몰입하는 것이 아니라 그것을 얼른 빠져나오는 일이다"
10,"독립영화의 미덕이 무엇인지 제대로 보여준 영화. 진지하지만 유쾌하고, 묵직하지만 부담스럽지 않은 멋진 작품"
10,처음에 왜 몰래 찍힌사람 한테만 관심이 있냐는 말에 머리 한 대 맞고 시작했다 또 보러갈거임
10,최근 영화관에서 본 영화 중 가장 느낌을 주는 영화였다.
10,무엇이든 하나도 아깝지 않았다.  크레딧이 오를 때 벌써 영화가 끝나버려서 아쉬웠다.
10,"평론가 글처럼 불법촬영, 따돌림, 데이트폭력, 청년실업, 젠트리피케이션 모든 내용을 담고 있습니다. 무엇보다 마지막 한방이 진하게 남네요. 남자에게 맞아온 여성 역사가 참 긴데 이제 이런 소재를 미디어에서 접할수있어 다행입니다."
8,최근에 본 중에 가장 힙한 영화
8,"개인적으로는 한 장편만 더 찍으면 이옥섭 감독의 느낌이 날꺼같다는 생각을 했다. 지금 메기는 불안정했다. 보여주려고만 했다. 그래서 기억에 남는건 주요내용, 주요대사 들만 기억에 남는다. 하지만 한국영화의 미래가 밝다는건 확실하다."
10,마지막 여윤영의 표정을 보고 많은 생각이들었다. 쓰래기를 구멍에 버리는 이유는 뭘까요?그걸 또 구경하려는 사람의 심리는 뭘까요?
10,기대했던 것보다 더 좋았어요. 색감이 진짜 대박이에요ㅠㅠ 마냥 통통튀는 귀여운 영화같다가도 전하는 내용이 깊네요. 추천합니다
