score,reple
10,크리스토퍼 놀란은 천재다
10,"내용을 이해했다면 재미있었을 것이고, 이해하지 못했다면 지루할 뿐이다..."
9,"나만그런거아니죠?처음인셉션후 크리스토퍼놀란영화에 관심이가져서,찾아본결과, 메멘토추천하에 보게됐음, 처음시작하고약10분동안 이거뭐지?뭘말하려는거지?젠장 이해가안돼네?이러다가 마지막10분쯤에, 이야~대박!이리간단한걸 이렇게해석해놓다니,대단하다 ㅋ"
9,참신한 전개 구조와 놀란 감독의 천재성이 드러나는 연출력이 물씬 담긴 웰메이드 스릴러.
9,"전개만 보자면 산만하지만, 결국 이야기는 주인공이 그토록 신용하지 않았던 기억의 재구성이 된다."
9,진실은 찾기 어렵고 받아들이긴 더 어렵다. 기억은 그 사이의 합리화다.
10,천재적이다. 처음보는 전개방식이 너무나 흥미로웠음
10,흑백화면이 컬러화면으로 바뀔때의 그 짜릿함.
9,편집이란 무엇인가의 진수를 보여준 영화. 반전은 더 끔찍하다.
10,"크리스토퍼 놀란 감독의 영화 중 단연 최고의 작품이라 봐도 무방.영화의 전개 방식,각본,연출 등 모두 훌륭하다.인간의 기억에 관해 이렇게 풀어낼 수 있다니 놀라울 뿐."
10,보다가 딴거틀지마라 이해못허니께
10,기를쓰고 기억하려 했던 앞에 주어진 단서들이 영화 결말을 이해하는 순간 아무것도 아닌게 되더라
8,"기억의 순환에 갇혀버린 남자. 기억이 있을 뿐, 사실은 없었다."
8,"앞으로도 무수히 반복될 10분짜리 삶의 의미를 위해서, 허무한 진실을 불태워버리는 주인공의 모습과 우리의 모습에는 아무런 차이가 없다. 주인공이 세계를 왜곡한 원인은 기억의 차이도, 정신병에서 비롯된 망상도 아니다. 그것은 인간 본성의 공통이다."
8,"놀란 감독의 메세지도 좋았고, 스토리 전개도 매우 흥미로웠으나 조금 지루하지 않았나 생각해본다. 아님 단지 내가 제대로 이해를 못한건가?"
10,내가 놀란을 좋아하는 이유다. 보고나면 거기서 끝이 아니라 항상 또 생각에 잠기게 만든다. 같은 내용을 두고 볼때마다 여러가지 해석이 나온다. 최고다.
10,후기 중에 레너드는 정신 이상자. 라는 후기가 맞는 것 같다. 사고를 당한 직후가 마지막 기억이면 도대체 어떻게 자신이 10분 뒤에 기억을 잃는다는 것을 아는 것일까?
9,"생각하고, 다시 생각하고, 또 생각하고"
9,기억은 때론 우리를 배신하고 때론 우리를 구원한다..
10,다시 봐도 보기 드문 스릴러.. 가이 피어스와 놀란에 박수를
10,내평점 지금까지 네이버 평점높은 영화 안 본게 없었는데 이 영화는 정말 그 중에서도 갑. 2번 이상은 필수로 봐야하는 영화
10,인간은 선택적으로 기억할 수밖에 없다는 사실을 극적으로 보여준 영화
10,데뷔작이라니..믿기지가않는다.최고의영화
9,중간에 살짝 지루한 감이 없잖아 있지만 영화보는 내내 퍼즐을 맞추는 혹은 탐정이 된듯한 느낌을 받을 수 있다. 지적스릴러란 말이 과언이아님.
9,이해하기어렵다 ..다시한번 봐야만하게만드네.. 암튼 잘만들어진영화 단순반전영화는 아니다
