score,reple
1,"수입할 영화가 없으니깐 이런 개허접영화도 개봉을 하는구나...용산CGV에서 9천원 주고 예매,.보다가 토 나와서 중간에 나왔다. 개연성 제로에 스토리도 개허접. 이거 볼 돈으로 마스크 사라. 이거 10점 주는 애들은 알바인증하는거니깐 절대 속지 마라!!!"
10,서호주의 광활한 그러나 덥고 건조함이 느껴지는 그 곳에서 상처 입은 두 남녀가 만나고 헤어지는 모습을 통해 상처를 극복해 가는 모습 만으로도 웃음 짓게 만드는 캐쥬얼한 영화였습니다.
8,나름 괜찮았어요 저한테는 지루하지 않고 좋았어요
10,호주 풍경이 아름다워서 보면서 잠시나마 힐링했어요. 주인공들도 귀엽고 코믹해서 웃음나네요. 가볍게 보기 좋아요.
10,"개인적으로 여자친구와 너무 재미있게 봤습니다.사람 사는 이야기 인생이야기도 좋았고, 소소한 재미도있었어요. 로맨틱한 스토리도 맘에들었구요 ㅎㅎ"
10,"소소하지만 힐링되는, 너무 유쾌한 이야기네요. 이런게 &#39;소확행&#39;인가 싶어요 풍경죽이네욬ㅋ &#39;모든 것을 벗어던진&#39; 이란 제목에 이런 중의적 의미가 있을 줄이야..ㅋㅋ 코로나 때문에 여행 못가는데 완전 대리만족 하고 왔어요!"
10,감상평보고 걱정했는데 꽤 재미있었습니다^^
7,서호주의 멋진 풍광과 대자연에서의 좌충우돌 여행기!
10,
10,
10,정말 이 영화보면서 힐링받은적이 처음인것 같네요ㅎㅎ 초등학생인 제가 봐도 정말 인상깊고 로맨틱같네요 제 인생영화입니다~ 꼭 보세요 바로 여행 조지고싶은 마음이 드네요^^
1,영화가 OOO라서 호주가기싫어지네요
10,"아 간만에 너무 재미있었네요 ㅎㅎㅎ당황스런 장면들도 있긴 하지만, 소소하게 예쁜 로맨스 영화였습니다. 호주 풍경을 보니, 부쩍 더 여행이 가고 싶어지는..휴가철, 특별한 계획이 없다면 극장에서 이 영화 보는것도 나쁘지 않을듯 ㅎㅎㅎ 추천!!"
1,
1,처음으로 남겨보는 후기.. 진짜 최악이고 이거 다 보면 내가 뭘본거지 싶습니다. 맥락도 없고 밑에 10점 다 알바네요.. 여러분 돈 시간 다 날립니다 절대 보지 마세요. 영화감독에게 투자한 사람이 있나 의심될 정도로 이상한 영화임
1,제발 보지마세요... 휴가날.. 시간 맞아서 그냥 봤는데 내 휴가 내놔...충격적으로 별로에요.. 그냥 남자친구랑 이런 충격적인 영화를공유 했다는 것에 만족합니다... 진짜 인생 제일 별로입니다  이런 영화 왜 만드는 거조??? 공짜로도 안봄
10,호주배경이 화면가득하고  눈도 머리도 시원해요!!여행가방싸서 떠나고 싶네요~박장대소  하여 웃고나니 기분이 업됐어요~비오는 오늘 시원했네요~이런 영화도 있구나하고 머리식히고 나왔죠~사랑은 운명이 있나봐요♡♡
2,음 감동도 없구 재미도 없구 교훈도 없구 심지어 연기도 너무 별로구 내 소중한 시간 내놔ㅠㅠㅠ 돈은 제법 들인 영환데 내용이 다 망친것같아요 흠 진짜 영화보고 영혼이 털린 느낌은 첨이넹
9,시원한 여름 영상도 좋았고 순수한 사랑이 이뤄지는 모습 참 감동적이었습니다.
10,호주 풍경이 너무 예뻤어요 더운 여름날 어울리는 영화네요
