score,reple
10,"예술가의 삶에서 무거울 법한 요소들을무겁지 않게 잘 표현해냈다. 재밌고 유쾌하지만 자꾸 곱씹게 되는.박막례 할머니의 스토리처럼 민 감독의아버님을 유튜브 형식으로 푼 것 같은,굉장히 흥미롭다."
10,이런게 바로 영화적인 삶이지... 이런 영화 더 많이 만들어졌음 좋겠다ㅠㅠ
10,주저하는 청춘들에게 큰 일깨움을 주는 파파 덕분에 의욕이 생긴다!
10,오랜만에 부모님 모시고 극장 나들이 갔는데 20대인 제가 오히려 웃고 공감하고 왔던..ㅠㅠ 진짜 주변에 강추하면서 다니는데 관이 별로 없네요..흑
10,"나의 꿈을 생각하느라, 부모님의 꿈에 관해 돌아보지 못했던 반성때문인지 이상하게 눈물이 났습니다. 아버지의 꿈을 조용히 따라가는 아들의 시선이 좋더군요."
10,아빠랑 보고싶어서 개봉하자마자 같이 보고왔는데 너무너무 좋았어서설 연휴까지 극장에 있어주면 가족들이랑 또 보러갈거다!!!!
10,꿈으로 끝나지 않고 파리로 떠나신 파파가 너무 멋있다. 은퇴를 앞두고 계신 부모님과 한 번 더 볼 예정
10,마음의 깊이를 느낄 수 있는 영화에요..!
10,지루 할 줄 알았는데 너무도 재미있고 유쾌한 다큐스런 성장 드라마입니다  꼭 보시길 권합니다  화면도 이뻐요  감독님도 크게 성장하세요
9,재밌음ㅋㅋ
10,"평생을 생업의 최전선에서 바쁘게 살아오신 아버지의 인생의 그 다음 여정은 쉼. 그리고 자녀의성공을 응원하는것 이라고만 생각했는데...이 영화를 보고 난 후 내 아버지의 인생 2막이궁금해지고~ 내가 이제는 아버지를 응원하고지원해 드려야겠다는 생각을 하게 되었습니다!삶,꿈,목표 그리고 인생에 대해 다시 한번생각해 보게되는 최고의 영화입니다!"
10,보고 있으면 나까지 행복해지는 영화! 나도 이런 삶을 살고 싶다는 생각이 들었다
10,새해에 보기 딱인 영화.. 나도 내 인생의 버킷리스트를 다시 세워봐야겠다
10,꿈에 접근하는 가족의 자세
10,속편이 기대됩니다~^^ 다음 목적지는 아버님만 아시겠지요?
10,영화 제목부터 흥미를 가졌는데 보는내내많이 웃고 공감하고 시간가는 눌 모르게 봤습니다. 대사 말 한마디 한마디가 있는 모습 그대로꾸밈없이 인생와 삶이 녹아져 있어서편하게 봤네요~ 저도 앞으로 살아 갈 인생을 사랑하며 살아가야갰다는 생각을 해봅니다 최고!!
10,영화한편 보는 동안 우리 부모님 모시고 프랑스여행 다녀온 기분이 들었어요. 누구나 가슴에 하나씩 품고있는 인생의 버킷리스트를 실현할 수 있다는 것.. 정말 뿌듯할것 같네요~
10,꿈이 있으면 늙지 않는거 같아여. 아버님 표정이 넘 젊은이 같았어요. 파리 풍경도 넘 잘 찍었드라구요. 강추
9,평범한듯 하지만 특별한 시간을 선사하는 영화네요. 잘봤습니다.
10,새해에 마음 속 안에 무언가 꿈틀거리게 만드는 영화!부모님 모시고 보기 추천!!
10,이 영화 보면 힘이 난다. ^^
10,"의미있는작품.모르고 스쳐지나갈수도있었던, 부모님에대한 꿈.오늘 우리 부모님께 여쭤보고 싶네요.뭐하시고싶으세요? 하고자하시는게 있다고하시면 난 과면 무얼해야만할까?"
10,"프랑스라는 배경을 두고 누군가의 삶에 스스로를 대조하며 볼 수 있던 시간이었습니다.저는 20대 청년인데, 이런 저런 진로를 두고 고민하던 찰나 직업이란 무엇이고 또 꿈이란 무엇인지 다시 한 번 생각해볼 수 있었습니다. 이런 영화를 영화관에서 볼 수 있어 정말 행운입니다."
