score,reple
9,처음 볼때는 에바 그린의 눈부신 자태에 홀려 영화의 심오한 메세지를 알아차리지 못했다
8,진지한 얼굴을 한 모자란 어른아이들
9,"야하다고 생각하면 야하게 보이고,예술적이라고 생각하면 예술적인 영화더럽다고만 판단하기에는 영화에 담은 메세지가 많다. 분명 주인공들의 관계는 깨끗하지 않으나 그시대의 예술과 혼돈을 보여줬다."
10,어렵다.
9,왠지 상실의 시대를 읽고 있는것 같다. 이 시대 젊은이들에게 바친다.
10,배우로서는 모든걸 보여줬어도 잃은게없는 작품
10,꿈에서 깨기 싫다... 깨는 순간 냉담한 현실뿐 이니까.....
10,영화보고 감탄하고 리뷰보고 또감탄
8,이런 멋스러운 철딱서니들.
8,에바그린 나오면 넋을 놓고보게된다
7,이해하고 싶었지만 결국은 이해하지 못한 영화
10,이상에만 빠져있는 프랑스 이상주의자들에게 통렬한 한마디를 날리는드스..
8,결국 매튜는 감독 자신이었다. 몽상가적인 생각만 지녔을 뿐 밖으로 나가지 못했다.
10,"그들의 셋의 몽상은 각기다른 몽상이다. 국가와 대항하지만 결국 그것들의 일부분인 테오, 그것을 인식하는 매튜, 단지 테오의 일부분인 이자벨. 이영화를 보려면 기본적인 프랑스의 누벨바그 운동을 알아야 한다."
9,"묘함, 꿈을 꾼 것만 같다"
9,현실과 영화와 구분이 안되는 미친거 같으면서도 낭만적인 영화였다
9,청춘의 자유를 향한 욕망. 청춘들은 곧 몽상가들이다.
9,테오는 섹시하다 이자벨은 예쁘고
9,야한듯 야하지 않은.. 거장의 포스~
9,"어른이 된 미국이, 프랑스 브루조아의 대책없는 나르시즘을 꾸짖고 결별하다! 파격과 충동이 진보가 아니고, 방종이 자유가 아니듯! 몽상가와 망상가는 다르고, 혁명가와 반항아는 근본부터 틀리지! 회상도 하고, 행복한거야. 여기는 백년째 문화혁명이라니까~!"
7,이건 아니지 싶지만 은근히 빠져들게 한다.
10,루이스 가렐....을 보는 것만으로 백점
10,Non Je Ne Regrette Rien
7,자유롭다. 언제 죽어도 좋을 만큼.
10,"단순히 치기 어린 젊은 애들의 야하고 무모한 장난으로 얼룩졌다고 치부할 영화는 아니다. 에바와 테오의 샴쌍둥이같은 아픈 관계 , 그들을 부러우면서도 이상하다고 바라보는 매튜. 그들이 난 왜 부러울까. 난 젊은데도 그들처럼 살아갈 자신이 없어서 아닐까."
8,이 시대에 대한 배경 지식이 부족함에 스스로가 안타까워지네요. 어려워요..
8,"집이라는 울타리에 갇혀사는 한 남매가 파시즘에대해 비판을하고 마오이즘을 광적으로 신봉하지만, 결국은 자신도 그들과 다를바없게되는 비극적인 상황을 미국인친구의 시선을 빌려서 잘표현해내었다"
8,예전에봤었는데 한국정서랑은 어울리지 않지만 정말 잘 만들어진 영화같았다..
10,"한 없이 불안한 관계를 애써 외면하며 겉으로 완벽하게 보이려 애쓰는 모습이, 정체성을 찾아 헤메는 우리의 모습과 닮았다."
10,굿. 딱 프랑스 영화스럽고.
2,너무나 명확하지 않아서 너무나 많은 해석의 여지를 주게 되는 영화는 좋지 않다고 본다. 그것은 코에걸면 코걸이식 전개일 뿐이다 영화를 본 대다수의 사람들이 과연 감명을 받은걸까 영화의 명성에 빠져버려서 자신이 감명을 받았다고 느끼는걸까 난 모르겠다
1,영화가 말하고자 하는게 뭔지 모르겠음 리뷰읽어봐도 본사람마다 다 다르던데  되게 큰 의미있는것처럼 포장해놓은거느낌 선정적이기만하고 그냥 생각을말어야지
9,"생각보다 내가 몽상가가 아닐 수 있음을, 생각보다 내가 몽상가일 수도 있음을 깨닫게 했던 영화."
1,별점도 아깝다. 베르나르도 베르톨루치 감독의 ‘파리에서의 마지막 탱고’ 속 강간장면은 진짜 강간이었다. http://m.huffpost.com/kr/entry/13403484#cb
1,미친 이거예전에보고 에바그린매력에빠졌었는데 여기감독이 그 강간한 범죄자였어;; 배우들이아깝다
8,영화 중반부까지는 영화사에 대한 헌정 메시지를 보았고(그들의 영퀴놀이는 영화광의 가슴을 들뜨게만들었다) 중후반부로 치닫을 수록 셋은 결코 완성의 숫자가 될수 없고 혼란한 외부 사회와 단절된 내부에서의 자유역시 온전해 보이지 않았다
6,문화적 괴리감을 직시하게 되는 영화
10,완벽에 가까운 영화죠~ 평점이 낮아서 10점 줍니다. ㅋ 9점대는 넘어야 ㅋ
1,'청춘' 이라는 환타지 속에 애매함을 포장한 영화
10,2월달 가장 기대되는 영화1 에바그린의 기념비적인 데뷔작!!!우앙
1,평점 7점 후반대의 영화는 아니라고 생각한다
1,몸만 어른인 청춘들의 객기만을 보는듯.... 평점이 넘 높네
10,누가 누구에게 몽상가라고 말할 수 있을까?
6,허세만 잔뜩 낀 영화. 거기에다 불쾌한 장면들까지..
9,정말 누군가의말처럼 다보고 난뒤에는 술에취해서 나오는 기분
9,이상하다고 생각했는데 생각을 하면 할수록 인물들의 심리가 납득 가능하고 이해가 된다
1,프랑스적인 것에 대한 공허한 환상
10,재개봉 한다니 너무좋네요  예술영화로  센치올리시구  블록버스터 300으로 마무리하죠 ㅋㅋ 에바그린 사랑합니다
2,"도데체 뭐가 재밌고 유익한지 모르겠음 .. 본인은 위생적이지 않은 편인데도 불구하고 더러운 장면이 굉장히 많이 나와서 비위가 엄청 상했고 ,, 그리고 예전 영화라 그런지 특유의 레트로 느낌이 있어서 영상자체는 이쁜데, 결말이 이상해서 좀 찾으러 왔더니 배우가 예쁘다 라는 이야기 밖에없으니..  굉장히 자유롭고 충격적인 장면에서 좋다고들 느꼈던거 같은데 난 개방적이진 않지만 하고싶었던 걸 다 해보고 살았던 사람으로써 또 그게 답이 아닌걸 앎으로써 지극히 공감되진않음. 하지만 얽매여 살았던 사람에게는 이영화가 자유롭게끔 만들었다 라고 느꼈을 거같긴함. 그래도 이영화는 아님. 누구보다 소중한 자신의 가치를 땅바닥으로 던져버리는 느낌 ."
8,자유로운 영화 내용은 어렵지만 그냥 보고 있으면 그 대범함과 자유로움이 부러웠다.영상자체도 아름답고 에바그린의 아름다움은 정말이지....bb
1,범죄자감독영화 저질스런감독
8,2005년 나이 스물에 접한 이 영화는 '정말 야한 영화'였다.하지만 다시 이 영화를 접하고 나서 단순히 야하다라는 단어로만 표현했던 것이 꽤나 미안해져버렸다.
10,"몽상가들. 이 영화를 보기까지 OO이 걸렸다. 그놈의 노출 무삭제 타령에... 마이클 피트, 에바그린.. 매력 철철 넘침! 영화 자체도 무지 매력적이다. 나도 꿈꾸는 청춘이고 싶었는데.."
7,몸은 자랐으나 미성숙한 생각에서 오는 혼란...영화와 현실을 구분못하는 ...나는 이영화 별로 공감 못하겠다
10,야한영화가 아닌 10점만점 예술영화다...아.. 젊은이들이여...혼돈의 시대여...
5,"뚜렷한 주관도, 확실한 성 정체성도 없이 아버지가 벌어놓은 돈에 고급 와인이나 마시며 기성세대보다 잘난듯 뭉쳐서 떠들어대는 몸 만 어른인 청춘들을 영화와 접목 시키려 했으나 깊이가 없네그려"
9,다시 봐도 떨리는 영화!
9,에바그린의 춤사위가 아름답네요
10,진짜 재밌음 노출땜에 봤는데 한번 스토리도 좋음
10,무조건 10점
8,"아름다운 에바그린에게 완전 반한영화, 자유로운 영혼 같은 그들의 삶을 잠시 느껴보는 시간"
3,불필요한 성기노출과 섹스신은 이해가 가지 않는다
10,로맨틱한 세명의 만남. 에바그린의 눈물. 목욕씬.
7,우리는 성적인자극에 너무 민감해져있지 않은가 남매한테는 그저 한가지의 놀이일뿐
10,명작! 봐도봐도 질리지 않는다
10,인생영화. 아쉬운점은 이사벨은 철학적인 지적인 공간 속에서 배제되었고다. 그런면에서 수동적인것이 아쉬웠다. 이 영화의 진정한 힘은 배우들의 눈빛에서 나온다. 내가 메튜가 되어 쌍둥이들에게 홀리는 것 같았다. 아슬아슬한 긴장감이 사람을 미치게 만든다.
8,belle epoque
3,전체적으로 하고 싶은 말이 정리가 안됬다 혁명의 이야기인지 남매의 사랑이야기인지 정리가 안되고 하고 싶은 이야기를 다하는 어린아이 같았다
10,이번 세대 최고의 미녀다. 몸매+외모 합쳐서 평가할때
1,뭐야 ..ㅅㅂ 벗은거빼고 남는거없는
1,"외설을 예술로 포장한 영화, 감독의 브랜드에 놀아나는 관객들"
7,이 영화는 해로운 영화다
8,고등학교 때 본 이 영화는 에바그린이 날 잠들지 못하게 했다.
10,"리뷰 덕에 좀 이해할랑  말랑, 에바 그린..."
4,공감가는 부분은 있엇으나 내가 기대한거와는 정반대..에바그린 때문에 볼만했음
5,이거보고나면 별로 기분이 않좋아..그걸루 말해준다
10,"내가 경험한 나의 유토피아, 내가 떠올린 나의 화양연화."
8,나에게는 많이 어려웠던 영화. 하지만 본 걸 후회하지 않는다.
5,무슨내용인지..모르겟음..어려워..ㅠㅇㅠ
8,혁명은 어디에서 시작되는 것인가.
1,혁명과 섹스의 공통점을 모르겠음...영화에 공감할 수 없다.
6,뭘 말하려는지 잘 모르겠어 특히 결말을 왜 그렇게 끝냈는지 내머리로는 이해불가
10,사랑스러운영화. 영상미가 돋보인다
10,생각날 때마다 찾아보게 되는 영화. 배우들이 매력적이에요
8,The dreamers....
7,트위터 깨시민들 같은 영화 속 주인공들
8,골방 혁명가들의 한 여름 밤의 꿈
9,"아니, 이게 스튜고 이게 퐁듀야."
8,저랬던 68세대도 오늘날 꼰대가 되어서 프랑스 젊은이들에게 비판받고 있다는 걸 보면 인간사는 반복되는 것 같다.
6,68혁명이 성공했더라면 하는 감독의 열망을 담은거고 그래서 몽상가란거고누벨바그 거장에 대한 오마쥬 집어넣고 이쁜 남녀 벗기는건 그냥 이 감독취향이고 영화보다 더 난해한 여러 해석들이 웃길뿐
10,매튜가 제일 이해가 가서 너무 슬픈 영화
7,결국 남매와 매튜는 서로 다른 꿈을 꾸고있었다.
8,생각없이 보면 남는건 에바그린의 비현실적인 몸 뿐.  좋은 컨디션에서 보지 못한것이 속상함. 뒤늦게 두고두고 생각하게 듼다.
9,영화에 대한 영화이자 노장감독의 현재의 눈으로 본 '과거' 이면서 회고록 같은 영화였습니다.
9,이들에게는 '청춘'이 아깝지 않다.
10,에바그린은 언제나옳다
9,장뤽고다르의 네멋대로해라 연장선상. 젊은이들의 파괴 불안 혼돈은 시대상을 반영한다. 새로운 시도는 왜 항상 실패할까 셋은 왜 함께할 수 없을까. 여러 생각을 하게 만드는 영화
9,"처음에는 남매의 행동이 이해도 안되고 충격적이었지만, 보다 보니 그러한 행동들은 오히려 그들이 자신들만의 이상적이고 순수한 세계에 갇혀있기 때문이 아니었다 싶다.  영화의 제목인 &#39;몽상가들&#39;이 이렇게 내용과 어울린 적은 처음이라고 생각했다."
7,"가족 식탁에서 부모와 맞담배, 부모와 치열한 논쟁, 한 달을 여행하는 부모, 충격적인 모습에도 쿨한 부모 정서상 적응이 안되지만 에바 그린의 비너스 연출장면이 머리에 아름답게 자리하고 있다."
10,몽롱하고 묘하지만 어쩔 수 없이 아름답다.
