score,reple
10,왠지 마음이 편안해 지는데 이상하게 감동..?이 나더라고요
10,개봉하자마자 봤어요! 아름다운 영상에 한 번 놀라고 영화를 보는 내내 마음이 정화됨에 또 한 번 놀람.
10,이런건진짜영화관에서 좋다
10,"감사한 영화, 다시 보고픈 영화, 볼때마다 깊이가 더해지는 영화입니다"
10,주변에서는 흔히 볼 수 없는 자연의 아름다움을 잘 포착해서 좋았던 것 같아요. 몰입도도 상당히 뛰어나서 재밌게 본 거 같네요. 손에 꼽는 다큐멘터리 영화였습니다.
10,"인생에 한번 쯤은 이런 다큐멘터리 품어 가도 되지 않을까 싶은 생각이 든다. 영상미, 담은 내용 모두 훌륭하다. 자연 다큐지만 액션 영화 보는 듯한 긴장감을 주기도 한다. 멋있는 작품이다."
10,영상미에 마음이 정화되고 깊이있는 나레이션에 생각이 더해집니다. 어린소년과 그분의 시선의 충돌은 과거와 현재 그리고 미래가 조용히 대화를 나누는듯 넘침이 없습니다. 아직도 가슴속에 흐르는 작품이네요.
10,아이들과 무조건 봐야하는 영화
10,감동적이 었어요정말 인상 깊은 영화입니다.
10,"몰입감  그리고 디테일이 예술입니다. 자연,생명 그리고 물이 가지는 소중함을 다시한번 알게되는 멋진 작품입니다.."
10,살아있음에 경이를 느낀다
10,아름다운자연영상이아름다웠습니다 잘보고갑니다
8,영상의 너무좋고 기대이상입니다~~
10,영상이 너무 아름다워요. 아이들과 함께 다시 보고 싶네요.
10,"""견뎌야  합니다. 그래도 살아 있다면 포기하지 않습니다. ""마음에 와닿는 나레이션의 한부분입니다.이건 영화라기 보다 참 훌륭한 작품이네요~"
10,"멋진작품입니다 촬영하시는 동안 얼마나 수고가 많으셨을까 싶었습니다 생명,자연,숲,생태관련선생님들과 아이들도 꼭 추천드리는 영화입니다.영화를 보는동안 어릴적 시골 고향에서농사짓던 생각과 깨끗한 냇가에서 놀던기억도 함께 했습니다 그 물이 그립습니다!"
10,요즘 CG..로 영화를 많이 표현 하는데 꾸미지 않은 자연의 흐름을 보여주는 영상미..가 최고다^^
10,자연의 아름다움과 생명의 신비함에 신세계를 접한듯 푹 빠져서 봤네요ㅋ촬영에 노고 많으셨겠어요 자극적인 소재들이 난무하는 세상에 덕분에 깨달음과 힐링받고 갑니다
10,"자연의 경이로운 창조의 원리를 깊이 있게 드려다 볼수 있는 멋진 다큐영화였습니다 거대한 자연속의 해와 달과 별과 바람이 경이로운 생명의 힘을 담은 물속에 흐르고 있음을, 깨달음의 시선으로 바라보고 그려주신 영화 제작진에게 찬사를 보내고픈 영화 였습니다"
10,물 한방울이 우주를 담고있는 위대한 자연다큐영화임
10,"어르신들에겐 향수를 불러일으키게 하는 영화이고, 아이들에겐 생명의 소중함을 느끼게 하는 영화이네요. 30,40,50대에겐 후세에 좋은 환경을 물러주기 위해서 어떻게 해야 하는지 숙제를 내주는 영화인것 같구요~영화 강추합니다!"
10,개구리의 전진 감동적이었다
10,자연의 이치를 잘 보여주는 영화.삶과 죽음... 그 모든 것이 자연의 한 조각이 아니던가?!자연의 삶을 살다간 그...그리고 그러해야 할 우리
10,약간 소탈한 듯한 시선 속에 내재된 세심한 감각이 보여주는 디테일한 영상은... 마치 태고의 신비와 경이를 오픈하는 듯 하였습니다. 물방울 속 풀잎세상이 주는 느낌을 조카들과 공유하기 위해 추천했습니다. 세상의 모든 아이들에게 강추합니다.
9,노통보러 왔다가 우렁이 반딧불 오리 수달 거미 독수리 뱀 사마귀 개구리 두꺼비 메뚜기 등등 제작하신 knn 감사드림 그리고 맹바기는 꼭바라 왜 물이 중요한지
10,한국인의 시각으로 동양철학이 가득 담긴 국제적인 수준의 다큐! 그림만 보아도 내용이 이해 될 정도로 영상미가 뛰어남! 정말 편안하고 부담없는 수준 높은 다큐~
10,자연다큐가 극장상영 이라니  완전대박  감동적이었어요!
10,보고나니 다시 보고싶네요    정 말  감동적
1,미국한테매달려가지고 형님형님ya
1,저기가 그 시간의 영물이 잠들었다는 논두렁인가요
10,위대한비행에 이어 물의기억으로 제2의 날개짓과 우리에게 다시한번 자연의위대함과 감동을 선사해준다. 예고편만으로 정치색을 운운할것이아닌 그저 순수한 마음으로 우리주변에 살아숨쉬는 자연을 느껴보기에 더할나위없이 좋은 다큐멘터리다.
1,역시 물은 소중하다. 4대강사업이 얼마나 중요한지 다시 한번 깨닫게 되었다.
10,생명과 자연의 위대함과 소중함을 아름다운 영상으로 티브이가 아닌 극장에서 보니 더 감동적이네요
10,강바닥에 40조 쳐붓고 물 썩힌 사대강이 천하의 나쁜 일인 이유
1,제가 언제 경제살리겠다고 했습니까?
1,"웅장한 자연을 느끼고 싶으면 절대 보지마라.그냥 딱 봉하마을의 논은 이렇다.하고 알려주는 노무현대통령의 바램을 영화로 만든것,,, 딱히 추천안함."
1,MCU시리즈 중 4번째 작품. &lt;무현-두 도시 이야기&gt;&lt;노무현 입니다&gt;&lt;노무현과 바보들&gt;&lt;물의 기억&gt;&lt;시민 노무현&gt;개봉 예정 신작:&lt;김대중의 그날들&gt;에서도 주연으로 사상 첫 팀업 무비가 될 가능성도 있습니
8,"멋진 자연 다큐, 정치적 신념은 내려놓고 아이들 교육에 너무나 좋은 영화."
10,"무척 잘 만든 다큐. 마침 비가 내렸던 오늘, 물과 생명에 대하여 생각하게 하는 시간이었다."
8,"하늘은 파랗고 수묵화 같은 산들의 모습, 그리고 그 안에서 순환하는 물과 춤추는 생명들....눈 호강하는 영화"
1,7퍼센트 못해서 죄송합니다
10,영상미가 훌륭합니다. 잔잔한 슬픔.
10,최고입니다. 감동적입니다.
9,정치를 떠나 지금 우리에게 필요한 이야기
10,마음한구석이 짠해지는 훌륭한 다큐멘타리 한편 잘보았습니다
8,제작사 knn주가에도 관심을
9,정치적 색채와 무관하게 모든사람들이 보았으면 하는 좋은 생태환경 영화
5,점수 500배.
10,"영상 속 ""생물들 살아가는 모습""만 본다면.... 힐링물로 괜찮아요. 내용 전반도 그렇고..."
10,너무좋아요 추천할만한 영화인것 같아요
8,돌고 도는 물같이 먼곳으로 가신 그리운사람들도 우리 곁에 돌고 돌아 순환되실것 같아요
1,노무현 전 대통령이 너무 안나와서노잼입니다.
10,자연의 아름다움 경이로움~  멋집니다
10,"물, 생명 그리고 한 사람. 이런  요란스럽지 ㅇ낳은 감동이 또 있으랴."
10,순수하고 맑은세상 맘편하게 보고 왔습니다. 가진자에 오만과 막말 비리..김.태 자식에 비리..똥바가지를 머리에 펴붓고 싶을만큼 정치인들에 화가 난다.
10,자연의 생명에 대한 다큐 영화 좋았습니다.
10,효과 사운드 예술이다...
10,이 영화에서 뿐만 아니라  다른 작품의 평글에서 간간히 발견하는 표현에 놀란  적이 여러 번이라  한 말씀만! 영화도 엄연히 예술입니다. 가장 영향력이 큰 예술인 경우도 많았습니다. &#34;영화치곤 너무 괜찮다!&#34; 이런  표현은 영화팬으로서 넘 슬퍼집니다!
10,눈호강했던 좋은 시간이였습니다
10,힐링패키지 일요일이나 토요일 밤에도 한 번만 해주시면 안될까요 ㅠㅠ
10,노무현을 그리워하는 사람이든 아니든 마음이 정화되는 좋은 시간입니다
