score,reple
10,유쾌하고 재밌는 뮤지컬이였어요
10,오늘 조조로 보았어요. 이런 멋진 공연 실황을 6천원 내고 보다니 횡재한 기분~ 브로드웨이에 가서 직접 관람하는 생생한 느낌이었어요^^
9,오랜만에 귀가 호강했네요. 연인들이 보기에 좋은 영화입니다~^^
10,"오늘 지금 잘 보고 왔습니다. 오늘이 마지막 상영이라 억지로 , 갔다 왓는데  지금도 내내 웃고 있네요..정말 좋은 영화 입니다"
10,크리스마스에 연인끼리 같이 보기에 최고인 것 같아요! 라라랜드처럼 뮤지컬로 꾸며진 영화인 줄 알았는데 실제 뮤지컬을 그냥 녹화해서 틀어주는 거였네요;; 실제 극장에서도 보고싶을 정도로 좋았습니다
8,재밌게 봤어요! 노래 다시 듣고싶은데 어디서 듣죠ㅎㅎ
8,노래가 좋습니다. 다시 한번 보고 싶네요
10,처음부터 끝날때까지 지루함 없이 봤습니다!!!
10,공연장에 있는듯해 박수 찰 뻔 했어요.. 너무유쾌하고 재밌어요.. 그리고 크리스마스 되기전에 가까운곳 에서 인연을 찾아봐야 겠어요.. 사랑하고 싶은 영화였어요~~^^
9,간만에 부모님 모시고 관람했는데 부모님께서 넘 좋아하시네요^^
9,가족들. 정말  즐거운 시간 보냈네요ㆍ특히 부모님이 좋아하시네요~^^
8,뮤지컬에 대해선 아무것도 모르지만 신나서 좋았습니다.무대 배경도 참 좋았던...
10,제가 딱 좋아하는 스타일의 뮤지컬이에요! 눈과 귀가 호강하는 탭댄스 너무 좋네요
1,평점순위에서 떨어뜨려 보리기!!
1,원작에 미안해하길 바람
