score,reple
10,정말 최고 ㅠㅠ 홍광호도 대단합니다 저런 무대에 함께했다는게 자랑스러워요
10,댓글에 연기칭찬은 홍광호뿐인데 역시 홍광호는 정말 멋있었는데 무엇보다 이뮤지컬 여주인공이 진짜 인상깊어요.목소리가 정말좋고 연기도 좋은데 이 뮤지컬이 데뷔무대라는게 전혀 안믿길정도로요.보시면 후회 절대 없으실거예요 진짜로!
9,조금만 멀리서 찍으면 정말 완벽했을듯해요하지만 그만큼 배우들의 표정연기랑 무대 디테일을 봐서 좋았습니다관람전에 줄거리를 보고 갔는데 별로 마음에 안드는 얘기였지만  기대없이 봐서 그런지 더 재미있었습니다
10,역시 홍광호네요. 독보적인 목소리 짱!!!스케일도 크고 짜임도 알차고  뮤지컬을 영화극장에서 봐도 손색이 없네요.
10,짧지만 강렬한 홍광호.
10,최고!! 현장에서 봤으면 더 좋았을 듯...
10,미스 사이공을 스크린으로 보게 되다니 감동ㅠㅠㅠ 그리고 홍광호 배우님  하트...♡
10,템은 누가봐도 홍광호 아들 아닌가요ㅎㅎㅎ 엔지니어 너무 잘함
9,공연 5분인터미션 갈라쇼 순서로 진행되고 너무 좋았습니다 :)
10,나도모르게 박수치려 손이 몄번이나 올르락 내리락 했는지 모른다..누구하나 최고아닌사람이 없다..
10,홍광호 최고... 실황무대 직접 볼수 있어서 좋았어요
10,"여주인공이 17세라는 나이가 믿기지 않는다.그냥 감동 그 자체.연기와 음악,볼거리까지 최고중의 최고임. 쌩눈으로 이 공연 봤다면 한동안 헤어나오지 못할정도로 강렬한 공연입니다."
10,공연 실황은 첨 봤는데 영화 레미제라블이랑 비슷한 느낌인 거 같아요!ㅎ 노래도 넘 좋고 홍광호 대박 멋짐! ㅎ 뮤지컬 좋아하시는 분들 재미있게 보실 것 같네요!~
10,엔지니어의 엔지니어에 의한 엔지니어를 위한 작품
10,믿고보는 홍광호 bb 이 명작을 극장에서 보게 되다니 !!!
10,정말 뮤지컬을 좋아하는 사람이라면 놓치지 말아야 할 공연!! 25주년 특별영상까지!! 너무 좋습니다!!
10,최고에요 말이 필요없습니다. 보신분들만 알거에요.DVD 발매는 없나요?
10,홍광호의 투이를 즐길 수 있었던 시간.. 얼렁 새로운 작품으로 돌아오시길 바라옵니다.
8,킴과 엔지니어는 최고의 캐스팅이었다
10,이런건 이런거자체에 의미가 있어서 10점줍니다
1,미군이 베트남에서 아이를 낳고 떠난걸 미화하는 내용
10,너무 좋아요 뮤지컬보다 더 좋은거같아요 홍배우 연기 너무 잘하셔서 놀랐어요 심지어 이게 2년전..! 돈이 아깝지 않아요 또볼거에요ㅠㅠㅠ
