score,reple
10,"세상에 남자들만 공감할 수 있는 영화는 한 트럭인데, 여자들만 공감할 수 있는 영화 한 편이 그렇게 보기 싫으신가요? 그렇다면 당신은 새로운 시대의 도태자 입니다. 축하드려요."
10,"처음부터 끝까지 맞는 말밖에 없는데 뭐가 그렇게 불편한 건지 모르겠네요. 한 번도 여성의 입장에서 생각해본 적이 없으니 공감을 못하시는 거겠죠. 공감하려고 하지도 않고요. 페미니즘 영화니까 보기도 전에 무턱대고 욕하거나 평점 테러 같은 무식한 행동하지 말고, 먼저 다른 시각으로 바라볼 줄 아는 능력을 키우길 바랍니다."
10,50년전인데도 세상은 그대로라는게 너무나도 안타까웠다. 바뀌는 것처럼 느껴지지만 아직 존재하는 저 '성적상품화'.
10,이쁘지도 추하지도 않고 화가 났을 뿐인 모든 여자들을 위한 영화
10,1970년과 2020년. 우리는 똑같은 투쟁을 계속하고있다.
10,엔딩에서 그들과 눈맞추는 순간을 결코 잊지 못할 것 같아요! 이 영화를 진짜 관람하고 댓글 다는 사람들은 &lt;미스비헤이비어&gt;가 결코 남녀간의 대립이나 여성과 여성간의 싸움을 조장하는 이야기가 아니란걸 공감할 것입니다. 정말 기본적이고 핵심적인 내용을 유쾌하고 부담없는 톤으로 전달하고 있어요. 섣불리 판단하지 마시고 극장에서 꼭 보세요!
10,"우린 예쁘지도 않고 , 추하지도 않고 , 화가 났을 뿐이다. We're not beautiful , We're not ugly , We're angry."
10,세상을 바꾸는 연대의 힘
10,기대했던것보다 훨씬 깔끔하고 훌륭한 연출. 그리고 믿고보는 배우들의 미친 연기력. 안 볼 이유 하나 없는 영화.
10,신파 없는 감동! 불편 없는 웃음! 좋은 영화의 조건은 모두 갖춘 듯
10,"다양한 관점으로 이야기 해주어서 더욱 와닿았던 영화인 것 같았다 ㅜ 영화보고나서 제시버클리한테 빠져버림,,,!!!!"
10,"누가 봐도, 누구와 봐도 좋은 우리 이야기"
10,여자라면 꼭 꼭 봐야할 영화
10,"과장되지 않게 표현해서 오히려 현실적이었어요.각자의 입장을 보여 주니 내용도 풍부했구요. 그때나 지금이나 변하지 않는 부분들이 있어서,,,, 많은 생각을 하게 해주는 영화 같아요. 추천합니당"
10,늘 그랬듯 우린 해낼거라고. 마지막 엔딩이 50년의 시간을 관통하여 우릴 연대하게 만든다.
10,눈마주치는 씬 정말 인상적입니다 50년전에도 투쟁하는 이들이 있었기에 지금의 우리가 있는 것 처럼 앞으로 50년 100년 후의 여자들을 위해 계속 투쟁합시다.       그리고 영화관에서 폰 좀 보지마세요 같은 영화관에 있던 남성 분 계속 폰 보시던데 매너는 어디 팔아두고 왔나요? 폰 보고싶으면 집에나 있을 것이지 왜 영화관에 와서 민폐짓을 하는지 ;
10,"미녀대회를 선망하는 여자들, 미녀대회에서 벗어나려는 여자들미녀대회를 관망하는 남자들, 미녀대회에서 잃을 것 없는 남자들"
10,이런 게 진짜 영화지...세상을 바꿔갈 수 있다는 믿음을 알려준 영화...연기 진짜 대박bb
10,"1970년대임을 봤는데도 현재인가?라는 생각이 들었던 아직도 많이 변화해야하고 연대해야 된다는 생각이 들었다.  평소 성차별, 인종차별에 대해서 관심만 가질뿐 목소리를 내는 용기를 가지지 못했는데 이 영화를 보고 용기를 가져야겠다는 생각이 들었다."
10,우리가 현재 누리는 모든 것은 과거 투쟁의 산물이다. 나는 예쁘거나 못생기지 않았다. 다만 화가났을 뿐이다!
7,세상이 변한 듯 변하지 않은 듯
10,남자가 독박육아 하고 살림하니까 보기 힘들었나요?남성분들?ㅎㅎ 사회 바꾸려고 여자가 큰일하는데 그럼 조신하게 외조하셔야죠^^앞으로도 큰일은 여자가하니 남자는 조신하게 살림하고 외모 가꾸세요. 큰일하고 돌아오면 고운 얼굴이라도 보고 피로 좀 풀게^-^
10,여성해방이 곧 인간해방 ! 인종차별에는 분노하면서 왜 성차별에는 분노하지 않나요 아직도 ? 누군가에겐 작은 시작이 될 영화.
10,여성들뿐만 아니라 이 시대에 필요한 영화입니다. 실제인물들과 눈을 마주치는 그 순간 우리는 지금까지도 이 투쟁을 계속해왔음을 실감합니다. 그들이 있었기에 지금의 우리가 있고 세상은 더 나아갈것입니다. 그 흐름에 함께 탑승할지 아니면 남아있을지는 우리의 선택입니다.
10,50년이란 시차에.. 그 시기에 목소리를 내어준 여성에게 감사할뿐입니다
10,"이렇듯 세상의 변화는 선구적인 몇몇 사람들로부터 시작된다. 여성 해방운동의 시작이 어떻게 됐는지 조금이나마 알 수 있었다. 이 영화는 실화라서 더 좋고, 나도 무언가를 해내야겠다는 의지 뿜뿜하게 만드네."
10,시대는 변했지만 우리의 삶은 여전히 보이지 않는 무수한 차별이 존재한다. 그게 굳이 성차별 뿐만 아닐지라도...그런 의미에서 이 영화는 사실 진부할 수도 있는 스토리이지만 오히려 진부하고 당연해서 보고싶은 영화였다.꽃보다 시대의 불꽃이 되길 택한 그들의 삶을 응원하면서.. 이 세상에서 차별을 저항했던 그들이 외치던 메세지를 기억하면서..그런 의미에서 이 영화는 유쾌함 속에 묵직한 교훈을 남기는 영화였다.
10,다양한 시각에도 불구하고 바라는 건 하나. 바뀌지 않으려는 세상에 유쾌하지만 묵직한 한 방을 던진다
10,"모든 여성들이 사회가 정해놓은 모습의 여성이 아닌, 자신이 원하는 모습으로 살아가기를 간절히 바랍니다. 어떤 선택을 하던 그 선택은 여성 스스로가 했으면 좋겠어요. 앞으로도 여성들이 나오는 영화를 많이 보고 싶어요. 여성 영화인들 응원합니다!"
10,"우리는 50년 전에도, 지금도 같은 이유로 싸우고 있다"
10,너 무 재 밌 다 벅 찬 다 존 나 울 었 다 개 좋 다
10,연대가 가지는 힘에 집중하세요
10,우린 예쁘지도 않고 추하지도 않다 단지 화가 났을 뿐이다. 마지막에 인물들과 정면으로 시선을 마주칠 때의 감정을 잊을 수 없다.
9,<히든 피겨스 Hidden figures>를 좋아하는데.. 또 다른 느낌의 페미니즘 영화! 작위적이지 않아 감동적이었다! ㅎㅎ
10,투쟁하는 자와 순응하는 자 모두의 관점을 담아주어 좋았다.편가르기로 선동하지 않고 생각할 수 있게 해준다.
10,이 영화가 불쾌하다면 당신은 이미 기득권자임을 인정하는 것
10,불평등에 소리 낸 여성들이 있었기에 지금의 우리가 있다
10,다방면으로 다영한 여성들을 비춰준 감동적인 영화
10,“왜 여자들은 외모로 지위를 얻어야 하나요? 당신은 그렇지 않잖아요. 값을 매기기 위해 체중과 치수를 재고 공개검사를 실시하는 다른 유일한 장이라면 그건 가축시장입니다.”“우리는 예쁘지도 추하지도 않다. 우린 화가 났을 뿐이다.”
10,우리가 걸어온 길과 앞으로 나아가야 할 방향을 동시에 보여주는 영화
10,"과거에도, 지금도, 앞으로도 여성을 위해 나아갈 것이다! 세상은 바뀌고있다!"
10,"연출, 연기, 스토리, 영상미 어디 하나 빠지지 않는 영화, 세상 모든 여성들을 위한 영화. 저 분들이 노력하신 만큼 우리 시대도 바껴야 된다고 생각합니다 성적상품화 이제 그만!! 세상 모든 여성분들을 응원합니다."
10,"아이 가진 여성, 가족에 헌신한 여성, 가부장제에 기여하는 여성, 반대하는 여성, 래디컬 페미니스트 여성, 그들의 목적은 결국 같다."
10,이 세상에 모든 소녀들을 위해서 부끄럽지 않게 살아야지
10,마지막 연출이 이 영화의 큰 부분을 차지한다고 생각해요! 기대없이 봤으나 요즘 본 영화 중 제일 맘에 남는 영화에요.
10,우먼파워 제대로 보여주네요!
10,멋진 영화! 이런 영화가 더 많이 나오길 바란다
10,
10,
10,
10,다양한 색깔의 페미니스트들을 보여주는 영화. 50년 전이지만 오늘날의 담론과 크게 다르지 않아 더 공감가고 감동적이었습니다.
10,"그럼에도 불구하고 우리는 여전히 앞으로 나아간다 1970년에도, 2020년에도. 평점 테러하고 영화 이해도 못한 놈들이 남긴 글 보니 코미디다. 하긴 이해를 하고 감동을 느낄 깜냥이 안되겠지. 역사 속으로 사라져가는 미인대회처럼 너네도 사회 속에서 도태되는거란다 ㅋㅋㅋ"
10,가슴이 웅장해진다..나도 시위 참여하고 싶었음
10,
10,
10,"정말 추천하는 영화. 내가 하고 싶었던 말 다 담겨있고, 나이, 성별 등등 관계 없이 누구에게나 추천함. 앞으로 이런 영화 더 많이 생겼으면 함. 보면서 심장이 뛰고, 특히나 여성이라면 주먹을 쥐게 되는 장면들이 많고 공감 장면이 굉장히 많음. 많은 사람들이 봤으면 함."
