score,reple
9,머리로는 이해 안가지만 가슴으로 이해하는..
9,"충분히 그럴 수 있다, 배우들의 연기가 날 설득하고 이해시켰다."
9,내가 사랑했던 엄마의 모든 것이 새삼 그리워집니다.
7,"바람처럼 스며드는 용기로, 서로에게 따뜻하고 또 따뜻할 두려움을 건네는 언덕에서"
10,참아내는 삶속에서 서툴게 표현하는 사람들
9,"편하게, 별다른생각없이 지나쳐갔던 일들과 인물들을 생각하게 하는감동의 영화.주변의 모든것을  소중하게 바라봐야겠어요."
9,"주인공  두배우의  연기호흡도  잘맞고 , 너무  훌륭한  연기였습니다.감정선을  아주 잘그린영화네요오랜만에  마음을  울리는 좋은  영화를봐서흡족했습니다"
10,"이졔 완전히 경지에  오른 연출과 정은경, 장선 두 배우의 완벽한 연기가 매력적인 영화!차곡차곡 쌓아 올린 감정이 폭발하는후반부 다리씬은 올해 최고의 명장면이다!!"
10,도망쳐온 모든 이의 여생이 좀 더 가벼워질 수 있길남겨진 모든 이들에겐 초연한 용기가 깃들길
3,너무 지루하다 그리고 재미 하나도 없다 스토리 또한 최악!
5,부모의 맘을 자식이 어찌 알까? 아니! 자식의 맘을 어찌 부모가 알겠느냐!
1,저것도 엄마라고... 구하라법 입법해서  저련년들 다 처벌해야함
9,정말 사랑하는 동시에 미워하기도 하잖아요. 영분의 고백이 표현되는 순간은 해결의 실마리가 보이는 시점이기도 하다.
9,바람을 따라서 영분과 한희의 마음에 따라갔다가 왔습니다!! 추천추천
9,영분과 한희. 서로의 두려움은 무엇이었을까..
7,이유가 어찌되었던 사정이 있었다한들 자식을 버린건 결코 용서받을수 없음
9,너와 나에 대한 솔직함을 느낄 수 있는 영화였습니다. 나의 마음을 마주하는 것 같기도하고 엄마의 마음을 마주하는 것 같기도 합니다.혹은 그 누군가의 마음이기도 할거고요.사실은 두렵잖아요.
3,요즘 같이 치열한 영화판에서 이런 스토리와 영상으로 관객에게 다가오는 용기는 대단하다. 이영화 직접 영화관 간 사람들이랑 끝까지 관람 하신분들께 감독님 만원씩 드려야 할 듯  영화인 예술인은 좀 틀에서 벗어나는 노력을 해야만 한다 포스터보고 낚여서 끝까지 본 희생자 올림.
10,배우들 연기가 너무 좋았습니다. 이런 영화들이 널리 보급되었으면 합니다.
1,솔직히 잘 모르겠다.
10,순수한 밝음과 가슴깊이 파고드는 명연기에 감동하고 갑니다
10,"섬세한 연기, 일상생활처럼 느껴지는 감동, 너무 슬프고 재미있게 봤습니다."
10,그 나잇대에 맞는 진실이 있기에 과거를 후회하지 않기로 결심했..
10,뻔한 스토리지만 잘봤습니다 연기를 잘하셔서 몰입해서 봤습니다
10,"영화를 볼때, 보고나서도 한참은 나와 엄마의 관계에대한 고찰을 해보았습니다.허나, 몇일을 지내고 문득 생각해보니 내가 버리고, 잃기도... 잃었기에 너무 힘들었으나 그저 원망만을 할수도 없었던 관계들에 대한 많은 생각이 들었습니다.그러기에 나 자신을 돌이켜 볼수있는 시간들이였습니다.무엇보다 훌륭한 연출과 연기덕에 몰입하여 나를 투사시켜 볼 수 있었던 좋은 작품이였습니다.그리고 박평식펑론가의 6점이라니요 와우!"
8,엄마이기에... 딸이기에... 보여줄 수 있는 모습들
10,
10,식도 버렸는데 뭔들 못버리겠어! 그런 맘으로 살았을 영분! 그래서 잘살지 못하는 영분 이제부터라도 잘 살 수있을까? 무섭다 그래서 또 내일을 살아가는 나와 너무 닯았어 착하게 살아야 된다고 생각하며 어렵게 성인이된 한희는 엄마를 미워하는 법도 모른다 눈물나게 그리워서 미움도 갖지 못할 만큼 외로운 한희에게 나쁜엄마라도 곁에 있어주면 좋겠다 그래서 무섭지만...
10,"누구나 이해할 수 있는 스토리,  하지만 복잡한 이 감정 선들..이해하기에 앞서 이 감정을 느껴야한다.영화관에서 다시  만날 수 있었으면 좋겠다"
9,모처럼 좋은 영화를 봤습니다  내일처럼 감정이입이 되네요
8,영화의 완성도를 따지기 전에 두 분의 연기력에 박수를 보냅니다.
9,부족함을 인정하고 다시 마주한다는 것
10,행복해지는 영화입니다
8,엄마보다 여자이고 싶은 여자와 사랑받고ㅈ싶은 여자
10,"담백한 대사 하나하나, 배우님들의 웃음과 울음에 나의 마음이 따뜻해지는 그런 영화.Ost의 가사도 좋으니 꼭 보시길 추천합니다"
10,최고의반전이있습니다
8,"꽃3부작(들꽃, 스틸 플라워, 재꽃)에서 박석영 감독이 천착해 온 버림받고 상처받은 영혼을 보듬는 시선과 희망의 끈이 보이는 것 같습니다. 전작들에서 본 배우 정은경과 김태희는 믿음직스럽고 새롭게 보는 배우 장선은 참으로 인상적입니다. 뜀박질하는 장선에게서 재꽃의 정하담이 떠오르는 건 저만이 아니겠지요?"
10,
6,여기에 자리체 나오면 라인들이 통제 들어와서 너무 힘듭니다 드비2서버
1,"....,,,,??"
