score,reple
10,배우의 국적을 의심하게 만듬.
10,여주를 잘 알려지지 않은 배우로 캐스팅한게 정말 탁월했습니다! 진짜 일본인이 연기하는 줄 착각할 정도로 연기가 정말 좋았네요! 최희서 배우님 진짜 앞으로 더욱 기대되는 배우입니다!
10,역사를 잊은 민족에게 미래는 없다
10,이제훈은 진짜 연기잘한다
10,리얼볼바엔 그냥 이거 7번 보는게 더 재밌음
10,제일 돋보인건 이제훈 연기? 스토리도 꽤 잼있음 ㅇㅇ
9,기대안했는데 재밌게 봤어요. 너무 무겁지도 가볍지도 않은 영화에요. 중간중간 웃음을 나오게 하는 장면도 있었어요. 무엇보다 다시 한번 역사에 대해 깊이 생각해보게 되었습니다!
10,꿋꿋하게 불타올랐던 박열 선생님의 열정을 이제훈이 정말 잘 살려주었다... 스토리도 연기도 정말 마음에들었던 영화이다. 이런 영화가 많이 나왔음 좋겠다. 그리고 친일파 댓글알바는 제발 자제해주시길.
10,"""나는 조선의 OOO로소이다"""
9,이제훈은 말할것고 없고 다른 배우분들도 연기가 최고! 내용도 좋고 최고의 영화!!
10,박열 꼭 봐라 진짜 저게 배우구나라고 느끼게 되고 감독의 역량이 어떤건지 보여준다
10,개인적으로 담백해서 좋았고 너무 무겁지도 가볍지도 않아서 좋았어요!! 역시 이준익감독님! 한번은 볼만한 영화 같아요!
10,역시 이준익 감독님!!
8,"사도,동주와는 다른 박열,후미코 영화"
9,정말 재밌었습니다. 무거운 소재였지만 익살스러웠고 몰입도도 좋았습니다. 배우들의 연기도 좋았구요
10,이제훈이 이제야 정점을 찍는 영화.. 바로 이맛이제
10,국사책에는 박열에 대해 '히로히토를 암살하려다 실패한인물' 딱 한줄로 설명되어 있다.잊지 말아야겠다. 박열이라는 인물을.
9,몰랏던분을알게되엇다
10,리얼따위 핵폐기물보다 10000배는 낫다
10,너무 감동적이예요 박열 자랑스럽습니다
10,시사회 통해서 미리 봤는데 재밌게 잘봤어요! 박열이라는 분이 누구인지 잘알지 못했는데 영화를 통해서 알게되어서 신선 했어요. 배우들이 정말 일본인처럼 느껴질정도로 회회실력들도 엄청나시고 중간중간 재밌는요소도 있어서 지루하지 않게 관람하였습니다??
10,강력추천! 박열을 보러가서 가네코 후미코역의 최희서를 재발견하실 수 있습니다!!
8,탄탄한 스토리에 적절한 웃음까지
10,후미코 연기 진짜 잘 해.. 일본인인 줄 알았어요
10,어제 영화를 보고 가슴이 너무 아팠던 두분의 사랑과 나라에 대한 자신들만의 표현... 슬픈 역사 속 사건들.. 너무나 많은것을 생각하게 해준 작품입니다. 배우들의 연기 너무 좋았습니다.
10,배우분들 연기 너무 멋있었어요!! 특희 최희서 배우님 쨩
