score,reple
10,한해한해 더해가는 삶의 무게에 비례해 보기가 점점 두려워지는 영화.
10,공포영화보다 이런 영화가 더 무섭다..
10,간혹 한국영화 전체를 까내리고 싶을때가 많은데 그렇게 못하는것이 바로 이 영화 때문이다. 10대들은 이 영화보고 별 느낌이 없는게 당연하다  평점참여에 10대가 14%인데  이 14%만 없었다면 이 영화 평점은 9점후반대가 될것이다
9,"시간이란 철길을 돌려서 풀어내는 한 인간의 인생, 그 야트막한 언덕 위에 무던히도 날 선 역사들이 잡초처럼 우거져 있다. 차라리 이름없어서 순수함 가득할 들꽃 하나, 아름드리 박하향 가득 흩날릴 바람 한 점조차 그곳에선 정녕 허락될 수 없는가?"
10,최고의 한국 영화!..이 때의 설경구가 그립다 주인공 김영호 처럼 변해버린 그..
10,이런게 명작이지
10,관객도 똑같이 아파해야 완전하게 체험하고 이해할수 있는 영화. 설경구는 정말 목숨 내놓고 연기한거 같다.
9,순수는 기차를 타고 절망으로 간다.  하지만 영화이기에 절망은 순수를 향한다.
10,먼저 제의 들어온 배우들 있었는데 설경구 아니면 누가 이 역을 제대로 소화했을까 .  당시 무명 배우가 이런 연기를 했다는게 놀랍네
10,"발에 물이 차서,,,,,,,,,,,,"
10,34살 . . .개봉 당시 볼때는 몰랐는데 . . 지금은 알겠다 . . 펑펑 울었네 . . .보면서 . . .
10,"20대에 3번봤지만 15년 흘러 본 느낌과는 사뭇다르다,, 이창동이 천재라는 생각뿐,,"
10,이 영화를 전두환이 꼭 감상했으면 좋겠습니다..
10,어떻게 이런 영화를 만들었을까 인간이 무너지는데 세계가 단단히 한 몫하고 있다는 걸 너무나 조용히 그리고 적나라하게 보여준다 2013년의 기만을 담은 현대판 박하사탕같은 영화가 또 나와야 한다
10,죽음 직전 주마등처럼 스쳐지나간 남자의 일생을 공유하다.
10,"OO이 넘은 뒤에나 보았지만, 이런영화가 OO전에 나왔다니...정말 울림이 큰 영화였습니다."
10,제가감히 어떻게 평을 남기겠습니까.. 제 인생의 영화中 1순위는 대부였는데.. 박하사탕은 0순위에 넣겠습니다
10,이창동감독은 아픈곳을 너무 잘찌른다..그런데 그 아픈곳을 감싸줄 줄도 안다 그래서 그의 영화가 좋다. 설경구 연기는 이때가 최고였던 것 같다. 그 후론 안타깝지만 연기에 힘이 많이 들어간 느낌? 이때가 배우로서도 가장 빛났지
9,팔려고만든게 아닌 예술작품하나를 본듯한느낌... 개인적으로 이런 영화를 너무 좋아한다.
10,영화가 정말 깊다.....걸작 중 걸작
10,전두환 살인마새끼..
10,깊이감 부터가 다르다...시대상황의 희생자가 되버린 한 사람의 인생을 아름다운 영상과 플롯으로 이렇게 깊이감있게 그려낼수 있다니이창동의 리얼리즘 연출이 빛을 발한다
10,어느순간 잊고 살았던 순수... 한살한살 먹을수록 순수와 멀어질까 무서워진다.각자의 삶에 대해 다시 깊이 생각해볼수있는 영화다.
10,"그 시대를 짊어지기에 영호는 너무나 여렸고, 세상에 무뎌지지 못하는 순수함 이었다"
10,90년대 말 천지개벽할 걸작의 탄생
10,"""나  다시 돌아갈래'' 정말 전무후무한 명대사인듯. 방황했던 시절을 갖고 있었던  내가 공감할 수 있는 영화"
