score,reple
10,게임 실사화의 모범 사례
10,공포보단 전체적으로 대만의 슬픈 역사를 잘 연출해낸 영화입니다
8,외국영화에서 느껴지는 이토록 익숙한 질감과 감정이.
10,원작 게임의 훌륭한 부분을 잘 살리면서 감독의 개성적인 연출이 어우러져 매우 좋았다.원작 게임을 너무 재밌게 해서 기대를 망치진 않을까 걱정도 했는데 게임을 영화화 할때 어떤 부분을 집중해야 할지 섬세하게 신경썼다는 걸 느낄 수 있었다.
10,"어두웠던 시대적 배경을, 호러 공포로 풀어낸 감독 리스펙..! 몰입도도 장난 아님 ㅠ"
10,"정교한 연출, 훌륭한 연기, 공감 가능한 슬픈 현대사를 다룬 수작!"
10,게임을 아는 사람들은 꼭 한 번씩 봤으면 하는 영화
8,게임 플레이 하고 보면 더 재밌는 것 같음. 근데 공포는 기대 안하는게 좋음.
10,다른 공포물처럼 엄청 무섭진 않았어요 하지만 연출력도 뛰어나고 내용도 탄탄해서 정말 잘 봤습니다!!돈아깝지 않은 영화입니다!
10,와 간만에 영화 봤다..
8,한국 근현대사와 유사한 아픔의 역사를 가진 대만의 역사와 캐릭터들의 슬픈 이야기를 공포장르와 절묘하게 녹여낸 수작. 게임원작을 뛰어넘었을뿐 아니라 더욱 풍부하고 입체적인 스토리를 실사화한 작품. 역사와 과오는 절대 잊지말아야함을 절절히 강조하는 가슴아픈 호러영화
10,여주 남주 이쁘구 초반부터 무서움주의! 무슨 장면이지? 싶어도 일단 그냥 보면 뒤로 가면서 다 짜맞춰짐. 서늘하구 기괴하구 가슴아픈 호러~
10,역시 공포하면 학교가 짱인듯합니다!학교와 과거 어두운 사건의 합이 잘 어우러진것같아요!재밌었습니다
9,별 기대 안 하고 봤다가 놀람. 마지막엔 슬펐음.
10,슬픈 역사를 잘 그려낸 작품. 게임내용도 잘 구현해서 잘 보고왔습니다. 추천할만해요. 보고 여운이.긴 영화예요.
10,"홍콩프리를 외치게 하는 수작, 기대치보다 엄청 잘만듬"
9,고자질할 사람은 곁에 두지 맙시다. 신용은 중요합니다. 자유란건 쉽게 얻을 수 있는게 아닙니다. 자유를 위해 헌신하신 분들에게 경의를 표합니다.
10,"보다가 울음. 너무나도 슬프고 여운이 남는 영화. 게임의 스토리를 영화에서도 너무 잘 풀어냄. 공포요소 적다, 재미없다, 이러는 사람들은 게임플레이 영상 먼저 보고 오시길."
9,"원작 즐겨한 사람으로서 상당히 만족스럽습니다. 실사화가 매우 잘 되었고, 원작과 다른 부분도 있지만 도리어 비교해보는 재미가 있었습니다. 살짝 원작 재현작같다는 티도 좀 나는데 크게 어색하진 않습니다. 스토리 자체도 수작이라 원작 몰라도 재미있으니 추천합니다."
10,오랜만에 좋은 영화 본 느낌이네요!뭔가 공포영화라고 하기는 좀 애매한 느낌?아니면 공포를 떠나서 그 속에 묵직한 이야기들이 더 와닿아서 그런걸지도...최근 본 한국영화들보다 훨씬 좋았어요!최신 영화 8위라는게 아쉬울따름
7,공포영화지만 그렇게 무섭진 않음 하지만 연출이 훌륭함
8,원작 게임을 잘 살린 모범영화. '정치적 공포'에 대한 영화
10,게임해보고 봐서 그런지 ..더 무서웠고 내용이 와닿았다..
10,우리 역사같아서 보면서 몇번이나 눈물 남. 정말 좋은 영화
10,내용이 좋았음한 번더 볼예정
10,"원래 공포영화 좋아하는데 , 이건 솔직히 대작이 공포 장르를 빌렸다고 생각합니다:)) 너무 잘 만든 영화"
9,초반부 말고 무서운건 없었지만 솔직히 말해서 저거 일제시대때 우리나라를 배경으로 삼았어도 될정도로 비슷한거 같았다
10,자유와 사랑의 한 끗 차이..
10,ㅆㅅㅌㅊ 따봉 원작의 분위기를 잘 연출
10,자유에게.
10,무섭고도 슬픈 공포영화 꼭 보세요
10,메세지 전달도 잘해놨고 영화화 잘해놨다
10,게임도 명작이지만 영화도 연출이 좋았다. 게임과는 또다른 느낌.
9,사소한 개인의 문제가 암울한 시대를 만나면 얼마나 비참해질 수 있는지.. 독재 정권 시대 대만의 어느 여고생 이야기
10,원작을 잘살린 모범예입니다 엄청 재밌게봤어요 원작게임 아시는분들은 훨씬 더 재미있게볼 수 있을거 같네요
8,공포영화 보러갔다가 눈물 훔치다 왔다
8,호러영화가 아니고 역사영화입니다.
10,진짜 포인트 너무 잘 살렸다. 가슴이 웅장해진다
10,"게임 실사화로 치면 최고수준, 자유의 소중함을 다시금 깨닫는다"
10,잊지않고 기억하기 위해 살아남아야 했던 사람들처절한 역사를 담은 슬픈 영화
7,공포속에서 느껴지는 씁쓸함. 경찰괴물의 얼굴을 통해 무엇을 생각해봐야 하는지 일러준 영화.PS. YH&JY 의 첫 라이브톡!!~!!
10,이 영화는 마냥 공포물이 아닌 안타까운 스토리에 슬픔이 밀려오는 영화이다. 그래서 여운이 더 남는다.
10,아 역시 영화는 이정도는 되야죠스토리며 연기력 와 진짜 영화를 휩쓸었다와...감탄만하게되네요
10,근데 잔인도로 봤을땐 18세 받아야할것같은데..
10,"단순히 놀래고 싶어서 공포영화 찾는 분들께는 비추 입니다 스토리랑 연출이 약간 메멘토랑 비슷합니다그래서 더 좋았어요 뒤로 갈수록 아~ 이 장면이 이거구나~ 라고 느낄수있어요 약간의 반전도 좋았고 기괴한 분위기,연출도 좋고 배우들 싱크로율도 좋고 잘생기고 이쁘고... 저는 다 좋았어요"
