score,reple
7,"외롭고 쓸쓸한 나를 그대로 내버려둔 것에 대한 애달픈 반성. 과거를 걸어서라도 되돌리고 싶은 순간들과, 희미하게 비치는 구원의 가능성."
8,"누구의 목소리라도 듣고싶어지는 영화. 피를 뒤집어쓴 귀신이 나오지 않지만 서늘하다. 나도 유령은 아닐까, 이 외로운 도시에서."
8,계속 여운이 남아있다.
8,뭔가 현재의 나를 다시돌아보게 해주는 그런느낌의 영화
10,오늘 봤어요. 잘 봤어요. 오래 생각날 것 같아요. 사는 것이 무엇인지 죽음은 또 무엇인지.. 내 곁의 사람들과 순간의 결정들이 무엇을 남기는지 오래 생각할게요.
9,서늘하면서도 다정다감한 위로. 과장 없이 담대하다. 간만에 몰입해서 본 영화
10,여운이 오래가는 영화에요... 특히 마지막 나래이션
10,"유은정감독님의 첫 독립 장편이라고 하는데 내용도 탄탄하고 정말 좋았고, 배우님들의 연기도 훌륭했어요. 오늘이 개봉일인데 벌써 두 번 봤습니다 오예"
10,영화 잘 봤습니다. 결말이 해피엔딩인지 새드엔딩인지는 사실 잘 모르겠어요. 보고나서 여러가지 생각이 들어서... 앞으로도 좋은 작품 응원합니다.
9,부천에서랑 이번에 두번 봤는데 두번 다 마지막 장면에서 울컥했어요. 차가웠던 방 한 구석에 늦은 오후 햇살이 비치는 듯한 느낌. 그 때는 몰랐기에 돌이켜보면 아련하고 아쉽고 그래서 슬픈..
6,소재는 신선한데 약간 지루했어요배우들 연기가 좋았습니다!
8,소재도 신선햇고 재밌게 잘보았습니다~~^^
10,우울한데 봐서 좋았다 위로 받은느낌 다시보려고한다
10,너무 좋음 . 배우들의 연기와 작품만의 독창적인 색깔이 돋보임.
10,"몇 년 째 쳇바퀴 같은 삶을 살고, 최근 몇 달 아무도 만나지 않은 상황에 줄거리가 끌려서 보게 되었다.넌 죽어도 상관 없잖아라는 말에 난 뭐라고 대답할까."
8,영화에 나오는 그 어떤 등장인물도  왜인지 모르게 슬픔이 가득하다.  그리고 그 슬픔은 어느샌가 내 마음 속에도 들어와버렸다.
6,"승찬과 혜정의 마지막 대화는 감동적이었지만, 하려는 이야기에 비해 영화가 너무 길어서 다소 지루하네요"
5,"너무 기대가 컸나 봐요, 클라이맥스로 치닫는 과정들이 너무 지루했어요. 소재도 신선했고 말하고자 하는 의도는 좋았지만, 너무 불친절하게 흘러가며 지루한 느낌,, 개인적으로 예고편까지가 딱 좋았던 작품이었어요."
2,단편을 질질 끌어서 장편으로 만든 느낌...지루해서 보기 힘들었다...
8,독특한 분위기를 자아내는 영화. 낯설지만 새로운 영화. 은근한 맛이 있다
6,곱씹어보면 진부한 스토리. 그러나 흐름을 놓칠 수 없게끔 만드는 매력.
8,그늘진 현재에 대해 다시 깨닫게 해주는 영화
7,왠지 궁금해서 큰 기대없이 봤는데... 그런대로 흥미로웠습니다^^ 장르적으론 살짝 미스테리-스릴러를 차용해서 자기 얘기를 풀어나가는게 나름 신선했습니다. 다만 좀 거칠거나 성긴 부분들은 조금 아쉽네요. 어쨌든 앞으로 신작이 기다려지는 감독입니다^^
6,외로움. 쓸쓸함.  고독한 인생..  나이들수록 이의미들 이해가 간다.
7,색다른 시선으로 바라본 가장 담대한 위로와 의미있는 성찰.
2,누군가가 꼭 했어야 하는 얘기긴한데... 그래서 '어떻게' 보여줄건데?  가 중요한듯 싶네요. 연출력을 분위기로만 밀고가는 기분.
10,너무 좋은 영화다 또 봐야지
7,현실적인 여성의 다양한 모습이 드러나 슬프기도 하고 공감이 되기도 했습니다. 전체적으로 서늘한 느낌이 들면서도 끝으로 가면서 따뜻함이 느껴지는 영화였습니다.
6,새로운 느낌의 영화였다.
10,지금을 살아가는 현재에 대해 많이 생각하게 되는 영화 같았습니다 여운이 꽤나 오래 남을 거 같고 대사 하나하나가 다 심금을 울리는 느낌이었어요 좋은 영화 만들어 주셔서 감사합니다!
8,보이진 않지만 어디에나 있는 일반적인 사람들의 스토리가 이렇게나 진한 여운을 줄 줄은 몰랐습니다.
6,구성이 좋았지만 나머지는...
7,"스토리, 편집의 힘. 대사의 전달력은 떨어지나 저예산으로 이정도는 수준급."
6,기대없이 봤는데 여운이 남는다.
8,살아있을땐그누구에게도말하고싶지않았으나...죽고나니간절해지는
10,계속 생각하게되는 영화네요
9,"우리가 놓친 것, 우리가 놓치지 않은 것, 우리가 놓지 못한 것, 우리가 놓을 수 없는 것들에 대한 이야기"
10,죽어도 되는 사람은 없다.  흔한 일상의 되돌리기 살아서.
3,"재미로 볼 영화는 아님,, 너무나 어두운 인생"
8,내일이 있음을 당연시하는 우리는 그저 살아지기 위해 왔던 길을 등진 채 하염없이 걷는다. 깨어날 수 없는 내일의 어느 아침을 마주한 후에야 뒤늦게 걸음을 멈춘다.
7,젖는 줄 모르고 맞은 가랑비 같은 영화
5,신선한 미스터리 스릴러 영화 현실감 넘치는 것이 장점이자 단점 전소니는 피에 푹 젖은 칼 같았다. 영화 속 분위기의 맛은 좋지만 사실 그것뿐인 것 같아 아쉬웠다. 나래이션은 친절할 수도 있지만 동시에 지루하고 설명적이게 느껴질 수도 있을 것 같다.
7,살아있을 땐 오히려 죽어있는 사람이었던 혜정이 죽어서야 비로소 삶을 찾아가는 영화
4,혜정은 왜 효연으로부터 억울한 죽음을 당했어야만 하는 것인가
10,괴쩔어
6,약간의 긴장감과 끝나고나서 여운이 남는 영화였어요  배우들 눈빛이 무서워요 ㅠㅠㅠㅠ
8,"여운도 많이 남고, 묘한 작품이네요 좋아요"
9,밤의 문이 열린다 : 라는 제목이 너무 궁금했던 영화인데 그 의미가 충분히 전달된 영화라고 생각한다. 누구에게나 각자의 밤의 문이 열리는 순간이 오겠지
7,예상 외의 장르 영화였던 것이 놀라웠어요. 전체적으로 서늘하지만 따뜻한 영화
10,마지막 장면은 기억에 오래 남을 것 같아요
10,연기가 흡입력 있고 좋았습니다. 여러가지 의미들도 계속 생각해보게 되네요
8,참신하고 과거의 나에대한 반성을 하게되는 시간 이였음
8,좀 느슨한 감이 있었지만 그것대로 잘 어울리는 분위기라 빠져들어 봤어요.
10,....좋네요.!!
10,좋은 영화 잘 봤습니다.
10,제 곁의 유령들을 떠올리면서 봤습니다. 감독님의 다음 영화가  벌써 기다려지네요.
10,서늘한 분위기를 영화 내내 끌어가지만 &#34;목소리&#34;가 함의하고 있는 것들에 대해 깊게 생각해볼 수 있었어요. 영화 보는 내내 숨소리도 크게 못내고 긴장하고 봤어요. 주인공 모두가 이해되고.. 밝지만은 않은 영화여서 더 좋았습니다.
7,하루씩 거꾸로 시간이 흐르는 이야기 진행방식이 신선하다. 스스로 고립되고 소외되어 살다가 죽고나서야 소통하기 위한 적극적인 모습을 보이고 모든 걸 포기한 듯 하더니 유령이 되고 나서야 두려움과 삶에 대한 애착을 보이는 것도 색다르다.
10,혜정과 효연의 살고자 하는 욕망을 응원하는데 그들이 처해 있는 현실은 너무 어두워서 마음이 답답했다. 결국 둘은 유령으로 남게 되는 걸까
10,나도 시간을 되돌리고 싶다.
10,
10,
9,나의 뒷모습. 너의 뒷모습. 시대의 뒷모습. 이건 희망인가 낙담인가.
10,차가운 밤에 따뜻해지는 마음.
4,
5,"시간이 거꾸로 가는게 유행인가 이번에 유령이 거꾸로가네.나는 내일, 어제의 너와 만난다를 차용한 영화."
10,누군가의 외로움과 소외감을 외면하지 않을 것. 긴 여운을 주는 영화
6,다시 보면 좋겠네요. .
8,그럴 수 있죠. 살다보면 다 그렇고 그런 일이 생기기도 하더라고요
7,보고 나서 여러 생각이 드는 영화였습니다. 주인공의 행복을 바랍니다.
4,독립영화로 시작해서 잘된 감독들도 많은걸 생각해본다면 독립영화니까 이 정도면 괜찮지 라는 관대함보다 발전을 위해서라도 좀 더 따끔한 지적이 약이 되지 않을까?저예산으로도 충분히 신선하고 재미있는영환 너무 많다!
4,"어설픈 섬세함과 관계의 방향이, 장르적이었다면."
6,쓸데 없는 요소가 너무 많았으며 인물의 표정을 통해 감정을 표현하려다 보니 한 장면을 너무 끄는 듯한 느낌도 없지 않았다
7,방구석 박평식 많네 ㅋㅋㅋㅋ
1,최악의 장편 영화. 장편에서 단편의 장점을 살리려 했다
4,"설명할 거 없는 사연에 너무 많은 의미를 부여하고 설명하려 든다. 효연이 왜 혜정이를 죽였는지, 혜정은 왜 그토록 폐쇄적인 성격인지 이해도 공감도 되지 않아 몰입이 안 됐다. 감독이 인터뷰에서 4인용 식탁 참조했다던데 그 영화 매력 1도 못 따라간다."
2,이렇게 사는 사람들이 많아서 평점이 높은가요?어떻게 시간을 보내왔기에 영화로 다시금 생각하는건가요?이게 현실이라면 삶 자체로 비참한거같아요.마지막대사는 그런점을 강조한 것 같아요
2,사춘기 중이병 왕따 오타쿠 중학생이 만든 것 같았어요
