score,reple
2,전세계를 상대로한 희대의 구라 비핵화 질낮은 연기와 연출 퍼포먼스
1,남북연락사무소 터졌는데 영화감독은 무슨 생각 하고 있을까
1,오늘 연락사무소 사라졌음! 3년간 노력이 물거품으로 변했음!
2,ㅋㅋㅋㅋ코미디 다큐가 아닐런지..
1,아...0점이 없네...
1,"북한의 개들, 공산주의 초종자들, 김씨왕조의 걸래들."
1,정신못차리고 또또ㅉㅉ
1,진짜 미친것들인가...
1,그냥 현정권 선전물....
5,백년의 기억을 옥류관 국수에 말아잡순 남북 짱들.. ㅉㅉ
1,"구라쟁이들,,,그것도 지독한 구라쟁이들.."
1,대국민 쇼! 토착빨갱이들 코메디하냐...
1,"ㅡ,.ㅡ 좌파는 한국역사를 비방하고 싫어하면서 왜 한국에 들러붙어서 정권잡고 정치하면서 대한민국을 망치는가."
1,이딴 개 쓰레기같은걸 돈 주고 만들었냐 설마?
1,이딴 영화 만들어서 국민들 선동하고 싶나ㅋㅋㅋ냉면쳐먹고 노래부르고 쇼만 ㅈㄴ했잖아? 나온 결과가 뭐야 지금까지?ㅋㅋ제발 부끄러운줄 알아라
1,현실과 너무나 동떨어진..
1,국세로 영화찍나
1,씹주고 뺨이나  처 맞는 이 치욕스러운 정권은 백년이 지나도 잊을수가 없을것이다 ..
1,OO중 이런 상OO이 없네.
1,외국 3자 시선 어쩌고 저쩌고 떠들어봤자 우리나라 내부현실을 모르고 좌파정권과 그 홍위병들이 열심히 대외적으로 떠들어대는 홍보질만 보고 착각하는 외국인들이 너무 많다는 점만 인식시켰을 뿐이다.
1,걸캅스보다도 못한 유일한 영화
1,
1,개어이가 없네....
7,삼자의 눈을 통해 보는 한반도의 길
9,"막판에 너무 이상적으로만 그려낸 게 아쉬웠지만 외국인이 모든 사정을 알 수 없으니 그러려니 합니다. 희귀한 근현대 영상과 자료를 양질로 묶어서 볼 수 있었다는 점, 제3자의 한국에 대한 시선을 볼 수 있었다는 점에서 높은 평점 매깁니다."
8,영화의 의도(소개) 는 최고
10,
10,전쟁이 휴전된지 70년이 지나도 종전선언을 안하고 적대적으로 평화와 반대로 가는 이유는 무엇인가? 북한이 수교를 원해도 안해주는 이유는  분단을 이용해서 계속 무기를 팔고자 하는 미국과  한반도 침략을 꿈꾸며   평화방해 이간질을 해대는 일본때문이었다.
10,
10,
10,집에서도 가족들과 또 보고싶어요
10,3자의 시선에서 본 한반도의 정세라...볼까말까 망설였는데 평점댓글에 벌레들이 보이는걸 보니 꼭 봐야겠네요
10,외국인이 자기 시선으로 만든 것도 저 OO들... 영화 보지도 않고 평점 남기는 것들 영원히 똥통 지옥에서 살아라.
10,최고의 영화 추천합니다
10,지난하지만 결국 가야할 길
10,한반도 백년 연사를 제 3의 시선으로 왜곡되지 않고 객관적으로 표현한 신선한 다큐멘터리다. 북쪽 인터뷰와 세계각지의 영상아카이브로 우리나라에서는 만들기 어려운 영화인데 개봉되어 볼 수 있다는게 정말 다행이다.
10,남북 100년의 역사를 외부의 시선으로 객관적으로 잘 전달되었습니다 방대한 자료와 북한 관계자들의 인터뷰도 인상적이었습니다
10,수꼴들 부들부들
