score,reple
8,손가락을 움직이는 이 세상 모든 은희들에게
10,방금 봤는데 올해 최고의 작품인정. 이런게 진짜 한국영화의 힘이다. 숨막히게 세상을 짓누르는 압력에 세밀하게 그 압력이 빠져나가는 곳은 바로 우리의 삶이다. 이렇게 세상의 일을 개인생활속에 투영시키는 영화는 이영화가 최고다 더이상 할말이 없다.
9,"언니, 그건 지난 학기잖아요ㅜㅜ"
10,김새벽의 말들이 모든이들을 달래어주는것만같았다  여운이 오래갈 것 같다
10,한 개인의 흔들리는 내면을 통과하며 함께 흔들 거리는 사회도 보여준다.
10,은희는 어떤 어른이 되었을까요
10,디테일이 좋았다. 다시 보고 곱씹어 보면 더 여운이 남을듯. 한번 더 볼 것. 김새벽 배우 하트
8,"영화를 보는 내내 김영지라는 사람의 인생을 듣고싶다는 생각을 계속 했습니다. 그리고 수술해야 한다는 은희를 보며 우는 아버지, 반찬을 덜어주는 어머니, 그 관심에 기분 좋아 웃는 은희. 어릴때의 내가 생각나 안아주고 싶었어요."
9,어떻게 사는 것이 맞을까 어느날 알 것 같다가도 정말 모르겠어 다만 나쁜 일들이 닥치면서도 기쁜 일들이 함께 한다는 것 우리는 늘 누군가를 만나 무언가를 나눈다는 것 세상은 참 신기하고 아름답다.
10,"GV 할 때 모든 관객이 울고, 저마다의 은희를 고백하는 과정이 아직도 선연하다. 가부장제는 우리 세대를 관통하는 지극히 폭력적인 원체험이다."
8,불안하고 사랑 받고 싶은 한 소녀. 방황해야만 했던 수많은 날갯짓으로 빛나는 삶을 찾는 은희를 꼭 안아주고 싶었다.
10,"정말 최고의 영화. ""은희야 이젠 맞지마."" 라고 말해준 영지 선생님이 나에게도 있었다면 좋았겠지만, 이제 내가 그런 말을 해주는 사람이 되려고 한다."
10,그 시대의 공기가 영화관을 가득 메운다
10,30년 가까이 살면서 별점 남기러 와보기는 처음이네 정말 좋은 영화
10,은희와 영지선생님이 왼손잡이라 더 좋았다
10,변하고 붕괴하는 세상. 그걸 버티는(버티기 위한) 은희의 무수한 날갯짓
10,"그땐 다 그렇게 자랐어하며 쉬쉬했던, 가정과 사회의 폭력을 적나라하게 폭로한다"
10,저번 학기와 이번 학기가 다르듯
10,"정확하게 기억나지 않고 감정만 남았던 것들을 그대로 짚어서 표현해주셔서 놀랐어요. 관람하는 내내 많이 울었는데 이해 받는 기분, 내가 유별난 게 아니었다는 생각이 들었어요."
10,재미나 의미를 찾기보다 은희의 시선에서 은희가 보낸 1994년을 따라가다보면 이처럼 매력적인 영화가 따로 없다는 생각이 든다.
8,1994년도 배경. 중2 여학생의 시선에서 바라본 시대적 갈등. 그 문제는 아직까지도 진행중.형태만 있는 가족의 모습이 모든 구성원의 외로움으로 나타나고 그것을 밖에서 채워야만 하는 모습들이 슬펐다. 2시간20분이 지루하지 않은 생각하게 하는 영화
10,이영화는 하루 한두번만 영화를 볼수있는 시간대와 가장적은수의 관객만 입장할수있는 상영관을 줬다는 것이 정말 아쉬울 정도로 연기를 정말 잘했고 내용도 정말 좋다. 재미를 떠나 정말 좋은영화다.
9,사춘기 시절 강렬한 기억의 1994년은희의 작고 소소한 감정 변화가 너무 좋았어요
10,그 나이에 느낄 수 있는 세밀한 감정을 시대에 투영하면서도 구질구질 하지 않고 힘차게 날아오르려는 사람들과 빛나는 매력. 가슴이 뭉클했다.
9,잠시나마 영화가 별로면 어떡하지 걱정했는데 첫장면에서부터 모든 걱정이 싹 사라졌다.
10,영상도 배우들도 분위기도 너무 매력적이다
10,여러종류의 감정이 가슴에 꽂힌다
10,"잊지 못 할 강렬한 한 해, 지금 어딘가 존재하고 있을 은희에게"
10,가만히 지켜보게 되는 잔잔하게 빛나는 강물같은 영화였다 마지막엔 은희를 보며 다행이라 생각했는데 사실 내가 위로받았다 내 지난 시절들이 그래도 견뎌주어서 그래도 자라주어서 다행이라는 생각이 들었다 우리들의 삶은 늘 벌새의 날개짓이다
9,"1994년 그해..그시절 누군가 한번쯤 겪었을법한 상처와 상실, 치유와 성장..담담한 여운의 감동이 조용히 스며드는 영화..은희의 모습을 통해 나자신을 돌아보게 만든 영화였다..박지후, 김새벽..두배우는 단연코 올해의 발견이다!"
8,힘든 성장통을 앓는 이 시대 모든 은희들에게  격려와 위로를 보낸다
8,"일단 잘 만든 영화다. 촬영, 조명, 미술, 의상 웬만한 상업영화 보다 웰메이드다. 아쉬운건 한국 독립영화 특유의 바닥에 침잠하듯 우울한 주인공과 늘어지는 영화 호흡이다. 선택과 집중을 해서 영화를 조금만-20분 이상- 줄였으면 최고의 영화가 되었을"
10,올해 최고의 수작. 138분동안 넋놓고 봤다.
10,최고ㅠ추억돋고..그립고 슬프고..한문학원..아파트 촌의 플라타너스 나뭇잎+바람소리..우리집은 왜 불행할까..울며 잠들었는데 다음날 엄마아빠 사이 좋은거 보고 화났던거..지금도..여전함..배우연출 백점..지숙이 볼때마다 김고은 떠오름..
10,은희처럼 소리를 지르고 싶었지만 그럴 수 없었던 순간들이 스쳐지나가서 눈물이 났다. 씁쓸하고 먹먹하지만 이 영화를 통해 세상의 모든 은희들과 같은 감정을 나눌 수 있다는 것에 감사하다.
10,내 어린시절과 많이 겹쳐 보는 내내 내 안의 어린아이를 만나는 시간이었다 어린시절 이야기지만 지금 이야기는 아니라고도 할수 없는 이야기 은희에게 지금처럼 흔들리며 시간이 흐르겠지만 그럼에도 불구하고 너는 좋은 어른으로 자랄거라고 안아주고 싶다
8,인생은 연결과 단절의 연속
10,"명불허전, 예술입니다"
10,관람 후 곱씹을수록 이해가 깊어져가는 영화입니다.영화를 보고 있지만 화면 속에 나오는 대부분의 것들은 나이기도 합니다. 우리는 세상의 모든 은희들 중 한 명입니다.
10,90년대 엄마와 딸들을 위한 위로의 영화...의지할 곳 없이 헤매였던 성별의 전환기에 사무쳤던 외로움과 무기력 그리고 삶에 대한 의문을 갖게하는...엄마와 딸이 손잡고 함께 보면 좋겠습니다.  아들과 아빠도 서로를 이해할 수 있는 시간이 될 것입니다
6,기대가 커서 그랬는지 생각보다 별로였다.너무 많은 것을 보여주려다 보니 주제가 흐려졌고 두시간 넘게 끌고 가기엔 몰입도가 부족한 느낌. 어린 배우들 연기와 섬세한 감정표현이 좋았으나 한문 선생님과 성수대교 사건의 연결이 억지스러웠다. 무거운 영화.
10,순간의 정적을 아는 연출. 찰나를 놓치지 않는 예민함. 무어라 정리되지 않은 감정을 선사하는.. 보이후드 와 에드워드 양 의 그 사이 어딘가.
4,다들 재밌었나... 저는...너무 재미가 없었어요ㅠㅠ
10,우울에 사무쳐 뭔가가 무너져내리는것만같은 날에는 가만히앉아 울기만 했습니다.  이젠 제 손을 보는 것 만으로 위로받을것만 같아요.
10,그냥... 좋네요. 영화 보고 나와서 집으로 걷는데 기분이 참 좋았어요.
4,아 영화 왜 좋다고 하는지는 알겠는데 너무 길고 지루하다.. 클리셰도 많고 성장영화의 한계를 못넘는 안일한 지점이 너무 많다..
5,"나만 장면이 너무 휙휙 바뀐다고 생각한건가?내가 느끼기엔 사건과 사건이 엮이지 않고, 그저 나열되면서 감정선은 사건마다 갑자기 튀어나왔다 갑자기 사라질 뿐이어서 몰입하기 어려었다.비극과 명대사로 포장된, 자기만 생각한 영화."
10,"은희와 영지도 기억에 남지만 은희 친구 지숙이 무엇. 연기 너무 잘 해요. 학창시절 친구 생각남 ㅋㅋ 각본, 연출, 연기 다 너무 좋아요. 빛이나 색감을 따뜻하게 쓰는 것도 좋고요."
10,"상실을 지나온다는 것이 가능한 일일까. 끊어진 다리를 지나왔다고만 생각하다가, 문득 그 상실이 떠올라 다시 뒤를 돌아봤을 때는 결코 건널 수 없는 다리가 내 눈앞에 덩그러니 남겨져 있을 텐데. 마지막의 옅은 그 미소가 아프게 읽히는 것은 그 때문일지도"
7,감자전 먹고 싶다...
10,저예산영화라 상영관이 많지 않은게 넘 안타까운 영화네요 정말 재밌고 군더더기없는 영화입니다 박지후양 씨네큐브에서 실물로 봤는데 넘 예뻐요ㅜㅜ
10,영지쌤 저랑 엑스 맺어요....
10,'내가 살아남아서 다행이다'가 아니라는 생각. 착한영화. 감독님 화이팅! 당신같은 사람의 영화가 흥행하는 한국이 되길! 다음작도 기대할게요!
1,추석에 부모님 모시고 갔다가 모두에게 미안했다  온 가족이 다 싫어한 영화. 극장에서 본 영화 중 가장 재미없고 의미도 그닥
1,대단한 영화인 줄 알았는데 뭔가 집단 최면에 씌운 듯.  몇 년 지나서도 과연  이렇게 과대 평가 받을지 의문
10,방금 신촌 메가박스에서 보고 나왔습니다.상영후 무대인사하실때 감독님 엄청 쑥스러워 하셔서 넘 귀여우셨구요. 관객한분이 울면서 영화 소감 말할때 저도 울뻔했네요. 섬세하고 넘 감동적이고.. 마음을 울리는 영화는 오랜만이네요.
2,영화 잘봤다고 하신분들 부럽네요...너무 단조롭다해야되나...너무 지루함..무얼 얘기하는지는 알겠는데 전 영화가 왜 와닿는게 없죠ㅜㅜ
10,왜 상영관이 적은걸까..?
4,독립영화라서 평점을 너무 후하게들 주시는듯. 지루한 내용을 지루하게 전개하는 방식... 의미없이 상영시간은 두시간... 이 영화가 언제 끝나나하며 시계를 쳐다보는 사람이 비단 나뿐만이 아니라 주위에서 심심찮게 볼수 있음.
10,배우 김새벽의 연기는 영화가 끝나고 다음날이 되어서도 생각났다. 냉담한 얼굴에서 온기를 느꼈고 한 사람을 넘어 세상을 위로하는 힘이 있었다. 긴 러닝타임이 찰나같았다. 삶의 끊임없는 박탈감을 잠재워버리는 날갯짓. 완벽하다.
6,감춰져 있던 이야기를 통해 하고자하는 말은 알겠으나 형식적으로 뛰어나다는 생각은 안든다. 과대 평가된 영화
4,은희의 일탈이 전혀 공감되지 못한....왜? 란 단어만 머리 속에 되뇌이다 끝난 영화
1,사실 저는 별로 였어요..
1,저는 잘 모르겠네요..평단의 호평만큼 영화를 이해하지 못했고전혀 공감이 안되는 이야기 진행..은희의 세계는 너무 어렵네요
10,"아, 또다른 우리들!보는내내 웃고 울고 먹먹하고.."
10,영지선생님ㅠㅠ n차 찍으러 가겠습니다ㅠㅠ
1,별로 네요. 길기만 합니다.
1,과대평가된 영화..그닥
5,"과대평가된 지루한 수필. 간만에 보는 시종일관 지루한 영화... 시계를 몇 번이나 봤는지 모르겠다.설명 없이 눙치고 지나가는 이해불가한 장면들, 각자 제 갈 길 가겠다는 듯 멋대로 부유하는 시퀀스 파편들... 김감독은 훌륭한 작가는 아니라 생각한다."
6,과대평가된 영화. 그러나 박지후라는 굉장한 배우를 발견할 수 있었던 의미 있는 영화.
1,내참 악평을 적으니 내평점 삭제시켜버리는독립영화 수준 클라스
2,대단한 기대를 가지고 봤는데 나쁘진 않으나 전에도 이만큼 혹은 이보다 더 잘 만든 비슷한 내용의 영화들이 충분히 있었기 때문에 그렇게 특별할 건 또 뭔지.  긴 상영시간은 정말 불필요해 보인다.
1,주인공의 여정을 이끄는 메인스토리가 없고 감정선만 다루는 플롯은 연출자체가 자연스러워야 먹힌다. 하지만 벌새는 내가 최근에 본 영화중 가장 가식적이고 부자연스러운 연출이었다. 주변인물로 통해 다루고싶은 주제도 많아 이것도 저것도 아님 느낌을 받았다.
10,"혼자보러가세요. 과거의 나와 나란히 마주앉아 보게 될거에요.,"
5,메인스토리가 없어서 약간 조잡하고 복잡했어요. 인물의 감정선은 잘 드러나서 좋았는데 약간 지루한 감이 없지 않아 있었네요.
10,뒤로 갈수록 이 영화와 손을 잡고 있는 기분이었습니다김새벽 배우분 머리스타일과 담배피는 손과 옷과 목소리와 모든것들이 기억에 남아요은희 글씨가 참 예뻤어요 좋은 영화 감사합니다.
10,조용하지만 크게 울리는 영화 ㅠㅠㅠ 나중엔 줄줄 울었음
10,카메라시선이 너무 아름다웠어요 작은거 하나 놓치지 않으려는 섬세함
6,지극히 개인적인 일기장
1,ㄸㄴ금없이 왜 성수대교에서 ㅎㅎ 홍대병걸린 영화
1,나는 동성애 비스무리하게 가길래 아 이런 장르였구나 했는데 갑자기 또 후반부에 선생님 등장 선생님이랑도 뭐가 있나? 했는데 걍 미스터리한 인물이고 극적인 효과를 위해 그런 뻔한 결말을 내냐 이게 뭔 영화인가 싶었다. 영화가 일관성이 없고  조잡하다.
10,정말 좋은 영화인데 상영관 좀 늘려주세요
10,엔딩크레딧을 다 보고도 한참이나 눈물이 멈추질 않았다.. 내가 어렸을 때 필요했지만 받을 수 없었던 위로와 지지를 영화로 받은 기분
10,은희야 감자전 하나 집었으면 끝까지 먹어라
2,나에겐 넘. 어려운 영화
2,결말을 위해 2시간20분을 봐야하는데 너무 힘들다.
2,평론가 영화임. 그들으 영화임
4,너무 큰기대 ㄴ ㄴ 하지마세요
6,수상도 많이하고 주변에서 좋은 영화라길래기대를 많이했는데 생각보다 임팩트가 없었음..
5,"분명 고개를 끄덕이게 되는 지점들이 있었긴 합니다만... &lt;잘린 손가락&gt;, 도구적 인물에 그치고 마는 영지 선생님, 성수대교 붕괴 사건과 한 인물의 내면 서사를 엮으려는 시도 등... 찌뿌둥한 장면들이 많았습니다. 무수한 호평에 동참할 수 없어 어색하네요. &lt;사랑은 유리 같은 것&gt;은 무척 반가웠습니다."
6,다들 좋다는데 왜 나만 아무 느낌없지? 감독의 방향은 알겠으나 공감은 그닥...단지 김새벽 배우만 만났을 뿐.
4,"영화가 입소문이 타길래, 기대감을 갖은채 영화를 관람했다. 결과는 대실망.. 이유중 첫번째는 똑같은 구성의 샷들의 반복.. 장면이 휙휙 바뀌는데 클로즈업된 오브제가 나오면서 풀샷으로 보여준다. 이는 페이드아웃이 반복되는 느낌으로 스토리로 읽히기보단 장면의 나열로서 받이드려져 집중력이 깨졌다.. 연기도 썩ㅠ.. 인위적인 연출과 미장센은 영화의 심미적 부분만 치장해줄뿐 억지스러웠다. 굳이 담배라는 소재를 선생한테 물려가며, 그 시대에 어울리지않는 여성상을 억지로 끼워맞추는 느낌이 들었다. 성수대교와 선생의 연결도 정말 내취향은 아니었다. 굳이 한 테이크당 신이 루즈할정도로 길지않아도 될거같고 페미니즘을 나타내고싶은건지 동성애를 보여주고싶은건지 여자아이의 성장을 보여주고 싶은건지 너무나 많은 내용들이 한꺼번에 들어갔지만 너무 찔끔 들어간 탓에 무엇을 보여주고 싶은지 모르겠다. 내가 영화 보는 눈이 없나보다."
1,"이해 할 수 없는 인물들, 답답한 인물들, 느린 전개, 개연성 없은 플롯, 떨어지는 연기력."
4,길다성수대교는 억지스러웠다전달하고자히는 바가 뭘까?
6,은희를 제외한 등장인물들은 왜 다 작위적인지 원
1,리얼리티가 뭔지도 모르면서 리얼리티를 말하네. 흐름은 툭툭 끊기고 연출력은 개떡이고... 평점은 높지만 한달 되도록 관객은 10 만이 안된다.  뭐가 아름답고 뭐가 슬프다는지.. 짜증만 난다
3,재미는 없어요. 연기도 그닥...
5,걸작이라기에 봤더니 폼생폼사 자기연민으로 똘똘뭉친 평범한 독립영화. 남성캐릭터들은 지독하게 죄다 찌질이고 느닷없이 헷갈리게 하는 씬들이 뭔가 있어 보이게 만드는 착시를 준다. 허나 별거 없는 자의식 과잉일뿐.
1,ㅋㅋㅋ 야 여기 별점 10점 남긴얘들 일부러 저러는거다. 너도 낚이라고.. ㅋㅋㅋ 내 평생 이런 댓글 첨남겨본다. 분노의 댓글이지. 와 진지충들 예술가인척들 개 허세들 ㅋㅋㅋㅋ 딱 얘기해 줄게 개 노잼임
1,"전달하려는 주제가 모호하고 감정선이 심히 드나들며, 인물들 각자의 이야기를 한껏 풀어놓고 수습을 전혀 못하는 느낌. 선생님과 은희의 나이를 뛰어넘는 우정은 뻔한 클리셰라 너무도 예상 가능한 전개였고. 감독의 지극히 자전적인 얘기가 아니었을까 싶었다."
