score,reple
10,"신앙의 유무를 떠나 한 사람의숭고함에 가슴이 먹먹해지며자신을 돌아보게 만드는 영화였습니다.이태석 신부님이 돌아가셨을때우리는 의문을 가졌습니다.&#39;왜 할 일이 많은 젊은 사제를 불러가셨나고요&#39;하지만 우리는 지금 알고 있습니다.신부님의 죽음은 한 알의 밀알이 되어수많은  열매를 맺었다는것을요.신부님의 모습을 늘 기억하는 제자들의삶에서도 하느님의 현존하심을느꼈습니다.&#39;가장 보잘것없는 이에게 해 준것이바로 나에게 해 준것이다&#39;라는말씀을 품고 산 신부님의 삶이야말로제 인생의 좌표같은것입니다이기주의와 욕심으로 얼룩진이 현실에서 샘울같은 신선함으로우리를 일깨워주는 다큐영화,소위 돈 되는 영화도 아니지만이렇게 만들어 주셔서참 감사드립니다"
10,한사람의 희생과 죽음으로 끝난것이 아니라 그의 선함에 대한 영향이 재창출되고 부활되어 수십명의 또다른 이태석 신부님이 자라나는 것을 보면서 가슴 한곳이 저린 영화였습니다.
10,"마음이 따듯해지는영화..요즘 코로나로 다들 너무 차가운데,.. 마음 한켠이 먹먹하고 뭉클해집니다..특히나 의사로 성장한 아이들...정말 눈물나고 마음이 좋네요....강추합니다"
10,"이태석 신부님은 계시지않지만, 신부님이 베푸신 희생과 사랑은 영원히 남아있다는것을 알 수있었던 영화였습니다.개인주의, 이기주의적인 현대시대에 자신의 삶을 다시 한번 되돌아보고 생각하게 만들어줍니다.각자가 꼭 한번씩은 보고 깊히 생각할 기회가 되었으면 좋겠습니다."
10,‘너희가 이 가장 작은 이들 가운데 한 사람에게 해 준 것이 바로 나에게 해 준 것이다.’라는 말씀을 실천하신 신부님. 섬김의 삶을 통해 톤즈의 아이들의 삶을 바꾸고 그들이 다시 &#39;이태석&#39;신부가 되어 섬김의 삶을 사네요.보는 내내 눈물이 나네요.
10,요즘 같은 세상에 진정한 사랑을 본것같다
10,"아직 자식은 없지먼 자식은 부모의 거울이란 의미를 확실히 깨달은 영화이고, 너무 감동적이고 여운이 가시질 않습니다. 울지마톤즈를 안봐도 공감할 수 있는 내용들이고 나를 다시 돌아볼 수 있는 영화였습니다. 코로나로 삭막해진 이시기에 좋은 영화 감사합니다."
10,"이태석 신부님이 뿌려놓은 씨앗들이 헛되이 흩어지거나 말라죽지 않고, 얼마나 단단히 뿌리를 내렸는지 알 수 있었다. 한 사람이 지구 반대편에 미친 선한 영향력에 얼마나 큰지... 이태석 신부님은 예수님같은 분이셨다. 사랑을 몸소 보여주셨고, 말씀을 실천하셨다.지구 반대편,  총 소리가 끊이지 않고, 부족이 다 다른 남수단에서 음악이, 희망이 피어나게 하신 그 희생...사후 10년뒤 의사, 약사, 방송인이 된 수많은 제자들로 열매맺었다. 신부님의 사랑에 영화내내 눈물이 흘렀다.감사합니다. 당신의 희생으로 예수님의 사랑을 보았습니다."
10,한사람의 희생의 밑거름으로 세상을 변화시키는 그의제자들미래가 없었던 작은 나라의 마을에 희망의 불꽃이 되어 먼 훗날 세상을 변화시키는 작은 걸음이될수 있으면 하는 마음이 들게하네요악해져만가는 마음을 깨끗게 하는 영화입니다
10,"처참한 내전의 땅에서 새로운 미래를 꿈꾸고 만들어가는 남수단의 청년들의 도전에 박수를 보내며, 꼭 한 번쯤 보고싶고, 느끼고 싶던 영화였습니다."
10,"의료봉사. 학교설립. 음악교육.  이태석 신부님이 뿌린 씨앗이 풍성하게 자란 모습을 볼 수 있는 영화.   신부님과의 인연을 통해서 남수단 톤즈의 아이들이 의사, 약사가 되어 의료봉사를 하고, 상처깊은 아이들이 밴드활동을 통해서 성장하는 모습을 보면서, 신부님의 부활을 확신할 수 있습니다.     교육, 믿음, 사랑의 위대한 힘을 체험할 수 있는 영화. 강추합니다."
10,"광주광역시 CGV 에서는 아직 개봉을 안한거지 미뤄진건지 어떻게 된건지 볼수가 없습니다, 어떻게 된건지 알려주세요"
10,감동에 감동이였습니다..
10,솔직히 다큐멘터리라니까 재미있을줄 몰랐어요. 그냥 잔잔한 내용이겠거니 생각하고 방심하고 왔다가 와.. 처음 시작하자마자 끝날때까지 숨쉴틈 없이 몰입했네요. 사람을 정말 들었다 놨다 웃겼다 울렸다 마지막엔 영화 끝나나 싶더니 별안간 진짜 깜짝놀랐어요. 여운이 남아서 못일어나고 펑펑 울었네요. ㅠㅠ 무슨 다큐멘터리가 반전까지 있나요.. 연출이 진짜.. 이건 찐이에요.
