score,reple
10,박초롱 갠적으로 좋아하는 연옌인데 첫 영화라고 해서 봣는데 생각보다 잼나서 놀랫음 ㅎㅎ
10,진정한 가족의 의미를 느낄 수 있었어요!! 보면서 감동과 재미가 있었고 편안하게 즐길수있는 영화였어요!!
10,이게 현실성이 있는 영화 였고 더불어서 현실 가족이지 않나라고 생각을 해봤고 박초롱 첫영화였는데 연기 가 하늘땅별땅때보다 더 연기가 늘은거 같아요 재밌게 잘 봤습니다.
10,웃겼다가 울렸다가 난리나는 작품ㅋㅋ 영상미 너무 따뜻해서 힐링했다
10,행복하고 사랑스러운 재미
10,역시 .. 예고편보고 아 재미겠다 하고 본 영환데 에이핑크 박초롱님의 연기력 너무 좋았고 ㅠㅠ 감동적인 영화에요 그리고 생각보다 너무 재밌고 만족스러웠던 영화 였습니당 다들 보러 가세요 후회는 안하실듯
10,공짜 영화표 있어서 봤는데 가볍게 보기 좋았으여
10,진짜 오스트가 영화랑 잘 맞고 또 연기는 아직 경력이 많이 부족한 배우 치고는 괜찮은 편이다 솔직히 보면서 울었는데 보고나서 여운이 남는 영화임
10,가볍게 재미잇게봣어용
10,"이야기 전개가 잘 짜여져 있다거나 세련된 구성의 느낌은 없지만, 불량 청소년? 이라고 하긴 그렇고 청소년들 사이에 있을 법한 이야기를 가족적으로 잘 담은것 같고, 무엇보다 박초롱의 연기를 볼수 있어서 좋았다."
10,굿굿 너무재밌고 좋은 영화에요
10,
9,나도 착한아빠가 뭔지를 알것 같아요.. 딸과 아빠가 같이 보면 더 좋겠습니다.^^  이번주 딸과 같이 봐야겠네요...
10,박초롱 이쁘네..
10,"잔잔하면서 감동 있는 영화였어요,.. 배우분들 연기도 좋았고 영화를 보고 나니 마음이 안정되는 느낌 받았어요.가족들이랑 같이 보기도 좋을 것 같아요."
10,가족과 친구의 의미를 알게 해주고 따뜻한 감동이 밀령오네요 힐링영화로 추천합니다
10,제각각 모양은 달라도 결국은 가족이란 이름
10,"평소에 박초롱의 팬이어서 첫영화라길래 기대하고있었는데 연기도 좋고 스토리도 좋아서 깊게 빠져들었던영화 따뜻하고 감동적인 영화. 가족의 소중함을 느끼게해주고, 눈물흘리게 했던 영화 입니다. 에이핑크 박초롱을 떠나 배우박초롱 화이팅!!"
10,
10,처음 영화배우로서 연기한 건데 너무 잘해내서 보기 좋아요
10,잘봤습니다 배우들이 풋풋하고 좋네요 박초롱 배우님의 연기도 좋았습니다
10,스토리가 진부하지않고 따뜻한 힐링영화를 본것 같아서 행복했습니다~♥♥♥♥
10,선한 영향력을 느낄 수 있는 영화!
10,완벽하지 않지만 가족의 의미에대해 고민 해 볼 수 있는 영화
10,
9,가족의 의미를 생각하게 하는 영화. 진짜 아빠 가짜 아빠의 연기가 좋다. 조금 느슨한 스토리의 빈 부분을 영상과 음악이 채워준다.
10,좋은사람과 따뜻한 가족이야기
10,
10,재밌어요 감동도있고 좋네요
10,가벼운 마음으로 힐링하기 딱 좋은 작품
10,극장에 나 혼자 있었어요 괜찬은데 왜 많이 안보지
10,생각보다 개꿀잼인뎅?
10,박초롱 연기 잘한다..
10,잘보고  너무 마음 좋아졌어요 힐링하고 갑니다~~대박기원입니다
10,오랜만에 편하게 영화봤어요 넘 재밌고 좋았습니다!
10,영상미가 넘 좋구 가족의 의미를 다시금 생각하게 하는 감동이 있는 따뜻한 영화이네요~~~ 주말에 가족과 함께 보세요..
10,가족들끼리 다같이 보세요 재미있네요.  의외로 연기 ㄱㅊ네요!!
10,지금 힐링하기 딱 좋은 순수한 영화
10,지금 힐링하기 딱 좋은 순수한 영화
10,초롱언니첫영화축하드려요
10,
10,초롱이 첫영화라서 걱정했는데ㅠ 생각보다 너무재밌었네요 기왕이면 가족 다같이 보시는걸 추천드려용
10,오랜만에 영화관에서 울면서 영화 봤네요 ㅎㅎ 눈물 없이는 볼 수 없는 감동적인 영화입니다 ㅠㅠㅠ
10,이런게 흥행 해야하는데 ㅠㅠㅠㅠ
10,너무재미있어요ㅜㅜㅜ 가족의참사랑을 느끼게해준영화입니다. 박초롱 양 연기 너무이뻐요...
10,"큰 기대는 없이 봤는데 느낌이 좋은 영화였습니다, 연기도 좋고 영상미도 좋고 마음이 따뜻해지는 영화였어요 :)"
10,박초롱양 첫 연기 도전이었음에도 불구하고 너무나 자연스러웠어요!! 스토리도 너무 감동적이었어요 앞으로도 스크린에서 자주 볼 수 있었으면 좋겠어요~^^
10,
10,
10,내용은 그냥 잘 볼만하고 중간과 마지막에 가족끼리 모이는 부분이 좋았어요!!연기도 다들 좋았고 재밌었어요ㅎㅎㅎ
10,우와..화면이 넘 예뻐서 기분좋게 봤네여혹시 여성촬영감독님이  찍으신건지넘 아름다운 화면이  내용과 더불어 생각 많이 날것 같아여훈훈한 가족애 때문에 우리집 가족들도 다시  생각하게 되는 영화였어요아빠역 맡으신 박원상씨 도지한씨 다른 영화에서도 많이 뵙길 바랍니다
8,"평식 할배요, 뒷목은 본인이나 많이 잡으시구요. 애초에 사람들 별 기대 안하는 영화인거 대부분 알고 봤을 텐데 킬링타임용으로는 이정도면 나쁘지 않음"
10,박초롱의 첫영화! 영화자체는 아쉽지만 연기는 나쁘지않네요 앞으로가 기대됩니다 다음 영화도 기대할게요!
10,잔잔하고 따뜻한 영화!!초롱 다예 배우들도 너무 이쁘고 연기도 좋았어요^^
10,너무 현실성있는 영화여서 보기 좋았어요. 오랜만에 보는 영화라 기대했는데 힐링 영화여서 진짜 힐링하고 가요. 요새 학업 스트레스가 이만저만 아니였는데 풀고 가네요 감사합니다
9,뻔한스토리라고 생각했지맘 잔잔하게 감동을 준듯볼만
10,
10,요즘 시대의 가족이 있어야 하는 이유를 생각하게 해 주는 영화!! 추천합니다!!
10,가족에 대한 의미를 되새길수 있는영화초롱초롱한 눈을 가진 초롱이누나의 첫 스크린데뷔작
10,감동을 받아 눈물을 훔쳤습니다
10,보는 내내 공들여서 만든게 느껴지는 영화... 스토리도 짱짱하고 오에스티도 진짜 절절하고 좋았어요
10,
10,
10,진짜 박초롱 김다예 케미미쳤다
10,
10,
10,최고입니다 스크린에서 에이핑크 박초롱님 봐서 너무 좋고요
10,"개봉한 날 봤어요! 스토리도 괜찮고, 재밌어요! 가족과 함께 보는 영화로 추천함!"
10,
10,
10,장면장면이 너무 이뻐요 ~^^
10,영화 보는 내내 아빠 생각났음...다혜 역 맡은 김다예 연기가 제일 좋았다
10,다시보고싶다 기대이상으로 너무 재미있게봤다
10,
10,
10,"심심해서 보러갔는데 너무 재미있다 감동스러운 내용,재미있는 내용등 다 들어가있는영화"
10,코로나시대에 딱 힐링되는 영화! 상영관이 적어서 아쉽네요
10,스토리도 재미있고 가족이 볼 수 있는 영화라서 나름 괜찮기도 하고  요즘 코로나시기에 딱 적절히 볼 수 있는 영화입니다
10,굳 안좋은 얘기들이 많아서 기대별로안했는데 좋았음ㅇㅇ
10,"초롱님 너무 팬이라 개봉하자마자 보게 되었는데, 너무 힐링하고 온 것 같아요. 초롱님 연기 너무 자연스러웠어요! 초롱님 파이팅!"
10,완전 힐링되는 영화였고 울다가 웃다가 하는 영화였습니다! 다시 한 번 보고싶은 영화인 것 같습니다! 배우분들 연기가 너무 좋았고 특히 박초롱님 첫 스크린이라고 하시던데 연기가 자연스럽고 좋았습니다! 그리고 김다예님과 박초롱님 케미가 너무 좋아 보여서 보는 저도 기분이 좋아지는 영화였습니다!
8,초롱이 팬이라 보러 갔던 영화 사실 많은 기대는 안하고 얼굴 보러가야지라는 마음으로 갔는데 생각했던것보다 잔잔한 감성이 좋았다. 연기도 팬심 다 빼고 봐도 잘했다 울먹일때 나도 같이 울컥했고 다른 배우님들 연기도 좋았다 다만 한가지 아쉬웠던 점은 극본이나 내용 스토리가 영화라고 하기에는 아쉬운 점들이 많았다 영상도 중간중간 왜 이렇게 찍었지하는 부분들도 있었어서 그런 점들이 아쉬웠다 가볍게 보기엔 나쁘지않으나 영화같은 느낌은 없었던 영화랄까....
10,처음부터 끝까지 감정이입하면서 봤는데 정말 감동적이였고 올해 본 영화중에 최고였습니다 배우분들 연기도 전부 자연스러웠고 좋았습니다 박초롱씨 영화 연기 처음이라고 들었는데 처음이 맞나 싶을정도로 연기 너무 잘하시고 특히 우실때 정말 저도 가슴 울컥하고 먹먹했네요 영화 재밌게 만들어 주셔서 감사합니다 초롱씨 영화에서 자주 봤으면 좋겠습니다
10,배우분들의 연기가 너무 좋고 스토리도 정말 좋아요
10,"박원상 배우의 연기력, 박초롱 배우의 첫 스크린 데뷔 같지 않은 모습, 김다예 배우의 부드러운 연기 세 박자 모두 좋았습니다. 가족끼리 또는 친구끼리, 아니면 추후에 학교 선생님이 아이들에게 보여줘도 좋을 영화라고 생각됩니다 잘봤습니다!"
10,"감독님 말씀 그대로 MSG 없는 담백한 영화입니다. 연출, 연기, 스토리 거기다 ost까지 다 완벽한 영화라고 생각합니다. ‘가족이 별거야? 함께 있으면 즐겁고 편하면 가족이지’라는 대사가 계속 귀에 맴돌 정도로 요즘같이 바쁜 생활 속 점점 소홀해지는 가족의 중요성을 깨달을 수 있어 좋았습니다. 추천합니다!"
10,청소년의 고민들과 청소년이 격고 있는 문제를 이해할 수 있고 알수있는 영화 무엇보다 눈물포인트가 많은 영화
10,내나이 어느덧 20대후반 취업의 고통에서 몸서리칠때 에이핑크를 알게되었다.믿고 보러간다..
10,연출이 아쉬운 부분이 많지만 볼만합니당
10,
10,
10,"첫주연작인데도 잘해낸 롱배우와 감독님,배우분들,스탭분들 너무 감사합니다 자신있다는 대표님 말처럼 잔잔한 감동이 있는 영화였어요 많은 의미가 담겨있는 영화인만큼 한번씩 꼭봐주셨으면 좋겠습니다"
10,박초롱 때문에 봤는데 생각보다 진짜 스토리도 너무 좋고 배우들 연기도 좋았음. 그리고 진짜 보다가 슬퍼서 울었음. 소소한 슬픔을 느끼고 싶을 때 추천할만한 영화!
10,내용도 재미있었고 초롱의 연기가 돋보였다!!
9,배우들 연기나 이런건 괜찮았는데 연출이랑 내용 스토리가 약간 개연성이 부족해요 그래도 시간킬링용으로 나쁘지는 않습니다
10,박초롱 넘 예뻐요...
10,오랜만에 영화를 봤는데 너무 즐거운 시간이였고 또 보고싶네요 ㅠㅠ. 영화 너무 추천드려요 ~~ 그리고 초롱님 연기 잘하시더라구요 :)
10,"박초롱 배우님의 드라마를 인상 깊게 봤었는데, 이번에도 기대를 저버리지 않는 훌륭한 연기를 볼 수 있었습니다. 끊어지지 않는 감정선 표현이 인상 깊었습니다.연출적인 측면이나 스토리적인 측면에서 어떻게 보면 ‘가출 청소년’에 대한 미화가 있었다는 점이 아쉬웠고, 편집적인 측면에서 감독의 재량이 부족하다고 느꼈습니다.하지만 이러한 단점을 극복할만한 훌륭한 배우들의 연기가 무엇보다도 돋보였습니다."
9,작극적이지 않고 재밌네요.
10,
