score,reple
10,사랑스러운 로맨틱코미디의 진수. 특히 일본인을 몹쓸 종족이라 표현한 브릿지의 어머니가 참 마음에 든다.
9,콜린퍼스 넘 머싯는듯
10,콜린 퍼스의 영국억양은 정말이지 나를 미치게 만든다 ㅜㅜ
9,"작가가 오만과편견1995를 보고 콜린퍼스에게 반해서 적었다고 하더니, 노처녀 현대판 오만과 편견이다! 남주인공 이름도 다아시, 배우도 콜린 퍼스로 똑같다ㅋ 넘조아!!"
10,콜린퍼스 뭔데 잘생기고 난리야 ㅠㅠ 마지막에 코트로 안아주는 장면은 진짜 엉엉 키도크고 연기도잘하고 목소리는 끝장이다 ..
9,정망 사랑스러운 영화!! 다시 봐도 재미있다
10,역시 유명한건 이유가 있었음!! 기대 이상인 영화!! 적당히 현실성도 있고 여자들을 꿈꿀수 있게 해주는 영화!!+_+ 진짜진짜 재밌음!! 코믹요소도 굿굿! 소방서 봉ㅋㅋㅋㅋㅋㅋㅋㅋ아 남자는 역시 마크성격 같은 사람이 진국이지ㅠㅠ 끄아 브리짓 부럽당!
8,콜린퍼스만 보임
9,콜린 퍼스라는 여자들의 완벽한 판타지.
9,영국판 김삼순. 예쁘지도 않고 잘나지도 않은 나에게 나타난 &#39;내모습 그대로&#39;를 좋아해주는 완벽남! 이라는 진부한 스토리지만... (사실 왜 남자가 여자를 좋아하게 됐는지는 아무도 모름...) 한 시대를 풍미할만한 워너비 남친 콜린 퍼스 때문에 9점줌.
9,다시봐도 좋은 영화
8,유명한 르네젤위거가 ALLBYMYSELF부르는 명장면 가끔가면 질척이는 로맨스들이 나오는데 이영화는 그렇지않아서 좋다 캐릭터와 혼연일체된거같은 르네의 연기력에 1점더
10,"공감된다 ;, 적어도 우울하지만은않은,"
10,"뭘더바래, 내 생에 최고의 로맨티코미디닿ㅎㅎ 책도 읽었다곸"
10,휴그랜트 너무 좋아해서 봤는데 매력적인 바람둥이로 나오네요 ㅎㅎ 바람둥이 그 모습도 넘 사랑스럽더라는 ㅎㅎ 르네연기도 좋구요 로맨틱코미디 좋아하는 저에겐 넘 좋았던영화~~
9,사랑스러운 영화임. 즐거운 로맨틱 코미디
10,"i like you very much just as you are. 이 대사를 듣는데 그냥 오장육부가 녹아내리는것같았음.... 보통의 로맨스물과는 다르게 매우 현실에 입각한 로코물이지만, 마크 다아시의 존재로 이 영화의 장르는 SF판타지가 됨^^"
8,내가 나이를 먹어서 그런가? 10년도 더 된 그 옛날에 봤을 때는 그냥 그랬는데 이번에 다시 보니 공감가는 부분도 있고 엔딩도 맘에 들고 아무튼 재미있게 봤음. 오만과 편견을 시대에 맞게 잘 재해석한 웰메이드 로맨틱 코메디임은 분명함.
9,크리스마스때 보고싶은영화
