score,reple
10,"어제보다 더, 내일보다 덜 사랑합니다"
10,남준오빠가 비행이 힘들다고 얘기하면서 아 이렇게 찡찡대면 안되는데 나보다 더 힘든 사람들도 많은데 하면서 채찍질하는 모습 봤을때 많이 속상했어요. 다른 사람이 더 힘들다고 내 아픔이 줄어드는건 아니니까 더 힘들다 찡찡대고 티내도돼요 다들그렇게사는걸요
10,사람냄새나는 my artist
10,화려한 무대 뒤 고민하고 고뇌하는 모습까지도 이렇게 보여줘서 더 고마워요. 언제나 응원해요!  세상에 많은 아미들을 행복하게 하는 선한 영향력만큼 탄이들도 누구보다 행복했으면 좋겠어요.  보라해요!
10,"자기들을 이용하라고, 자기들을 이용해서 너 자신을 사랑하라는 말을 듣자마자 눈물이 핑 돌았다. 어제보다 더, 내일보다 덜, 사랑합니다."
10,금방 끝나는 느낌...지루하지 않았다는거지? 난 좋았다..한가지 아쉬운점은 자막이 있었으면 좋았을것 같다. 잘 안들리는 것 같아서...
10,저 나이때에 저렇게 열심히 사는 친구들이 있을까라는 생각이 들고 내 자신을 돌아보게 되더라
10,사랑해요 방탄 ㅜㅜㅜ  ♥ 오래오래 함께 보라하자내 가수여서 너무나도 뿌듯
10,흑흑 여러분 엔딩크래딧 올라가고 쿠키영상 있어요 꼭 보세요ㅠㅠㅠㅠ
10,먹는 장면 많이 나옵니다 공복에 주의하세요 ... 먹방 더 소울
10,내가 뭐랬어 이길거랬자나
10,팬으로서 무대뒤에서의 가장 솔직한모습을 이렇게라도 볼수있다는게 얼마나 고마운지 모른다. 누군가를통해 위로받고 진심을다해 응원하는걸 한낮 빠순이로 치하해버리는 당신들은 얼마나 열정가득한 삶을사는지 궁금. 나한테는 내일하루의 동기가 되는 고마운영화였다.
10,7명의 소년 개개인이 얼마나 프로페셔널하고 무대를 소중하게 여기는지 긴 투어 기간 동안 컨디션 관리를 위해 얼마나 노력을 하는지 제대로 알 수 있었다. 하루하루 그냥저냥 사는 나를 반성할 수밖에 없다.
10,중간중간에 남준이가 하는 말이 나오는데 의미있고 좋은 말이니 잘 들으면 좋겠습니다
10,방탄 영원히×2 보라해♥
10,방탄소년단 영원히 보라해
10,"꾸밈없고 있는 그대로 모습을 보여줘서 ""이건 연기가 아니라 진짜구나""라는 생각이 들었고 중간중간 말 한마디한마디가 모두 사람들에게 감동을 주는 말들 이어서 감동적인 영화였다"
10,손잡고 바다를 찾아 언제고 달려갑시다 우린 이미 서로의 의지야xD
10,큰 브라운관으로 보니 콘서트장에 와있는 기분이었어요.큰 감동입니다.
10,이걸 본 이상 ... 탈덕은 어렵다
10,이친구들을 볼때마다 가슴한편이 아린건 무슨이유일까..
