score,reple
1,내 평생 이 영화로 쏘련 영화는 더이상 없다.
1,ㅈㄴ재미 없고 지루한데 지들만 심각해서 1시간 이전에 현타 와서 포기함
2,제목이 영화 자체다. 정말 아웃이다.
1,10만년축농증걸린 외계인: 이게다 너희 잘되라고 한거여 알어?머리망가진 인간: 죽인다 키에에에에ㅔㄱ 그러고는 외계인 껴안고 논개한다.외계인들 오니깐 다 죽이다가 새끼외게인보고 너무 귀엽다! 이러고 끝난다. 이게 스토리 전부에요...
1,허위광고내요  ㅠㅠ   내  일생에  개  쓰레기 영화다.후~
1,"어이가 없다. 심지어 미군이 주둔하고 있는데도 공군기로 우리 영공 넘나드는 애들인데, 이런 애들이 만든 영화를 극장에 건단 말야? 너네 공단지역에서 살아봤냐? 러시아 외노자들 깡패처럼 어슬렁거리는 꼴을 볼 수 있어. 게다가 편의점 강도사건 피의자 대부분이 러시안들."
3,정말 오랜만에 지루함을느낀  영화
4,지루함을 방해하는 영화
3,어휴 돈 아까워.. 돈을 그렇게 처들이고 이런 영화를 만드냐
6,그냥  심심풀이 땅콩으로 볼거리기제공 기여
5,스케일 크고 뭔가 있을것 같고 스릴도 느낄만 할때..스토리가 산으로 가바렸다..^&^
9,밀덕들은 좋아할 영화! 장비들도 멋있고 연출도 멋있고. 개인적으로 엔딩은 좀 별로였긴 했는데 과정은 재밌게 봤네요. 그리고 무조건 러시아 영화라고 깎아내리고 비난하는 국뽕쉑들 많이 보이는데요... 앞으로는 그런 못 배운 티 나는 편협한 시각에서 벗어나 좀 더 열린 시각으로 세상을 살아나갔으면 하는 안타까운 심정입니다.
1,영화 참 재미없다. 러시아는 영화 산업 접고 그돈으로 불우이웃 돕기나 해라
2,낚엿음 ㅠㅠ근데 마지막 애들만 살려두고 어쩌자는건지
5,상영시간 60%정도는 잔것 같습니다. 정말 이렇게 피아식별도 안되고 줄거리 일관성 없는 영화 오랫만. 프로메테우스 흉내 내려고 한것 같은데 발꿈치도 못따라감
1,영화를 50분이나 컷하고 뭘 보라는건지..
2,중반부 아파트에서의 액션말고는 딱히...
5,스케일만 거창할 뿐
1,아웃은 아웃이다... 영화관에서 도중에 강제 아웃당함
10,와나 진짜 뻥안치고 처음 15분밖에 안봤는데 저 따위가 이런 대단한 명작을 볼 수 있는가 하는 깊은 생각을 하게 되네요. 이건 아무나 못 봅니다.
2,군인들 이랑 같이 있는 여자 둘 너무 최악이다.   생각보다 내용도 허술함
3,다 어설프고 스토리도 웃김
1,개재미없음 내용 답답하고 인간들이 너무 무식함 보면서 걍 인간 다 OO라고 빌었음
1,심심해서 미쳐버릴 것 같을 때 추천
7,러시아 영화를 새롭게 알게됐다
10,
6,반도보다 나은 영화
9,그냥저냥 sf일거라 생각했는데 세계관도 흥미롭고 신선하네요!
10,
