score,reple
10,"한 번 보고 나서는 여운이 오랫동안 남아서 한동안 집에 돌아와 침대에 누워 계속 이 영화 생각만 했다. 이상하게 계속 끌려서 한 번만 더 봐볼까, 했던게 결국에는 지금까지 도합 다섯 번을 보게 되었다. 말하자면 한 번에 이해하기 힘든 영화이고 취향을 좀 타는 영화이다. 하지만 거꾸로 생각하면 이 영화의 메세지를 깨닫게 될 때까지 계속 보고싶어지는 영화이기도 하다. 이 영화가 비디오 테이프로 있었다면 나는 테이프가 엉키고 끊어질 때까지 계속 봤을지도 모른다. 여름에 어울리는 영화이긴 하지만 겨울 바다처럼 하염없이 볼 수 있는 영화기도 했다.솔직히 영화 배급사가 홍보를 잘못했다고 생각한다. 허위 광고 아닐까하는 생각이 들 정도이다. 블루아워는 굳이 말하자면 &#39;힐링&#39;이라는 타이틀을 붙일 수도 있겠지만 &#39;리틀 포레스트&#39; 같이 양지에서 해바라기 하듯이 마음을 다독여주는 영화가 아니다. 본다면 몇 번쯤은 불쾌한 감정이 들거라고 알아둬야 영화를 보며 혼란스럽지 않을 것 같다. 비유하자면 내가 본 &#39;블루아워&#39;는 오히려 비가 퍼붓는 여름날에 버스정류장에 서 있을 때, 곁에 구멍이 살짝 난 우산을 발견한 느낌에 가깝다고 생각한다. 번아웃 상태인 &#39;스나다&#39;는 &#39;기요&#39;와 함께 싫어하던 고향에서 자기가 삶에 지친 이유들을 발견하고 불쾌한 상황에 맞닥뜨리지만, 동시에 &#39;그럼에도&#39; 살아가야 할 이유들을 찾기도 한다. 마음이 깨진 상태에서 그 조각들을 모아 이어 붙이고, 굳히고, 결국에는 성장하는 이야기가 담겨있는 것이 &#39;블루아워&#39;라는 영화이다. 그리고 이를 보며 공감하고, 함께 일어설 용기를 넌지시 던져주는 것이 블루아워의 힐링 방식이고. 마지막으로 나오는 노래를 함께 듣고 나오면 나도 모르게 하늘이 온통 파란, 좋은 아침이라하기에도 애매하고 잘 자라고 하기에도 애매한 새벽의 &#39;블루아워&#39;에 달리고 싶은 기분이 든다."
6,포스터/예고편 같은 내용아닌데 왜 이런식으로 마케팅한건지... 그냥 원래 느낌 대로 했었어도 봤을것 같은데 일단 영화를 보고 나서 청량힐링로드무비에 낚인 분노가 더 컸습니다...ㅠ ㅠ 그와 별개로 영화는 호불호가 많이 갈릴것 같습니다. 블루아워라는 제목보다 블루아워에서 날려버려 란 원제목이 더 영화 내용과 알맞는것 같아요. 서사없이 그냥 물흐르듯이 내용이 흘러가는데 점점 잠겨가는 끝없는 느낌은 압도적이었습니다..
10,힐링영화 기대하지마셈음울하고 지루한 감성 조금 표현이 덜된듯 모호한 부분이 있지만 그것도 조앗슴
1,정말 힐링영화였다면 주말에 반도를 꺾었을 거야. 지금은 그런 영화가 필요하거든. 이 영화 마케터는 관객들에게 미안해 해야해. 그러면 안돼. 영화를 속여서 팔다니...
2,너무 난해했다.. 일본식 특유의 오바스러운 연기도 오글거리는거에 한몫했고...보는 내내 나갈까..가족애를 그리려고했던건지 대체 뭘 보여주려고 했던건지..힐링무비는 절대 아니라는것만 알아두길. 일본 특유의 음산함과 어울리지않는 음악들. 알수없는 장면들과 특유의 연기들..일본영화가 원래 이렇지 라고 하기엔 너무도 난해하고 눈쌀을 찌푸리게 만들었다. VIP 멤버십으로 봤는데..돈아까워 죽는줄..
2,90분동안 불편하고 찝찝하기만한 그런영화 .. 뭘말하고싶은건지도 모르겠고 장르가 공포영화였나? 하고 간간히 생각이드네    난해한건지 이상한건지 모르겠는데 코로나때문인가 영화관에 상영할게 이런거밖에없는건가
1,하ㅠ 정말ㅠㅠ 백번 양보해도 별 하나도 아깝다
1,40넘게 살면서 처음으로 관람도중에 포기하고 나왔습니다.
1,첫 장면부터 아...싶더라고요 일단 힐링영화는 절대 아님그리고 끝까지 찝찝함 영화 내용도 잘 이해가 안 돼요...이거 보느니 강동원 보러 반도가세요! 최악과 차악 중에 차악이ㅠㅠ
10,밤인지 아침인지 모를 푸른시간. 모두가 잠든 외로움속에서만 위로를 얻는 당신에게.
5,다들 동수 한명씩은 데리고 다니잔아요
1,영점 없나요? 완전 감동도 재미도 없어요
10,애써 밝은 척하지 않아도 살아지길
8,한국에서 마케팅을 힐링 영화로 해서 욕을 먹는 듯.. 영화 자체는 괜찮음. 그러나 일본 영화는 일본 영화인지라 특유의 연출이나 연기가 마음에 들지 않는 사람은 보기 힘들 수 있음... 개인적으로는 올해 본 상영 영화 중 괜찮은 편이었다
10,그냥 가볍게 보러 갔는데 의외로 감성적이고 깊이 있었어요. 힐링이랑 감동 둘다 받고 왔어요.
10,"심은경 배우 연기가 정말 대단하네요, 배우 연기와 연출이 인상적인 영화였습니다. 조금 지친 분들께 많은 생각과 공감을 불러일으킬 영화예요"
10,영화의 다양성 측면에서 이런영화가 많이 개봉했으면 좋겠습니다! 나를 돌아볼수 있는 시간이였어요ㅎㅎ저는 잼있게 봤습니다
2,평소에 일본 영화도 많이 보는편이고 힐링 영화라 해서 개봉하자마자 예매해서 봤는데뭐라 그래야되지 뭔가 영화에 메세지가 있다는 거는 알겠는데 표현을 제대로 못해서 이상하고 찝찝한 영화였어요 초반부터 너무 시끄러워서  특히 카호 엄마 목소리 커서 듣기 싫었어요ㅠ 기대했던 심은경의 일본어 연기는... 발음이 너무 어색하고 캐릭터가 스며들지 않아서 원래는 연기 잘하는 배운데 너무 아쉬웠어요.. 솔직히 말하면 영화관에서 보면 돈 아까울 영화에요 왜 힐링 영화라고 써놨는지 1도 이해할 수 없네요
2,"감독이 뭔 얘길 하려는건지 도대체 모르겠는 영화. 연기도 왜 이렇게 다들 산만하고,오바스러운지. 특히 연기 곧잘 한다는 심은경을 시도때도 없이 웃음을 흘리는 얼치기 푼수를 만들어버림.  이런 것들이 아무리 감독의 의도라해도, 최소한 끝날 때쯤은 의도를 좀 풀어줘서 1%정도는 납득이 가게 해줘야하지 않나? 내가 꽉막힌 멍충이도 아닌데..결론, 감독이 완전 히로도 아니면 자뻑 수준."
5,"감독의 머릿속에서는 이미 정리가 다 되었을 블루아워. 하지만 관객에게까지 그 시간이 다가오기까지는 아직 오랜시간이 걸릴 듯 하다. 연출자의 꿈에서는 스릴 있고 재미있고 감동까지 느꼈던 꿈이었겠지만 꿈 이야기를 듣는 관객은 생각처럼 그 이야기가 재미있게 다가오지 않기도 한다. &lt;어느가족&gt;제작진이라는 마케팅은 너무 과분한 마케팅이 아닐까? 신선한건 배우 심은경의 놀라운 일본연기 정도. 그녀(감독)가 얼마나 기구한 삶을 살았을지 상상이 어려울 정도로 기구한 영화다. 근데 나이가 조금 들고보니 무슨얘기를 하고 싶었는지 알긴 알겠다. 아직 방법은 서툴뿐. 이 영화를 배급한 이유는 음... 그냥 지금 시국에 볼만한 영화가 없고 한국에서는 제작을 꺼리는 장르이며, 심지어 일본에서 여우주연상을 받은 심은경이 나온다...이정도면 어느정도 흥행하지 않을까? 라는 생각이 아닐까 조심스레 짐작해보며. 일본영화의 감성을 오랫동안 지켜본 한 사람으로써 아쉬운 부분이 너무 많지만...&#39;애매한 노래를 흥얼거린다&#39; 영화의 엔딩크레딧에 반복적으로 흘러나오는 가사처럼 이미 연출자 자신도 자신의 영화를 파악하고 있었던건 아닐까 싶어 말을 아껴본다. 다음 영화에는 조금 더 친절해주길 바라며."
1,정말 너무 끔찍..아무 의미 없는 장면들의 나열이고 전체적으로 너무 우울하고 나름 마지막에 반전을 넣은거같은데 하나도 놀랍지 않고 그냥 황당함..그리고 일본 특유의 너무 과한연기 진짜 보기 힘들었다ㅠㅠㅠㅠ돈이 너무 아까워..포스터랑 예고편이 사기친거같음 절대 보지 마세요
4,처음 : 오 흥미진진초중 : 루즈해지네중중 : ???? 중후 : 뭐냐..?결말 : 왜 웃냐...? 도대체 말하고 싶은게 뭐임? 심은경 캐릭터는 왜 필요한거?
