score,reple
10,오은영 선생님이 절실했던 영화
7,"자유라는 선의로 포장되어 있으나 실상은 한정된 선택권속에 그들이 제공하는 의식주를 소비하며 그들의 감시체제 하에, 그들의 기득권을 유지해주기 위해 끊임없이 희생되는 소시민들의 고단한 인생여정."
10,생각을 많이 할 수 있는 영화입니다. 씁쓸해지면서도 공감되고 소름끼치기도 해요.
7,보금자리같은 미로에 영원히 구속된 가족이라는 사슬
9,"개인적으로 제목처럼 외계인의 실험장 같은 느낌이 듭니다, 인류를 모방한 생물로 인류의 생태를 관찰.단순히 집을 보러 온 사람들은 운이 없는 거겠죠 인간이 아무 곤충을 잡아서 관찰하는 것처럼..."
8,유오성 해외진출작 ㅇㅇ
10,큰돈들이지 않고 큰 CG효과 없이 이렇게 현실적인 공포를 만들수 있는 천조국이 부럽다..
10,그냥 미스터리 좋아하는 사람은 평점 10점짜리임
8,다시는 들을 수 없을 줄 알았던 음악과 남자의 마지막 고백은 비극적인 결말에 한줄기 희망이었다. 영화는 악마의 메세지가 겻들어있지만 결국 우리가 한가지 깨달을 수 있는건 냄새를 맡고 맛을 느끼고 음악을 듣고 사랑을 하고 아이를 낳아 기르는 인간의 삶은 그 자체로 무의미하지 않았다는 것이다. 단지 우리가 그 소중함을 잊고 살뿐.이 영화는 현대인을 잔인하게 벌하고 비판하는 한편의 풍자극 이었다.
6,설정은 독특하나 영화보다가 내가 돌겠군..^&^
8,멍때리다가 끝나는영화
10,몰입해서 잘봤는데 왜 평점이 낮죠?
6,꼬마새끼 너무 소름끼쳐....
10,기괴함에 마그리트를 녹인 영화 기괴한 현실
8,와 진짜 기분나쁘다 몰입도 높음 추천
9,"그렇게 (부)는 탈출구를 향에 몰두하면서 가족과 멀어지고 (모)는 자식의 세상을 위해 본인을 지워간다. 그, 가족과 집 한채를 위해 인생을 송두리째 갈아넣는 모순을 알고 있지만 밤마다 서로를 위로하며 몸을 뒤섞으며 더욱더 깊은 그늘을 드리운다. 직관적이고 완벽한 미장센과 연출 연기로 메세지를 완성하다."
