score,reple
10,전주영화제에서 놓쳐서 개봉만 기다렸는데 독립영화에서는 보기 힘든 연출과 연기였다. 박수를
1,진짜평점보고 낚였네... 첨부터끝까지지루하다
2,평점보고 봤다가 완전 낚시당했네진짜 개재미없어요별1점도 아깝
10,벼락 끝 청춘의 투박하지만 필사적인 날개짓을 그대로 보여준다.
1,몬이런개똥같은..ㅋㅋㅋ
5,이정도 독립영화 흔하진않지
1,배우가 연기를잘하는게 아니라 평점 알바들이 더 연기를 잘하네
10,거친 느낌을 그대로 담아낸듯한 느낌! 간만에 새로운 영화를 본 기분 ㅎㅎ
10,마약과 관련돼서 자극적인 내용인 줄 알았는데 보는 내내 재밌는 장면과 연출이 이어져서 볼만합니다 탈북민의 다른 환경에서 살아가는데 답답함과 양아치의 환경도 이해하게 되는 영화여서 10대 20대들이 이 영화를 보고 영화처럼 비행할 수 있길 바랍니다.
1,평점주작오지네  ..안본눈삽니다;;
9,"배우들의 데뷔작, 감독의 입봉작인 이런 작품에 1점을 주는 당신들의 인생은 몇점입니까. 고생하셨습니다 승승장구하시길."
1,배우들 연기는 좋았지만 개인적으로 영화의 내용은 이유없는 자기 연민만이 가득해서 보기 불편했다 썩은 날개로 날기를 바라나 라는 평에 동감한다
10,그냥 생각없이 재밌게 볼 수 있는 영화
10,감독님이 너무 귀여워요
10,"예고편을 보고는 어두운 범죄물 영화라고 생각했는데, 인간의 정이 범죄를 이길수 있다는 느낌을 받은 영화였습니다 결코 어둡지많은 영화였습니다. 중간중간 빵터지는 장면으로 숨을 고를수 있었습니다.  다시한번 음미하면서 보고싶은 영화"
5,날개짓부터 배워야 하늘을 나는법.
6,마약은 사회의 기생충
10,좋아요.청주에서 찍어서 더좋구요.
7,"꿈만꾸고 살아가는 청년들에게, 좌절이 무엇인지 , 가늠케하는영화"
8,빨간 파카 연기가 리얼하게 정말 좋았다마무리는 좀 허무
9,비행하는 사람들 가운데 나는 어디에 있는가?
10,시작부터 끝까지 심장이 두근거린다. 꼭 봐야할 영화!
6,거칠고 투박한 영화입니다.
8,이건은 비행  영화 진짜 대박
10,헐 우리나라 영화 중에 평점 10점이 있다니 놀라서 10점 더 드립니데이
1,참 잘 만든 영화 정말 잘 만든 영화
7,괜찮았습니다. 비어있는 듯 차있는.
8,두 주인공의 외로움이 전해지는 연기가 인상 깊었고 공감할 수 있었다. 좋은 영화였고 추천하고 싶다.
10,차지현이라는 신인 배우의 발견.선과 악이 공존하는 페이스에내부에서 발산되는 에너지에 몰입할 수 밖에 없었다
10,마약 소재라 자극적인 내용이라고만 생각했는데 생각하지 못한 메세지가 느껴졌음. 근래 들어 봤던 독립영화 중 최고였음
9,신인배우라고는 믿을수 없는 연기력과 그동안 보지 못했던 예측불허 스토리!
10,감독님 화이팅 입니다 항상 건승하세요
10,영화내내 스크린에 빠져듭니다. 그리고 자리를 쉽게 일어설수 없는 영화 입니다.20대 젊은이들이 다듬어지지 않은 연기 영상이 압권 입니다.
8,"마치 한 편의 다큐멘터리를 본 느낌을 받았다. 최근 쏟아져나오는 그저그런류의 독립영화들과 차별화된 느낌도 신선했고, 처음접하는 낯선 두 주연배우의 연기도 현실감 넘치게 보여져서 좋았다. 다소 무겁고, 아이러니한 주제를 관통하지만 이 시간을 지나고 있는 남녀노소에게 질문을 던지는 영화다. &#34;당신은 어째서 그렇게 무언가에 쫒기고 계신가요?&#34;"
9,두 배우와 감독분 모두 높이 비행하시길 바랍니다.
10,전주영화제에서도 보고 이번에 개봉한대서 기뻤는데!! 우리들의 이야기를 담은 듯한 영화다
10,숨막힌다는게 이런거구나 싶었음.. 보고 나와서도 계속 생각나는 영화였다
10,생각없이봤다가생각하게만드는영화
8,날것 그대로의 젊음을 닮아낸듯
10,"다듬어지지 않은 영상, 연기, 연출 모두가 우리의 그때를 생생하게 담아낸 듯 아프고 쓰리다. 하지만 그래서 더욱 진실되고 애절하게 전달된다. 최근에는 찾아보기 힘들었던 신선한 발견. 강추!"
10,독립영화인줄 모르고 봤는데 생각보다 깊게 빠져 본 영화입니다. 등장인물의 연기가 대단하다는 생각이 들었습니다.
7,독립영화 치고는 장르적이고 인샆 깊은 장면들이 있었다. 영상이나 연기가 주류적이지 않아서 나름 신선하게 볼 만했던 영화.
1,재미있을거같아 봤는데 시간가라 하고 본영화 재미업없어요
1,독립영화감독들 친북성향 심하다더니... 선거때 되니까 나오네.
10,
10,재포스타일!          아카라카차
10,재밌엇어요
8,폰부스이후로 저예산치곤 완성도가 높다
5,영화 내내 느껴지던 불안한 마음은 이내 다른 의미의 안락함으로
7,"남과 북, 바닥인생의 위험한 비행"
10,냉정한현실을 말하는영화연출 연기 보기가좋네요
