score,reple
10,여름에는 애니들 그래도 개봉 많이하는거같아서 다행이예요. 빅샤크3를 시작으로 슬슬 하나씩 도전해봐야겠어요
8,감동적이네요~ 어른이 봐도 잼나요^^  가족영화로 강추!!!
9,"아이,첫영화였는데 헐 벌써 세번째시리즈라니...앞에 1,2편도 찾아봐야겠네요. 3살짜리가 보기에도 좋았어요. 엄청 집중하고 잘 보내요^^"
10,빅샤크1때부터 생각한건데 캐릭터 디자인 너무 잘 나왔어요 젤리몬스터도 너무 귀여워요ㅋㅋ 어른들도 생각보다 볼만한 만화영화 애들한텐 스토리랑 교훈도 잘 전달해준듯
10,"6살. 9살 남매, 내내 마스크쓰고 보는데도 투정도 안하고 잘봤어요. 극장안이 시원해서 그런지 괜찮더라고요.^^"
10,아이와 함께 오랜만에 극장에서 본 영화인데 기대만큼이나 재미있네요. 그동안 극장에 통 못갔었는데 마스크 잘 챙기고 안전하게 관람했네요~
10,어쩌다 애들 따라 본 영환데 어른인 제가 봐도 재밌네요
10,"애들이 생각보다 많아서 깜짝놀랐어요, ㅎ. 다들 얼마나 기다렸을까요? ㅜㅜ 신나게 잼나게봐서 너무 뿌듯했네요!"
10,반도나 강철비보러갈바엔 걍 이거 봐야겠다 ㅎㅎ
10,캐릭터들이 너무 귀여웠어요 ㅋㅋ 재밌게 잘 봤습니다.
10,"빅샤크 1,2를 애들이 너무 재밌게 봤었고, 좋아해서 3를 무척이나 기다렸었다. 멀리 휴가도 가질 못해서 잘됐다 싶어서 영화 개봉하자마자 아이들 델고 고고씽~~역시나 기대 이상으로 재밌고 영상이 너무 예뻐서 애들이 너무 좋아했다.여름에 애들과 함께 보기 시원하고 신나는 영화다. 영화관서 아이들과 휴가 나들이 하기 딱 좋은 영화. 강추합니다."
10,"1편보고 2편, 3편 다 봄!  점점 재밌어지는 스토리. 코로나로 짜증나는 여름, 아이들에게 청량음료같이 짜릿한 즐거움이 될듯, 어른인 저도 재밌던데요."
10,코로나로 영화관나들이는  오랫만인데 우리집 꼬맹이들 지난번 빅샤크2를 너무 재미있어해서 마스크 단단히 쓰고 갔는데 너무 재미있어해서 나도 덩달아 기분업
10,방학이라 보러왔는데 사람 많아요. 조심만하면 오히려 바닷가보다 안전할거 같아요
8,극장에 오랜만에 갔는데 다들 애데리고 뛰쳐나온 엄마들 엄청많네요. ㅋ ㅋ 그래도 모두 마스크잘쓰고 띄어앉고. 칭찬해요~
10,아이와함께봤어요 젤리몬스터귀엽네요..씨리즈중3편을 울아이는젤좋아라하네요. 다음시리즈기대해두될까요ㅎ
10,내용도 아이들이 이해하기쉽고 재밌었어요
8,아이들이 재미있게 봤습니다.
8,7살 아들 데리고 봤어요. 2편이 조금 더 재밌었던것 긑아요
10,5살 아가랑 재미있게 봤어요아가도 저도 초집중 하고 봤네요재밌고 감동이였어요ㅋㅋ
10,애들이 재미있게 느껴지면 최고인거죠!
8,잘봤어요 아이가좋아했어요
8,스토리 괜찮고 아이도 재미있어 했어요 ㅋ
10,오랜만에.행복한시간 보냈어여^^★
10,2020 여름 영화 볼건 이거 뿐
10,5살 아이가 잼나게 봤어요~~~^^
10,폭우를 뚫고 가서 본 영환데 다행히 아이가 빅샤크시리즈중 제일 재미있다네요 ㅋ  노래도 좋아요~
9,1.2.3편 정주행 했어요...이건 성인이봐도 재미있게 볼수 있어요..영상이 너무이뻐요 캐릭터도 너무이쁘고
8,5살 아이랑 보러갔는데 엄청 집중해서 잘 보더라구요ㅎㅎ
10,내용을 떠나 아이 생애 첫 영화였어요... 너무 행복한 시간이었습니다....
9,"별 기대없이 애들때문에 봤는데 의외로 스토리도 탄탄하고, 캐릭터도 엄청 귀여워서 지루하지 않게 봤습니다. 10점 만점에 9점"
10,
10,코로나  땜에  6개월만에  아이랑  갔는데요인터넷으로  예매하고 차에서  기다리다가시간되서  팝콘 사고  바로  들어갔어요두팀만  있어서 조용히   여유롭게  잘  보고  왔어요근데  제목이  왜 빅샤크인지  ㅋㅋ6살  아들은 재밌다고  웃으면서  잘보고  왔어요
10,강철비 반도보다 억배로 잘만든 영화
10,배우들의 연기가 일품이고 감동과 즐거움까지... 잘보고갑니다
10,아이와 1편부터 봤는데 3편 역시나 너무 재미있었어요^^ 귀여운 젤리몬스터와감동적인부분들까지 !!빅샤크3재미있게잘봤습니다~^^
10,추천합니다. 10자.
8,아이가 아주 재미있게 보았네요
6,볼게 없어갔는데 기대안하고 봐서 그런지 생각보다 볼만함
8,어린아이들에겐 큰 흥미와 재미가 있는 영화에요^^
8,다섯살 보기 좋앗어요!! ㅎㅎㅎ
9,5살아이와 재밌게 보고 옴
10,5살 아이의 첫 영화관 영화였는데 끝까지 집중하면 재밌게 잘 보던영화였네요 ^^
7,"5살,8살 아이들과 같이 봤는데 애들도 재미있어하고 저두 재미있게 봤습니다."
8,아이랑함께보기 좋았어요. 집중해서 잘 보고왔어요
10,너무 재미있어요 오랜만에 극장가서 너무 좋아서 더 재밌었나봐요
10,진짜진짜  재미있는 영화 봤어요
8,아이뿐만이 아니라 저한테도 재밌고 감동적이었네요~^^중간에 조금 지루할뻔했지만 ost도 아이들한테 흥미롭게 들렸던거 같고 무엇보다 저의 아들이 재밌었다면서 흥얼거리네요ㅋㅋ캐릭터들도 귀엽네요모처럼만에  즐거웠어요~^^
10,아이가 샤크나온다고해서 좋아했어요!^^캐릭터들이다귀엽고 ost도좋네여!
8,꾸꾸 중국 영화에 자주 나오는 아기요괴 같아요ㅜ30개월 아들은 너무 재밌게 보더라구요
9,아이들과 재밌게 봤어요~ 올해 짧은 여름방학때 꼭 보시라고 추천합니다^^
8,생각보다 재밌었어요~
10,딸들이랑봤는데 재밌었어요나름 감동도있구요..
10,아이들이 너무재미있어해요
10,제가 본 모든 영화중에 가장 명작이네요...너무 재밌고요 보다 울었습니다 최고에요 최고!
8,"4살,6살아이들이 또보고싶다고 재밌다고했어요~옆쪽앉은아이는 재미없다고 하는데 6살이후로는 살짝재미없어할수 있을거같네요"
10,너무좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아좋아
10,올해로 만 4살 되는 박세훈입니다배우들의 연기와 지루하지 않은 스토리 전개가 마음에 들었습니다
10,귀여운 젤리몬스터와 바닷속 친구들을 보여주는 아릅다운 바닷속  풍경이 너무 좋다 선입견과 오해속에서도 꼬마잠수함 올리와의 우정도 정말 감동적이었다 물론 아이도 너무 재미있어하고  친구들 이제  친절하게  대해주겠다 다짐까지 할 정도로^^흐믓하고 만족한 영화 였다  주말 나들이로 강추한다
4,스토리가 좀 엉성해요~ 중간쯤은 너무 지루해서 7살 아이도 딴 짓 하더라구요~ 유아가 보기 적당한 듯해요~ 젤리괴물이 좀 귀여운 것 빼곤 별루 볼게 없어용~
1,영화는 재밌었는데30대 40대 아줌마들이 데리고 온 애들이 너무 시끄러워서 별로네요. 3040 아줌마들 극혐.
6,
6,영상미가 좋아요 그외는..걍 아이들 수준에 맞춰져있음.
8,빅샤크는 별로 나오지 않아서 아쉽지만... 아기 잠수함 올리와 젤리 몬스터 꾸꾸의 모험과 우정이 보기 좋네요... 바다에 못 가서 아쉬운데 빅샤크 보면서 시원한 바닷속을 보면서 대리만족합니다~
6,초등형님들은 시시할수 있어요. 스토리 전개가 5.6세가 즐겁게 볼 내용이 다 싶었는데 후반부에 만든 무기로 레이저 건으로 쏘아대고 실험한다고 가둬서 에너지 뽑아내는 장면이 그리 좋아보이진 않네요. 빅샤크1.2버전이 스토리가 지루하고 많이 늘어지는데 그것보단 낫습니다.
