score,reple
10,송강호는 왕이고싶었고 유아인은 사람이고싶었다.
10,"송강호 유아인은 물론 조연,아역할 것없이 연기 구멍이 없는 영화"
8,여러분 조기교육이 이렇게 무섭습니다.
10,오랜만에 잘빠진 웰메이드 사극한편. 그리고 믿고보는 송강호 유아인!
10,"""아비의 마음을 보았나이다."" 그 장면 너무 찡했어요ㅠㅠ"
7,유아인 연기가 표값응 다했다
10,배우들 연기 최고!!!! 먹먹해지는 영화였어요 추석때 가족끼리 보면 좋을듯!
9,소간지 부채춤 지렸다..
10,송강호 유아인 만으로도 볼만한가치가 있는영화.
8,일단 송강호씨 연기는 두말하면 잔소리죠. 유아인씨의 명연기가 정말 압권이었구요. 뭐랄까 좀 아쉽다면 영조의 역사를 좀 알아야 더 재밌었달까요. 설명이 부족했던 느낌이네요. 다쓰려니 넘 길고 두분 연기가 정말 예술입니다.
10,너무 기대했던 영화라 개봉하자마자 봤습니다. 한마디로 말씀드리자면 기대이상입니다. 볼까 말까 고민하고 있다면 망설이지말고 꼭 보시면 후회 안하는 영화 입니다. 여운이 가시질 않습니다.  배우분들 연기 아주 최고입니다. 두번 세번 볼 수 있는 영화.
6,질질끄는 라스트가 아쉽다.소지섭이 등장하면서부터 깔끔한 마무리를 기대했는데 다소 징그러운 분장의 문근영과 그앞에서 춤추는 소지섭의 모습은 엄지척이었던 영화를 엄지축..으로 만든다.
4,소지섭 등장에서 멈췄어야 했다 ㅡㅡ
10,현대의 부모자식과의 관계와 250년전 이야기이지만 지금살고있는 우리와도 별반다르지않다  이영화는 보고나서의 여운이 더크다 아버지와아들을 연기한 송강호 유아인!  그리고 그어떤 기교도 섞이지않은 무채색같은 이영화 정말 감동적이다  두번세번봐야할듯
9,내가 이런사극영화를 안좋아해서근가 약간지루한게 없지않아있었지만 송강호 유아인의 연기는 정말좋았습니다. 특히 유아인 사도세자 그 완전체였어요. 전체적으로 괜찮네요
10,여운이 진하게 남는 사극. 두 대배우의 연기를 따라가다보면 어느새 눈물이 주르륵 ㅠㅠ 온몸 다 바쳐 연기해주신 유아인 송강호 배우께 감사드려요.
10,너무 보고싶어서 조조로 보고 나왔어요.. 아 최고 진짜 최고 ㅜㅜ 계속 몰입해서 봤어요. 연기야 원래 믿고 보는 배우들이지만 진짜 쩔어요 ㄷㄷㄷ 추석때 엄마아빠 모시고 또 볼거긔!
10,사람이 먼저 이지 예법이 먼저입니까!!!! 10점 줍니다 시나리오 구성 촬영기법 다 특출나자 않아다고 절삭해도 연기보는 재미가 장난 아니었습니다 다들 감정선 잡는게 기가 막힙니다 아....마지막에 소지섭 춤추는 연기마저 여운이...
10,유아인과 송강호의 명품연기 gooood명대사 명연기 최근본 영화중 단연 쵝오!!
10,"최고의 영화였다. 현시대의 아버지와 아들이 꼭 보기를 바란다. 왕과 세자도 결국은 아버지와 아들, 따뜻한 말한마디와 사랑이 필요했을뿐인데..송강호와 유아인 이보다더 완벽한 조화가 있었을까? 이들에게 찬사를 보내고 싶다. 당신들은 정말 최고의 배우!!"
10,내가 본 어떤 영화보다도 무거운 영화였다.소재도 무겁지만 배우들의 감정이 소름끼치게 전해져서 더 몰입하고 그 감정을 느끼게 되는 영화. 어린 세자손의 감정연기와 유아인의 베테랑과는 또 다른 모습. 송강호의 마지막 눈물은 같이 울게 만들었다. 최고다.
10,와 정말 이건 유아인을 위한 유아인에 의한 유아인의 영화에요 진짜 반했어요 손수건도 반드시 준비하시길ㅠㅠ
9,"뒤주에 갇혀 있던 아들의 끊어진 숨, 멈춘 맥박을 아비된 이가 확인한다. 아들을 위해 책을 쓰던 그 손으로 아들의 죽음을 확인한다. 그 끝을 확인한 순간, 아비는 울고 왕은 안도한다. 왕은 안도하고 아비는 운다. 오랜만에 두 번 본 영화."
10,12시 땡치고 바로 등록했다고 다 알바라는건 뭐지..ㅎㅎ 시사회로 보고왔는데 개봉후 평점 등록하려고 올린거지. 시사회때 진짜 재밋게 봤어요!! 유아인 베테랑보다 연기 더 잘하는것같고 송강호는 말할 필요도없음... 짱
10,사도세자는 조선의 역사상 가장 비참한 세자이며 왕이 될 수 있었던 사람이다.
7,지금까지 나온 사도세자 이야기 중 가장 사초에 충실한 영화
