score,reple
10,아슬아슬한 사랑과 위태로운 관계를 진솔하고 풋풋하게 그려낸 영화. 영화가 끝난후에도 아련하게 남네요.
10,배소은 누나 완전 사랑스럽다 그리고 연기자들이 아역까지도 연기진짜 좋다 진심으로 곡성보다 몰입하고 봤다
10,감독님 감성이 잘 묻어나는 작품같아서 좋았어요
10,그래 사랑이 죄는 아니지...
10,이성적이지 않을 나이...공감된다
7,배소은 매력 쩝니다. 나 같아도 사랑에 빠질 듯.
7,공기에서 느껴지는 미묘한 감정 연출이 압권!
9,배소은씨의 감정연기가 아주 좋은 영화입니다. 좋아하는 감정을 숨길 수 없지만 섭불리 다가 갈 수 없어 하는 그 미묘한 연기...기억에 남네요.
9,불편하면서도 특별한 사랑이지만 또 결국 그냥 사랑이라고 이야기하는 것 같습니다 :-) 예쁜 영화네욥!!!
10,미국대장도 자리가 없고 곡성도 자리가 없어서 보게 됐는데 생각보다 굿!!
10,기대안하고 보다 한방먹은 영화!!
9,"정말 냉정하게 .. 근친이라는 주제가 좀역겹게 다가왔는데 촬영기법과 스토리 전개에 정말 감탄하였습니다.. 저예산 영화라는생각이 안들정도로 탄탄하게 만드셨습니다 , 배우분들연기와 감독에 박수를 보내드리고싶네요."
7,마음은 이해한다만 그래도 불편한 영화.... 사돈의 팔촌이었으면 정말 좋겠다. 정말로....
8,"설렘이 금기보다 위험하게 다가오는 건, 그만큼 치명적 매력을 내뿜는 배소은이란 배우 때문"
8,배소은인가? 어디서 본것같은데
9,잔잔하면서도 부드러운 분위기가 영화의 내용을 돋보이게 해준것 같아 좋았습니다.이런 영화가 800만원 정도로 만들어졌다는게 놀랍네요
10,사랑이란 감정에 대한 섬세한 연출이 돋보이는 아름다운 수작!!!
9,"대사 , 지문 하나하나 스토리와 이어가는 연출이 돋보였고 자칫 자극되고 비판적으로 볼 수 있는 소재를 어릴적에 있었을 듯한 현실적인 상황을 보여주면서 공감을 하게 되었습니다 꼭 많은 영화제와 영화관에 걸려 또 다시 볼 수 있는 날이 왔으면 좋겠습니다"
10,영화를보는내내 너무행복했습니다.감사해요감독님!
7,이모 촉 작살나네...
