score,reple
1,"성경 한 줄 안읽고 만드셨다고 이미 인터뷰 뜬 기독교제목 불교영화. 놀라운건, 결론은 시작부터 불교적으로 내놓고 성경 잘 모르는 사람들이 던질 법한 초보적 질문으로 사람들 현혹하다가, 불교적 결말로 짜맞춰버린, 기독교에게 격한 무례를 범하는 영화."
2,예수님이 단순히 죄를 사하는 방법을 알려주시러 온 본보기 정도로 해석하니 기독교를 모르는 분들은 성경을 오해하게 만들 수 있을것 같습니다예수님은 하나님 본체이시나 우리를 구원하기 위해 이땅에 오셔서 십자가에서 죽고 부활하신 우리 주인입니다
1,"성경 말씀에 대해 하나님에 대해 제대로 알지도 못하면서 무턱대고 이런 영화를 만드나? 개신교 신앙에 대해 무지한 사람들에게 오해의 소지나 잔뜩 안겨주고, 한껏 폼이나 잡는 꽃미남 신학대학원생들의 토론 내용이 거슬려 보다가 중간에 나옴 이영화 위험해요"
10,노래가 참좋네요 재밌게 봤습니다
9,"어릴적 친구따라 교회다니면서 궁금해했던 질문이 완전해소.. 성인이 되어 종교를 가졌던 초심으로 돌아가 나에게 주어진 삶의 시간을 내가 아는 옳고 그른 기준이 아닌 순수한 마음으로, 내려놓고 살아가라고 말하는 영화. 회상장면이 좀 있었으면 좋았을듯."
10,생각보다 훨씬 괜찮았습니다.
9,달리기만 하던 생각이 영화를 보면서나의 본질을찾기 시작했다!나는 무엇을 위해 그리도 열심히 살았지??가슴이 한참 먹먹한 영화~~~ 참 오랜만에 만난 내용있는 영화! 강추♡♡♡
9,불신지옥을 외치는 소수들 때문에 기독교에 대한 반감이 있었는데.. 성경구절을 읊으며 그 의미를 되새기는 장면들이 와닿았습니다. 신의 존재 여부보다 인간이 나아가야할 방향을 제시했다는 점에서 영화가 좋네요. 다만 여가로 이 영화를 본다면 지루할순있어요~
9,신과 인간에 대해 깊이 생각할수 있는 시간이었습니다..
10,"0은 아무리 많아도 0, 아무리 곱해도 0, 아무리 나눠도 0, 아무리 더해도 0, 아무리 빼도 0, 하나의 0..   난 왜 이런 생각을 한 번도 못했을까...  하느님은 하나의 0 이어서 모두에게 임하실 수 있는거였어..."
