score,reple
10,산티아고 순례길의 멋진 풍경을 보는 것만으로도 가슴이 뻥 뚫립니다.
8,그녀는 보이지 않았지만 오히려 보이는 나에게 보이지 않는 것을 알려주웠다.
7,순례길 오랜만에 볼 수 있어 좋았어요
10,지나온 인생을 돌아보게하는 영화~~산티아고 순례길을 걸어보려는 계획을 세우게합니다.
6,무엇보다 영상미가 아름다웠습니다.
10,굉장히 많은것을 생각할 수 있는 영화였습니다.
10,잔잔하고 좋네요산티아고 정말 가보고싶어요.
10,산티아고 순례길의 아름다운 풍경과 함께 인생을 이야기해주는 힐링 영화입니다~
6,한 번쯤 가보고 싶은 여정
10,너무 보고싶습니다.구입해서 보고싶은데 네이버 다음 등 어느 한 곳 아직 등록이 안되어있네요..언제쯤 구입할 수 있을까요
10,아름다운 영화입니다. 묵묵하고 씩씩한 다희의 모습도 너무 예뻤어요.
10,"모든상황이 상반된 두주인공의  이야기와,  펼쳐지는 풍광에 많은생각을  하며  감상하게되었다수박 겉핣기처럼 유명지만 관광했던 스페인여행이 뒷머리를 잡아당긴다, 주인공보다 나이가 띠동갑차인데  해볼수있을까?하늘이,구름이  구불구불한 산티아고의길이   나를 잡아 끌고  재한씨의눈물과 다희의 나는걷는게 제일쉽다고,걷는게즐겁다고~17세소녀의 맘이 잘나타나는~참좋은영화였다"
10,연출 영상 스토리가 감동적입니다.
10,
10,아름다움 그 자체였습니다~~
10,"800키로의 여정에 삶이 고스란히 녹아있다. 순례길을 걷는 두 여인은 그대로 내가 된다. 보는 자로, 때론 보지 못하는 자로. 여정의 의미는 목적지에 있는 것이 아니기에 매 순간, 매 걸음 마디마디가 꽃처럼 피어나는 소중한 찰라임을 되새긴다. 그 언제나 아름다운 자연이 삶의 고난함을 보상해 준다. 음악처럼 춤추게 하고."
10,아름다운 풍경과 음악이 좋았습니다. 산티아고길 순례를 통해 상처를 치유하고 극복하는 주인공의 모습에 감동 받았어요.
10,아름다운 산티아고를 보는 것만으로도 힐링이 되는 영화입니다.
10,다희씨가 돌로 &#39;화이팅&#39; 쓰고 그걸 재한씨가 지팡이로 감지하고 읽는 게 흐뭇했다. 플라밍고 공연하는 장면이 시각적으로나 의미로나 화룡점정이었다. 뭔가 마음이 차분해지면서 많은 생각을 하게 되는 영화였다.
10,장벽을 넘어 나를 찾아가는 소중한 이야기~!! 홀로 그러나 함께 가는 모든 여정이 좋은 길이었습니다. 삶의 의미와 감동을 선사하는 아름다운 영화.
9,18살 때 친구들이랑 갔던  산티아고 순례길이 생각나요!ㅎㅎ
8,풍광은 긍정적이고 이뻐요
1,
10,너무 아름답네요...
10,"시각장애인의 입장으로서, 그리고 그 길을 동반하는 다희의 입장으로서 여러가지 감정과 공감을 느낄수 있었다. 영상이 너무 좋아 같이 산티아고를 걸으며 순례한 기분이다. 혼자 또 같이.. 인생에 대한 함축과도 같은 다큐멘터리. 조용한 날 혼자 보기 좋은 영화로 강추"
10,800km의 감동입니다
10,
8,
10,눈이 부시게 아름다운 두 사람을 만나고 온 기분
10,아름다운 길 그러나 우리는 누구나 앞날을 알지 못하는 존재. 영상과 음악이 주는 감동과 울림
9,돌은 죄가 없다. 그냥 그곳에 원래부터 있었다.쉽게만 살려고 하는 우리에게 산티아고길은 많은 깨닳음을 준다.
8,시각장애인도 하는데 나는 왜 못할까?  We can do
