score,reple
1,그래서 4대보 파괴하자니까 왜 농민들이 낫들고 나와 막나요? 일단 호남보부터 파괴합시다! 더러운 4대강이잖아요
2,사대강 20조면 일자리 100만개 만드신다는 그분은 80조 들이고도 실업률 역대 최대쥬? 통계는 안보고 그저 달님이라며 빠는 대깨문들 ㅋ 이쯤되면 대깨문 탈출은 지능순이 아니라 양심순 ㅋㅋ
1,하 ...진짜 이 나라에 대깨문이 이렇게 많나...망치들고 다니면서 하나씩 깨고싶다
1,담에 꼭 52조 일자리 예산 어떻게 쓰여졌는지도 다큐로 만들어주세요 ㅋㅋ
1,좌파는 악마다 진짜 사회를 좀먹는 벌레들이다
1,빨갱이들만 보는영화아니노? 4대강 만들어지고 홍수가 사라졌는데 ㅋㅋ 민주당 안희정이가 가뭄때 물끌어쓴건 어쩔꺼고? 4대강이 뒤통수라고? ㅋㅋㅋ
1,"삽질이다 좌좀들, 선전선동짓거리만 해대는 꼬라지"
1,문재인이 일자리 만든다고 쓴 54조는 어디감??ㅋㅋㅋㅋ
2,이 미친나라에 미친정치에 미친국민ㅅㄲ들에...빨갱이들하고 쪽바리들하고 잘한다~미친누가누굴욕해~
1,이것도 영화라고 나참
1,아직도 이런 3류 선동영화 찾아보며 낚이는 저능아들이 있네보네
1,보 건설전에는 녹조 더 심했는데 선동영화 그만해라.
1,도대체 이명박 세월호 이런거가지고 얼마나 우려먹을려고 그러냐? ㅋㅋㅋ 문재앙 삽질한것도 나중에 다 영화화 했으면 좋겠다
1,요즘 한국영화계가 진짜 왜 이러나.. 정도란게 있는건데..
1,문재인 태양광 사업비리를 영화로 만드어보세요!! 우리 세금 후원받아서 이딴 영화 만드는건 안아까워요? 어떤 천벌을 받으실라구?
1,이거 제목이 삽질이 아니라 십질아닌가요?? 십질
2,그냥 좌빨영화..  감독이름 잘 기억해두자ㅋㅋ
1,거짓선동가 지긋지긋라다
1,"진영논리에 매몰된 폐급선동물감독이 세계에 유례없다는 치수사업? 세느강, 도나우강, 라인강등의 평균 보 갯수 40~70개김대중때부터 온난화로 악화되기 시작한 녹조를 4대강 탓으로 선동"
1,ㅋㅋ 좌파들 우르르 몰려오는거 봐라. 4대강? 나는 자전거 타고 4대강 국토장정했는데 잘해놨더만....  문재인이 날린 돈 얼마? 54조 일자리 공중분해 이거 반박해봐
10,저런 사악한 쥐새끼를 누군가는 한없이 봐주고 빨아주고 댓글알바비 받으면서 연명하고...아직 떡검은 사자방 비리에 대한건 제대로 수사조차 안하고 있지? 봐줄걸 봐줘야지 푼돈 뇌물받은거나 깔짝대고 있냐 ㅋㅋ자원외교로 수백조 해쳐먹은건 너무 커서 차마 못건드려?
10,쥐를 잡자 쥐박이는 503 데리고 깜빵으로 돌아가라
10,제발  쥐닭 동물들 한테  표주지말자 나라  거덜 나는거  순간이다
2,훠훠훠 중국몽 함께 합시다.
1,0점은 없나? -1점놓고갑니다내용이없네요 영화가...
1,4대강 삽질? ㅋㅋ 홍수 막아줘 가뭄 막아줘 호남보 안부셔~ 누군데?일자리 54조? 5000만 전국민 1인당 100만원 더 가져갈 돈인데..ㅠㅠ
2,22조는 홍수라도 막았지  54조 쓴거는 어디있어요? 뭐가좋아졌죠?눈에띄지도 않던데
1,MB정권: 나에게 아무런영향을 주지않음문정권: 나의 집 2년만에 6억 올려줌.고로 MB가 잘못함
10,"버러지 벌레들 발광을하네ㅋ쥐,닭정권에서는 아가리 털지도 못하던것들이"
10,어떻게든 평점 낮추려고 삽질하는 알바댓글러들의 고생에 삼가조의를~~
8,이 사실을 보고 분노하지 못한다면 평생 권력의 희생양이 될뿐이다.MB야 감옥가자
10,사대강이 성공한 사업이라 생각하는 모지리들이 이거봤음 좋겠다
10,4대강 때문에 농민들 잘살고 있다고 글쓰는 사람들은 도대체 근거가 뭐냐 그냥 놔뒀어도 흐르는 아름다운 강물이 왜 저렇게 오염됐는지 진짜 모르는건가 강물은 흘러야 썩지않은다는 건 삼척동자도 다아는 사실 아닌가
10,국민들이 많이 봐야할 영화
10,잊지말자~나라를 망쳐버린 쥐와 닭의 10년을.... 경제 말아먹고 나라를 말어먹은 이 두 쥐와 닭의 10년을 절대 잊지말자~사기꾼 쥐와 뇌가없는 닭이 망쳐버린 10년의 대한민국... 그리고 이 둘을 추종하는 벌레무리들.. 심판은 계속될것이다.
10,숨겨둔 비자금 액수가 얼마일까..
10,"김병기 감독님 . 고맙습니다. 긴 세월 ㅡ 너무 고생하셨습니다. 김종술 시민기자님  ㅡ 너무 애쓰셨습니다. 쥐박이섁끼를 뽑은 우리의 잘못.. 정신 똑바로 차리고, 총선에 임해야 겠습니다.혈세 22조에 자원외교까지 ..태어나지 말았어야할 괴물입니다."
1,MB때가 경제 가장 잘했다. 글로벌 금융위기에서도 한국만 성장해 일본을 상당히 따라잡게 만들었다. 지금은 그냥 입만 나불대며 외교 경제 아무것도 할줄모르고 죽창만 외치는 무능한 놈들뿐.
10,수조원의 세금을 가지고 논 대국민 사기극
1,좌파 거짓선동영화  징글징글하다
10,젤리벌레 어휴 4대강 다해결된줄알았는데.. 세금줄줄보들 폭파시키면다해결될듯좋은 정보들 잘봤네요
8,MB보다 부역자들에 더 화난다
10,우리시대의 사람들이 모두 봐야할 다큐 영화다
10,이명박근혜 지지하는 떨거지들 ㅈㄴ많네 진짜 다 잡아 족쳐야 하는데
10,팩트임에는 틀림 없어보이는데 이를 부정하는 인간이하의 짐승들의 저의는 무엇일까? 네놈들도 한통속이였으리라..나라를 좀먹는 좀벌레들이 사라지는날이 나라가 바로서리라..
1,문재앙의 실업도 후속으로좀 ㅎㅎ
2,
1,이런영화가 개봉한다는 자체가 어이없고  이런걸 영화라고 만든 관계자들에게 양심이 있는지 묻고싶다
1,지금 문재인정권들어선지가 언젠데 이딴 쓰레기선동영화를 개봉하냐 문재인정권이 정의의 심판을해야하는데 못하고있으니 직무유기중이네ㅋㅋㅋ
1,"예전에 중기·소상공인에 96조 풀고. 960억도 아닌 9600억도 9조6천억도 아닌 96조 96조~~ 작년 일자리예산 54조 쓰고 , 추석때 고속도로통행료도 35조 쏫아부었다. 이명박4대강 22조 썻다고 그렇게 난리치더니 결과가 가뭄 홍수도 줄어든 효과가 있는반면, 마을 사는 주민들도 인정한다.  문정부는 이 몇십조 단위 세금을 어디다 사용했는지도 서민 국민들이 생활하는데 느끼지 못하는게 중요하다!! .이건 정부 니들 돈이 아닌 국민들이 피탐흘려 모은 돈이다.  박정희 대통령시절 경부고속 도로도 그렇게 반대하고 국민들 선동하더니, 정말 대한민국 미래는 좌파들이 정권을 잡으면 안된다. 깨어나라 국민들아~~"
1,대깨문인가?  재미더럽게없네
1,"궁금한게 4대강이후  매년 날리는  수해 피해지역 조단위 피해를 매번 뉴스에서 못 보내.              궁금한게 4대강보 해체하라던 호남 국회의원이 왜 왜  호남에 4대강보 철거하려니 그리 반대하고 혀깨물고 영남부터  철거 하라는데?             액면 54조로 일자리창출 공무원만 늘린 사람은  우주 스케일 핵삽질인가 영웅인가.              54조로 공공기간 알바, 일용직을 다공무원 만들어 눈가리고 비정규직, 실업자 해결했다는데 8년 고시공부한사람은.                 세계경제, 국가경제가 내려가고 기준금리가 바닦을 찍고 인하중인데 은행금리가  오르는 이정권은 국민에게 총질아닌가?"
1,감독이 빨갱이네. 지금 나라가 어떻게 돌아가고 있는지 모르나..20조원 웃기네 50조원을 한순간 날린거나 영화나 만들던가. 그건 안만드냐~
1,오히려 4대강 그 앞에 가면 4대강 철수 하지 말아달라고 동네 주민들이현수막 걸어놨던데 진짜 선동과 날조의 끝을 보여주는 구나ㅋㅋ
1,어휴 우리나라 영화계 정말 망한듯..
1,지금 현시점에 빨갱이때려잡는 영웅이 필요한시점이다1일n재앙이 일어나는 요즘 개 쓸데없는영화
1,4대강은 정말 작은돈으로 성공한 사례입니다. 지금 이 문재인정부 세금 낭비 뿐만아니라 빚까지 지고 있습니다 성공한 4대강을 정치적 목적으로 묵사발을 만들려고 하고 있습니다.아 진짜 쓰레기들
1,안봐도 뻔하다너무 뻔해서 구역질 난다..
1,전라도 그렇게 반대하더니 농민들 호남보 부순다니까 눈뒤집고 반대하쥬?ㅋ 호남보 먼저 부숴라 다같이 죽자는거 그럼 인정한다.
1,대깨문 탈출은 지능순입니다.제발 정신쫌차리세요.주위사람들 곡소리 안들리나요?집에만 틀어박혀모르는건지...
1,점수 높게 주는 놈들만 거르면 되는거냐? 정작 나라 후루룩 말아드시고 계시는 분은 뭐가 잘못되고 있는지도 파악안됨 ㅋㅋ 저능아도 저런 저능아가 없을듯
2,홍수가 없어졌죠 이런 선동영화가 아직 나오네 ㅋ
10,
1,ㅋㅋㅋㅋ 이런 쓰레기 선동 영화에 10점 주는 머저리들이랑 같은 1표인 게 민주주의의 최대 폐해다뭐 어쩌냐.. 설명해드려야지 ㅋㅋ 4대보 파괴해봐 ㅋㅋ 정작 필요한 주변 농민부터 난리날거야 ㅋㅋ 무슨 인터뷰를 대전 사람한테 하질 않나.. 선동적인 인터뷰로 국민 ㅄ 만드는 기레기 새끼들도 문제다 그리고 깨시민 코스프레 하려면 이번 정부도 좀 해봐 ㅋㅋㅋ 홍수 피해 막아주는 사람들은 4대보 파괴 반대하고 가뭄 및 홍수 피해 전혀 안 입는 새끼들이 반대하는 OO 같은 선동의 나랔ㅋㅋㅋㅋ
10,
1,나중에 문죄인 영화는 어떡해 나올지 궁금하넼ㅋㅋ
10,"4대강 사업 옹호하던 학자, 관료, 언론인, 정치인들 인터뷰 요청에 하나같이 숨기만 하나요?떳떳하냐는 질문이 그렇게 답하기 어렵습니까?"
10,"MB의 4대강 대국민 사기극, 많은 분들이 보셔야 할 영화인데 상영 극장이 많지 않아 안타깝네요..4대강 관련 어떤 수사, 법적 처벌도 이뤄지지 않은 상황이라 영화를 보고 나서도 착찹한 심정입니다.기록으로 그치지 말고 수사해서 4대강 사기극의 진실을 밝혀야 합니다."
1,호롤로롤로롤로로롤롤
10,꼭 보셨으면 합니다보시고 나서 판단하시고 비판을 하던 응원을 하던...정확한 사실들을 알고 투표해야 한다고 생각합니다   우리 아이들 미래를 위해서요...대한민국 국민들 만세!!!
1,나도 특전사나오면 대통령 시켜주나? 아니다 댓통령인가?
10,다이어트 영화로 강력 추천 드립니다. 관람후 다이어트 효과 +식욕억제 효과 100% 보장 .13년간의 취재 제작 노력에 박수를 보냅니다.
10,일베충들의 객관적이지못한 평점에 이마 탁 치고 갑니다
10,이렇게 사회를 비추는 영화들이 더 많이 나왔으면 좋겠습니다 영화 보지도 않고 비판댓글쓰는 알바들아 먹어서 응원하자는 아베처럼 니들이 녹조라떼 다 먹어 그럼 느그들말 믿을게~
10,어디 일베충들이 와서 이 명작을 폄하하는가
1,으 극혐 대깨문들이나 보는 영화
10,4대강이 왜 이렇게 되었는지 제대로 알수 있는 영화다.. 오랜 시간동안 포기하지 않고 취재를 계속해준 분들에게 감사드립니다.
10,모두가 봐야할 영화입니다 강을 살려서 후세에 물려줘야 합니다 몸을 던져서 강을 지키는 사람들 눈물겹네요 정치인 잘못뽑아서 온 강이 아파하고 있으니 안타깝습니다
10,대한민국 국민이라면 꼭 봐야 할 영화.
2,4대강 공사후 우리나라에 홍수란 단어가 사라졌는데 그에 대해선 평가하지 않고 상대편이란 이유로 추측성비난영화를 좋다고 관람하는자들이 달창중에서도 극정 진품 달창이라 보여진다 그나마 6천명 봣네 ㅎㅎㅎ
10,‘대통령의 7시간’과 함께 꼭 관람해야 할 영화^^ ♡
10,상영관 늘려주세요!!! 상업영화만 주구장창 틀지말고 기업들아
10,젊은사람들이 앞으로 살아갈 세상입니다.그러나 지금 국회실정은 노인정으로 가야할유신정권 사고정신을 가진 꼰대들이 말아먹고 있어요.젊은 사람들이 영화를 많이 봐주세요.상영극장도 상영횟수도 너무 애매한 상황이고 영화홍보도 없어서 모르는 사람이 많네요.영화본신분들이 많이 홍보해 주세요.
10,역사상 최악의 삽질에 최고의 평점을 드립니다
10,2019년 이명박과 4대강관련처벌은 아직한건도 이루어지지 않았다...
10,모든 국민이 알아야 할 MB의 거대한 거짓말
1,1.4만명이나 봤나ㅋㅋㅋ
1,삽질은 태양광 사업 아닌가요??? 산사태에 다 고철되서 중국에 싸게 팔아넘겨준다는데.. 세금으로 전라도 파티!!
1,선거개입 감찰무마 직권남용 조국비리  탈원전실패  토착왜구 마녀사냥   54조 허공에 날리기 엥? 띵박이보다 더 나쁜 사람이 있네ㅋㅋㅋㅋ
1,병기야...
10,"감동과 재미, 그리고 진실이 담긴 영화입니다. 꼭 보세요."
10,잘 봤습니다. 감사합니다
1,ㅋㅋㅋ정권바뀌면 삽질2로 문재인이 일자리 예산 날려먹은거 찍어주세용^^
10,"건설업체에 ""퍼주고""22조 2천억원 ""말아먹고""자원외교는 똥밭이네?4대강하면 관광효과 쩐다매, 지금 그래서 잘됩니까?부끄러운줄을 알아야지."
1,??? : 훠훠 남조션 쥭이는데 54죠바께 안들였슙니돠
10,일본에서 넘어온 쥐새끼...그리고 그 추종자들...
8,mb정부출발 17대 이명박! 4대강 살리기 혈세 30조! 환경파괴 혈세낭비 삽질하셨네~
10,아뉘 상영관 하고 시간좀 늘리지 아침 일찍 아님 자정에 나 보게끔하고바람직 하지 않네 ~
8,"여기와서 문정부 욕하는 놈들은, 돈받고 하는거냐? 아니면 멍청한거냐?? 돈받고 하는거라면 차라리 낫다...멍청한거라면  답이없다!!"
10,"대한민국 보수는 가짜보수에요 사기꾼들 뉴라이트 이명박 백선엽 세우기 mbc 스트레이트 시청바람, 민족반역자들 우웩"
