score,reple
10,"사회가 주입한 현실, 사회가 주입한 꿈보다 차라리 아무것도 선택하지 않는 것이 행복인 현세대를 적나라하게 보여준다."
9,우리 청년 세대가 병들지 않고 살아갈 수 있는 날이 올까. '나는 무언가 잘못 되지 않았나' 스스로에게 의문이 생기는 요즘에 공감이 많이 가는 영화였다.
10,뚝심있는 연출이 좋았습니다
10,젊은이들이 어럽게 살아가는 현실과 경제적 어려움으로 극단적인 선택을 할 수밖에 없는 현실이 너무 마음이 짠하다. 내주변에도 어려운 사람이 없는지 생각해 보는 계기도 되었다. 나의 젊은시절을 돌아보게 해주는 좋은영화인데 관객이 없어 아쉬웠고 많은 사람들이 보았으면 좋을것 같다.
10,누가 이 세대들을 이리 아프게 만들었나... 나에게도 성혜였던 시절이 있기에 이 땅의 모든 성혜들에게 이 영화가 따듯한 위로가 되어주었으면 한다.
10,무미 건조한 삶의 선택을 강요당한 회색빛 청춘에 대한 헌시.그래도 저마다의 자전거는 각자의 가진 힘으로 굴러간다.포기만 하지 않으면...
9,현실을 너무 현실적으로 보여준 영화였어요 참 힘들게 사는 우리 세대들이 마지막처럼 평안하게 살았으면 하는 생각이 들어요 힘들겠지만요
10,아무것도 선택하지 않는것을 선택한다....비극적인 장치로 얻은 씨드머니였지만 그렇게라도 생긴씨드머니가 부러운건 저뿐만이었을까요...이런 제가 나쁜걸까요...
10,인상깊고 감명있는 영화입니다
8,성혜의 나라에 함께 살고있는 지금 입니다
8,그래도 주인공이 웃게 됐으니 해피엔딩.
8,"그냥,,, 대사가 너무 와닿네요,,,,"
8,실감나는 연기 지독히도 가난하고 지독히도 암울하다 흑백 영화라 더 그렇게 느껴진다 ~ 나까지 우울해지더라 ~ 지루할 틈이 없다 몰입감이 높고 합의금(5억) 장면빼고는 너무나 현실적으로 잘 그려낸 영화
10,지금... 우리는... 여기는... 성혜는... 나는...살고있고 살아야하고 살아가는...모두 다르면서 같고... 같으면서 다른...재미있다...ㅋ
10,청년에게 바치는 힐링 영화. 근래에 이 정도의 당대성을 가진 영화가 있었던가.
10,깊은 여운이 남는...이시대의 영화
8,가난한 청춘의 인생역전이란 게 결국 부모의 죽음을 통한 구원이라니... 돈에 의해 좌우되는 차디찬 현실의 슬픈 자화상 같은 영화!
10,완전하게 현실을 반영한 영화
9,흑백표현이 굉장히 잘 녹아든 느낌이었다.현실적이고 지속적이지만 지루하지 않았다.
10,"많은 공감이 됐던 영화,보면서 많은 생각이 들었습니다"
4,잔잔한 스토리였으나 너무 극단적으로 스토리가 전개되는게 아닌가 싶습니다.
9,불쾌한 게임 같은 삶이지만 성혜가 행복하기를
10,현실적이라 더 아프게 와닿네요.
7,힐링 영화가 아니지만 힐링 영화로 보이는 아이러니... 다른 영화보다 더 건조하고 담백하게 이야기를 펼쳐나간다
