score,reple
9,영화를 완성시키는 음악의 힘을 느낄 수 있는 다큐멘터리
8,나의 최애 영화음악감독을 알게해준 감독에게 감사한다.다큐는 64분이라는 가이드를 준 것에도 감사한다!
10,아름다운 음악과 잘 만든 다큐멘터리 영화 한편이였습니다~ 힐링하는 기분이여서 좋았습니다~
10,영화음악에  대한 이해가 높아짐 앞으로 영화 볼때 훨씬 풍부하게 느낄 수 있을 듯
10,영화음악에대한 천재적인 작곡가알렉상드르의 신중하면서도 감독과같이하나  되는  과정을  새롭게보았네요!
10,영화를 볼때 무심히 봤었는데 이 영화를 보고 알렉상드르 데스플라의 작품이 많은 걸 알게 되어 놀랐어요. 이 음악이 알렉상드르 데스플라의 작품이었어? 하고요....음악과 함께 하단의 자막을 통해 영화 제목과 함께 영화의 장면도 함께 보여 주어 영화 음악을 이해하는데 도움도 되었고 영화 보던 때의 느낌도 생각나고 좋았어요.특히 세 명의 영화 감독의 인터뷰를  통해 그의 음악에 대한 태도나 이야기에 감동받았어요.그의 음악에 대한 열정을 화면에 다 담을 수는 없었겠지만 느껴졌어요. 영화를 보고 난 후 벌써 그의 다음 작이 기대되고 기다려지네요.눈과 귀가 행복한 다큐멘터리 였어요.
8,눈과 귀가 행복한 다큐멘터리였습니다.고음질로 유명 영화 삽입곡들을 이어 들었어요^^
9,영화 내내 흘러 퍼지는  그가 작곡한 영화 음악들이나 알렉상드르 데스플라의 영화 음악을 대하는 태도는 감명 깊게 다가왔다. 또한 실제로 영화에 대입된 장면들의 등장 등은 해당 영화를 볼 때의 감정이 생각날 뿐 아니라 이 때 이 장면에서 음악을 통해 어떤 걸 말하고 싶었을까에 대한 생각까지 자연스레 이어졌다. 영화를 끝까지 보고 나니 그를 잘 모르던 나도 팬이 되는 느낌이었다. 살짝 아쉬운 부분이 있다면 알렉상드르 데스플라의 일생이나 더 많은 그의 생각을 들어보고 싶었으나 그러한 부분은 조금 부족했던 것 같다.
9,이 영화도? 라고 생각할 정도로 많은 작품에 온전히 자신의 노력과 에너지를 쏟은 그. 순수한 열정과 천재성에 박수를 보낸다. 그래서 상영시간이 짧은게 아쉬울 정도.. 이제 다시 음악 들으러~~
6,"영화음악으로 스토리텔링할 수 있다는거 아셨나요? 보면 딱 느낄 수 있다는~ 위대한 영화음악을 즐감하기엔 64분은 너무나도 짧았고, 음악이 짧게 짧게 소개되어 많이많이 아쉬웠습니다"
7,기억 생생한 명작들을 이 영화를 통해 다시 한번더 상기할수 있었고그 감동을 한꺼번에 느낄수 있는 좋은 시간입니다.  상영시간이 다소 짧은게 아쉬워요
