score,reple
10,"미소는 '집'만 없었고, 다른 이들은 '집'만 있었다.우린 어디쯤 있는걸까"
10,근래 본 한국 영화 중 최고였다. 이런 영화가 잘되어야 한다.
10,다들 미소를 보고 위안을 얻는다고 하는데 전 미소처럼 될까봐 무서웠어요. 마음이 따뜻하긴한데 괴로웠어요. 어떻게 다들 이게 자신에게 안 일어날 꺼라고 생각하실 수 있죠? 잔혹하고 아름 다운 서울 동화 였습니다. 발견하기 힘든 가치의 영화 였습니다.
9,"다수에게 손가락질 받는 인생이라도.. 내 삶이 있으니, 정말 용기있는 삶에 박수를 보내고 싶었다..""집이 없지 생각과 취향은 있어!"" 담배 위스키 그리고..너 , 나에겐 지금 무엇이 위안이 되고 있지"
10,물질적 풍요보다 정신적 풍요가 훨씬 더 중요하다 생각하는 사람이라 이 영화가 너무 좋았습니다. 보는 내내 행복했습니다.
8,"집이 없는 미소가 마냥 행복해 보이지만은 않았다. 사랑하는 남친은 현실에 굴복하고 떠나버렸고, 여기저기 친구집을 전전하며 눈치보는 생활을 해야했던 그녀. 정말 그녀는 행복했을까..?"
10,가장 힘든건 마음의 집을 잃는 것이다.
10,그래도 집은...이라는 나의 생각에 뜨끔했다.나의 기준으로 상대를 판단하지 말 것이다.
10,미소는 성공한 인생이다.하룻밤이라도 방을 내어주는 친구가 몇명이나 있다는 건 정말 성공한 인생이다.
10,모두들 슬픔 하나 씩은 안고 사는구나. 청춘에 대한 이야기도 아니고 욜로라이프이 대한 이야기도 아니다. 꾸역꾸역 하루하루 살아가는 우리들의 이야기를 담은 영화.
10,영화가 참 예쁘고 슬펐다
10,미소빼고 다들 너무 현실적인 캐릭터... 나또한 돈이있어야 행복하다고 생각하지만 때로는 남의 시선을 생각하지않고 내가 가장행복한일을 찾아 떠나고싶다고 생각했다. 말처럼 쉬운일이 아니겠지만.
8,주위에서 그러더라 한달에 45만원씩 방세내고 돈은 대체 언제 모으냐고20만원짜리 무보증 구치소 독방같은 고시원보단그나마 방같은 방 구해서 산다 천년만년 살것도 아니고 하루라도 사람답게 살아야지 이 영화랑 반대지만 삶에 정답은 없으니
10,근처 상영관이 없어서 1시간 30분 거리 영화관에서 보고 왔습니다. 영화보는 내내 끝나지 않았으면 좋겠다고 생각했네요.
10,미소가 나같아서 공감되었고미소가 나같지 않아서 부러웠다
9,"사람들은 모른다.부동산아줌마가 방구경시켜줄 때 창문 앞에 쪼그려 앉아 담배피던 남자가 &#39;남자미소&#39;란 사실(?). 또다른 미소는 그때 서러웠을 것같다.부동산 아줌마가 훠이 하며 창문 쾅 닫았을 때 나도 빵 터졌지만, 지나고 나서 문득 그런 생각이 . ."
8,담배와 위스키 그리고 남자친구
10,"스스로 고귀한 미소, 너를 응원해."
10,좋다 너무 좋았다.. 이런 영화가 정말 많이 나왔으면...
10,박평식님이  7점 준 영화입니다. 믿고 보셔도 괜찮습니다...
10,청춘은 무엇으로 사는가.. 지금의 시대상을 잘 그려낸 것 같네요. 간만에 접하는 진짜배기 수작입니다!!
10,미소처럼 힘들어도 생각과 취향을 포기하지 않고 살고 싶은데 그럴 용기가 아직도 나질않는다. 어떤게 옳고 어떤게 틀리고 인생엔 정답이 없는데 왜 난 그들의 시선을 이렇게 두려워 하며 살고 있는지 모르겠다. 내 삶에 대해 진지하게 생각해 볼 기회를준 영화
